Filename  Score  S*cd_c  Dc  L/D_c  LDc  Cm  Cmc  CL_max  CLs
goe406   8.65 0.0255   10 176.49   10 -0.5182    7 1.56    9 
usnps4   8.60 0.0705   10  73.72   10 -0.7675    2 1.70   10 
mh115   8.35 0.0722   10  78.23   10 -0.9679    1 1.61    9 
e216   8.35 0.0687   10  82.48   10 -1.0933    1 1.58    9 
goe363   8.20 0.0725    9  71.14   10 -0.6864    3 1.56    9 
v43015   8.20 0.0282   10 141.37   10 -0.1753   10 1.43    6 
goe176   8.20 0.0720   10  72.54   10 -0.7777    2 1.51    8 
curtisc72   8.20 0.0720   10  75.63   10 -0.5868    6 1.45    7 
naca6412   8.10 0.0745    9  71.93   10 -0.8622    1 1.59    9 
fx63110   8.10 0.0744    9  72.66   10 -0.9205    1 1.61    9 
sg6043   8.05 0.0780    8  72.21   10 -1.0263    1 1.62   10 
goe675   8.05 0.0781    8  69.76   10 -0.8566    1 1.67   10 
goe398   8.05 0.0768    9  66.82   10 -0.6749    4 1.50    8 
fx63120   8.05 0.0785    8  76.16   10 -1.0622    1 1.66   10 
goe330   8.00 0.0683   10  76.02   10 -0.7562    2 1.46    7 
n11   7.95 0.0706   10  74.28   10 -0.6095    5 1.44    6 
goe430   7.85 0.0782    8  68.22   10 -0.9524    1 1.59    9 
goe611   7.80 0.0768    9  68.64   10 -0.7154    3 1.47    7 
goe365   7.80 0.0747    9  69.63   10 -0.6876    3 1.48    7 
fx63137sm   7.80 0.0857    7  74.91   10 -1.1706    1 1.85   10 
fx63137   7.80 0.0855    7  75.05   10 -1.1616    1 1.71   10 
goe701   7.75 0.0758    9  67.98   10 -0.7767    2 1.45    7 
clarkz   7.70 0.0727    9  62.91    9 -0.6174    5 1.49    8 
n10   7.65 0.0751    9  66.91   10 -0.5026    8 1.38    5 
goe497   7.65 0.0786    8  68.32   10 -0.9162    1 1.53    8 
e212   7.65 0.0626   10  68.54   10 -0.7119    3 1.37    5 
s2091   7.65 0.0707   10  61.33    9 -0.5446    7 1.44    6 
e433   7.65 0.0280   10 137.65   10 -0.5372    7 1.36    4 
goe591   7.60 0.0724    9  68.36   10 -0.6908    3 1.41    6 
usa40   7.60 0.0773    8  61.24    9 -0.6714    4 1.56    9 
e338   7.60 0.0142   10 301.62   10 -0.3404   10 1.30    3 
e337   7.60 0.0138   10 291.84   10 -0.2611   10 1.28    3 
raf33   7.55 0.0216   10 197.80   10 -0.3707    9 1.30    3 
e214   7.55 0.0664   10  74.23   10 -0.8418    1 1.39    5 
goe480   7.55 0.0770    9  66.42    9 -0.7557    2 1.51    8 
goe682   7.50 0.0699   10  66.46    9 -0.6582    4 1.41    6 
goe593   7.50 0.0702   10  69.03   10 -0.6831    4 1.35    4 
goe167   7.50 0.0188   10 225.14   10 -0.5064    8 1.26    3 
boe103   7.50 0.0743    9  62.15    9 -0.5977    5 1.46    7 
goe358   7.45 0.0813    8  65.83    9 -0.9313    1 1.56    9 
sg6042   7.40 0.0742    9  62.81    9 -0.7515    3 1.47    7 
goe619   7.40 0.0753    9  65.08    9 -0.7302    3 1.44    7 
goe553   7.40 0.0819    8  59.07    8 -0.6352    4 1.61   10 
e335   7.40 0.0208   10 168.77   10 -0.0956   10 1.22    2 
e327   7.40 0.0203   10 180.00   10 -0.1704   10 1.20    2 
clarky   7.40 0.0708   10  60.78    9 -0.5960    6 1.40    5 
usa35b   7.35 0.0788    8  66.21    9 -0.5381    7 1.47    7 
usa27   7.35 0.0126   10 384.85   10 -0.6324    5 1.27    3 
s4022   7.35 0.0125   10 413.40   10 -0.9190    1 1.33    4 
goe681   7.35 0.0838    7  60.28    9 -0.6702    4 1.58    9 
goe615   7.35 0.0804    8  65.94    9 -0.7254    3 1.49    8 
goe479   7.35 0.0142   10 327.73   10 -0.6140    5 1.26    3 
fx60126   7.35 0.0783    8  60.27    9 -0.7412    3 1.53    8 
s7055   7.30 0.0118   10 342.74   10 -0.4972    8 1.20    2 
mrc-20   7.30 0.0133   10 289.04   10 -0.4587    8 1.19    2 
goe546   7.30 0.0681   10  66.01    9 -0.6781    4 1.37    5 
goe387   7.30 0.0844    7  62.91    9 -0.7237    3 1.56    9 
clarkw   7.30 0.0708   10  63.75    9 -0.6381    4 1.37    5 
goe530   7.25 0.0791    8  65.57    9 -0.6209    5 1.48    7 
e395   7.25 0.0808    8  66.70    9 -0.9912    1 1.49    8 
goe621   7.25 0.0835    7  62.01    9 -0.7620    2 1.59    9 
goe612   7.25 0.0837    7  61.87    9 -0.7622    2 1.60    9 
goe321   7.20 0.0816    8  55.28    7 -0.4751    8 1.63   10 
goe613   7.20 0.0079   10 563.93   10 -0.5879    6 1.19    2 
goe438   7.20 0.0714   10  62.07    9 -0.5601    6 1.36    4 
goe478   7.15 0.0774    8  64.89    9 -0.7302    3 1.46    7 
df102   7.15 0.0671   10  56.97    8 -0.4388    9 1.36    5 
goe389   7.15 0.0707   10  63.95    9 -0.6051    5 1.35    4 
goe655   7.10 0.0811    8  58.07    8 -0.5871    6 1.52    8 
goe505   7.10 0.0805    8  68.07   10 -0.8042    2 1.39    5 
goe256   7.10 0.0831    7  61.96    9 -0.7477    3 1.50    8 
clarkysm   7.10 0.0708   10  65.71    9 -0.6541    4 1.35    4 
davis   7.05 0.0695   10  66.79   10 -0.6900    3 1.24    2 
goe412   7.05 0.0835    7  61.01    9 -0.7907    2 1.49    8 
sd7034   7.00 0.0727    9  60.14    8 -0.5470    7 1.43    6 
goe532   7.00 0.0838    7  59.49    8 -0.6304    5 1.58    9 
goe509   7.00 0.0781    8  65.11    9 -0.6415    4 1.42    6 
e222   7.00 0.0635   10  62.93    9 -0.5874    6 1.26    3 
sd7062   6.95 0.0786    8  56.94    7 -0.5402    7 1.59    9 
s4310   6.95 0.0758    9  58.98    8 -0.5674    6 1.44    6 
goe623   6.95 0.0736    9  58.48    8 -0.5555    6 1.42    6 
goe533   6.95 0.0822    7  58.97    8 -0.6460    4 1.60    9 
goe620   6.95 0.0893    6  61.58    9 -0.8696    1 1.54    9 
goe414   6.95 0.0769    9  64.92    9 -0.7583    2 1.37    5 
fx601001   6.95 0.0734    9  63.23    9 -0.7560    2 1.37    5 
goe723   6.90 0.0784    8  62.31    9 -0.7572    2 1.43    6 
spicasm   6.85 0.0811    8  59.02    8 -0.6058    5 1.47    7 
goe285   6.85 0.0729    9  57.12    8 -0.5015    8 1.39    5 
clarym15   6.85 0.0790    8  59.37    8 -0.6318    5 1.47    7 
naca2411   6.85 0.0676   10  60.36    9 -0.5442    7 1.26    2 
e664ex   6.80 0.1115    3  78.65   10 -1.8954    1 1.99   10 
e210   6.75 0.0806    8  58.71    8 -0.7502    3 1.48    7 
oaf102   6.75 0.0768    9  58.95    8 -0.7832    2 1.40    6 
goe654   6.75 0.0861    6  57.69    8 -0.6144    5 1.55    9 
e396   6.75 0.0863    6  62.34    9 -0.9773    1 1.54    8 
raf32md   6.75 0.0733    9  64.63    9 -0.7983    2 1.33    4 
goe367   6.70 0.0860    7  59.42    8 -0.7204    3 1.51    8 
usa27m2   6.70 0.0842    7  60.64    9 -0.6832    3 1.43    6 
hq3512   6.70 0.0760    9  57.62    8 -0.6232    5 1.40    5 
goe796   6.70 0.0759    9  57.27    8 -0.6323    5 1.38    5 
goe648   6.70 0.0854    7  54.59    7 -0.5494    7 1.56    9 
naca4415   6.70 0.0799    8  63.89    9 -0.7664    2 1.38    5 
e392   6.65 0.0760    9  59.12    8 -0.6552    4 1.36    5 
mh84   6.60 0.0853    7  52.17    6 -0.4346    9 1.75   10 
hq3011   6.60 0.0717   10  58.65    8 -0.5909    6 1.30    3 
goe436   6.60 0.0727    9  59.79    8 -0.5448    7 1.36    4 
boe106   6.60 0.0767    9  57.00    8 -0.5359    7 1.36    4 
gs1   6.55 0.0806    8  58.85    8 -0.7196    3 1.43    6 
goe647   6.55 0.0893    6  55.80    7 -0.6125    5 1.69   10 
e211   6.55 0.0683   10  58.89    8 -0.6162    5 1.27    3 
goe692   6.55 0.0898    6  58.33    8 -0.8383    1 1.59    9 
goe498   6.55 0.0903    6  60.22    8 -0.8640    1 1.54    9 
goe477   6.55 0.0785    8  63.36    9 -0.7293    3 1.35    4 
e562   6.55 0.0864    6  57.02    8 -0.8429    1 1.55    9 
e398   6.55 0.0884    6  59.83    8 -0.9271    1 1.58    9 
goe547   6.55 0.0748    9  63.90    9 -0.8031    2 1.31    3 
mh70   6.50 0.0723    9  53.55    7 -0.3931    9 1.39    5 
goe624   6.50 0.0867    6  56.48    7 -0.6427    4 1.66   10 
goe392   6.50 0.0726    9  71.44   10 -0.8426    1 1.03    1 
e560   6.50 0.0925    5  57.97    8 -0.9414    1 1.72   10 
clarkx   6.50 0.0729    9  59.15    8 -0.6188    5 1.33    4 
clarkk   6.50 0.0724    9  59.54    8 -0.6061    5 1.33    4 
e393   6.50 0.0774    8  62.59    9 -0.7770    2 1.36    4 
e793   6.45 0.0888    6  53.86    7 -0.7216    3 1.63   10 
goe527   6.40 0.0932    5  58.66    8 -0.7278    3 1.60    9 
fx63145   6.40 0.0867    6  59.26    8 -0.7593    2 1.51    8 
raf32   6.40 0.0841    7  62.63    9 -0.9270    1 1.39    5 
goe549   6.35 0.0859    7  55.72    7 -0.6547    4 1.51    8 
goe426   6.35 0.0827    7  55.78    7 -0.6457    4 1.51    8 
s3010   6.35 0.0704   10  52.58    6 -0.3774    9 1.38    5 
