  
       XFOIL         Version 6.96
  
 Calculated polar for: AG03 (flat aft bottom)                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3641   0.04412   0.03980  -0.0351   1.0000   0.0528
  -4.500  -0.3266   0.03809   0.03376  -0.0351   1.0000   0.0582
  -4.000  -0.2803   0.03183   0.02699  -0.0357   1.0000   0.0695
  -3.500  -0.2337   0.02689   0.02158  -0.0349   1.0000   0.0831
  -3.000  -0.1700   0.01661   0.00947  -0.0311   1.0000   0.0253
  -2.500  -0.1186   0.01370   0.00622  -0.0293   1.0000   0.0262
  -2.000  -0.0670   0.01143   0.00394  -0.0281   1.0000   0.0544
  -1.500  -0.0149   0.00867   0.00319  -0.0287   1.0000   0.5276
  -1.000   0.0387   0.00759   0.00303  -0.0271   1.0000   1.0000
  -0.500   0.1131   0.00776   0.00290  -0.0315   0.9880   1.0000
   0.000   0.2073   0.00772   0.00265  -0.0393   0.9608   1.0000
   0.500   0.2822   0.00765   0.00244  -0.0425   0.9184   1.0000
   1.000   0.3361   0.00769   0.00230  -0.0407   0.8616   1.0000
   1.500   0.3848   0.00788   0.00224  -0.0381   0.7978   1.0000
   2.000   0.4343   0.00821   0.00229  -0.0359   0.7292   1.0000
   2.500   0.4847   0.00865   0.00241  -0.0341   0.6564   1.0000
   3.000   0.5354   0.00918   0.00266  -0.0327   0.5795   1.0000
   3.500   0.5863   0.00981   0.00297  -0.0315   0.4987   1.0000
   4.000   0.6372   0.01055   0.00344  -0.0305   0.4171   1.0000
   4.500   0.6882   0.01137   0.00401  -0.0297   0.3413   1.0000
   5.000   0.7390   0.01229   0.00475  -0.0290   0.2738   1.0000
   5.500   0.7894   0.01334   0.00561  -0.0283   0.2113   1.0000
   6.000   0.8387   0.01463   0.00672  -0.0276   0.1550   1.0000
   6.500   0.8872   0.01619   0.00826  -0.0266   0.1111   1.0000
   7.000   0.9345   0.01799   0.01009  -0.0255   0.0827   1.0000
   7.500   0.9796   0.02034   0.01250  -0.0241   0.0632   1.0000
   8.000   1.0245   0.02280   0.01530  -0.0226   0.0484   1.0000
   8.500   1.0665   0.02601   0.01884  -0.0208   0.0370   1.0000
   9.000   1.1025   0.03060   0.02392  -0.0187   0.0289   1.0000
   9.500   1.1354   0.03467   0.02855  -0.0164   0.0229   1.0000
  10.000   1.1447   0.04238   0.03723  -0.0133   0.0194   1.0000
  10.500   1.1375   0.05013   0.04582  -0.0103   0.0177   1.0000
  11.000   1.1023   0.05903   0.05528  -0.0095   0.0176   1.0000
  11.500   1.0613   0.07265   0.06928  -0.0191   0.0183   1.0000
  12.000   1.0156   0.09205   0.08890  -0.0339   0.0201   1.0000
  12.500   0.7604   0.12256   0.11946  -0.0356   0.0377   1.0000
  13.000   0.7366   0.13386   0.13072  -0.0391   0.0394   1.0000
