  
       XFOIL         Version 6.96
  
 Calculated polar for: AG37                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2500   0.02059   0.01361  -0.0354   1.0000   0.0398
  -4.500  -0.2000   0.01753   0.00997  -0.0335   1.0000   0.0415
  -4.000  -0.1490   0.01474   0.00706  -0.0324   1.0000   0.0469
  -3.500  -0.0975   0.01314   0.00544  -0.0315   1.0000   0.0568
  -3.000  -0.0440   0.01195   0.00440  -0.0313   1.0000   0.0960
  -2.500   0.0257   0.00864   0.00420  -0.0339   0.9950   1.0000
  -2.000   0.1214   0.00858   0.00377  -0.0422   0.9754   1.0000
  -1.500   0.2114   0.00837   0.00334  -0.0489   0.9503   1.0000
  -1.000   0.2818   0.00813   0.00295  -0.0510   0.9045   1.0000
  -0.500   0.3401   0.00801   0.00255  -0.0501   0.8384   1.0000
   0.000   0.3907   0.00833   0.00249  -0.0480   0.7657   1.0000
   0.500   0.4417   0.00874   0.00256  -0.0465   0.6984   1.0000
   1.000   0.4936   0.00917   0.00268  -0.0454   0.6390   1.0000
   1.500   0.5460   0.00974   0.00295  -0.0445   0.5918   1.0000
   2.000   0.5988   0.01033   0.00336  -0.0439   0.5500   1.0000
   2.500   0.6516   0.01086   0.00377  -0.0433   0.5084   1.0000
   3.000   0.7044   0.01130   0.00419  -0.0427   0.4623   1.0000
   3.500   0.7566   0.01175   0.00456  -0.0421   0.4099   1.0000
   4.000   0.8079   0.01239   0.00510  -0.0414   0.3536   1.0000
   4.500   0.8583   0.01318   0.00578  -0.0408   0.2952   1.0000
   5.000   0.9077   0.01415   0.00660  -0.0401   0.2273   1.0000
   5.500   0.9534   0.01575   0.00784  -0.0392   0.1407   1.0000
   6.000   0.9952   0.01809   0.00985  -0.0376   0.0856   1.0000
   6.500   1.0376   0.02024   0.01205  -0.0359   0.0645   1.0000
   7.000   1.0783   0.02272   0.01467  -0.0340   0.0532   1.0000
   7.500   1.1183   0.02570   0.01787  -0.0320   0.0453   1.0000
   8.000   1.1554   0.03032   0.02263  -0.0301   0.0393   1.0000
   8.500   1.1925   0.03331   0.02624  -0.0277   0.0354   1.0000
   9.000   1.2226   0.03742   0.03077  -0.0253   0.0321   1.0000
   9.500   1.2322   0.04480   0.03876  -0.0217   0.0295   1.0000
  10.000   1.2263   0.05109   0.04583  -0.0168   0.0287   1.0000
  10.500   1.1951   0.05818   0.05349  -0.0117   0.0285   1.0000
  11.000   1.1552   0.06780   0.06359  -0.0126   0.0286   1.0000
  11.500   1.1106   0.08123   0.07741  -0.0201   0.0290   1.0000
  12.000   1.0610   0.09877   0.09520  -0.0311   0.0297   1.0000
