  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 93-K-130/15                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2511   0.03814   0.03175  -0.0656   0.8382   0.0521
  -4.500  -0.2123   0.03290   0.02575  -0.0617   0.8328   0.0484
  -4.000  -0.1802   0.03123   0.02354  -0.0575   0.8224   0.0519
  -3.000  -0.0830   0.02775   0.01955  -0.0545   0.8076   0.0633
  -2.000   0.0088   0.02594   0.01772  -0.0505   0.7925   0.0880
  -1.500   0.0401   0.02528   0.01739  -0.0468   0.7809   0.1580
  -1.000   0.3572   0.02340   0.01784  -0.0963   0.7929   1.0000
  -0.500   0.3943   0.02387   0.01818  -0.0944   0.7815   1.0000
   0.500   0.4771   0.02407   0.01815  -0.0894   0.7650   1.0000
   1.000   0.5145   0.02446   0.01847  -0.0871   0.7533   1.0000
   2.000   0.6043   0.02416   0.01809  -0.0827   0.7375   1.0000
   2.500   0.6440   0.02432   0.01826  -0.0803   0.7256   1.0000
   3.500   0.7403   0.02340   0.01741  -0.0765   0.7104   1.0000
   4.000   0.7828   0.02329   0.01738  -0.0742   0.6985   1.0000
   4.500   0.8418   0.02175   0.01592  -0.0729   0.6954   1.0000
   5.000   0.8898   0.02090   0.01521  -0.0709   0.6836   1.0000
   6.000   0.9976   0.01788   0.01248  -0.0672   0.6598   1.0000
   6.500   1.0572   0.01586   0.01055  -0.0655   0.6410   1.0000
   7.000   1.1042   0.01526   0.01002  -0.0630   0.6043   1.0000
   7.500   1.1456   0.01524   0.00987  -0.0598   0.5517   1.0000
   8.000   1.1695   0.01627   0.01068  -0.0548   0.4820   1.0000
   8.500   1.1647   0.01824   0.01229  -0.0458   0.4077   1.0000
   9.000   1.1415   0.02048   0.01415  -0.0340   0.3383   1.0000
   9.500   1.1217   0.02342   0.01660  -0.0242   0.2538   1.0000
  10.000   1.1025   0.02709   0.01967  -0.0158   0.1644   1.0000
  10.500   1.0883   0.03116   0.02320  -0.0088   0.0961   1.0000
  11.000   1.0850   0.03495   0.02688  -0.0035   0.0677   1.0000
  11.500   1.0893   0.03854   0.03051   0.0007   0.0547   1.0000
  12.000   1.0958   0.04222   0.03418   0.0045   0.0465   1.0000
  12.500   1.1134   0.04519   0.03733   0.0073   0.0407   1.0000
  13.000   1.1342   0.04825   0.04045   0.0104   0.0357   1.0000
  13.500   1.1586   0.05123   0.04373   0.0129   0.0322   1.0000
  14.000   1.1797   0.05476   0.04735   0.0150   0.0285   1.0000
  14.500   1.0525   0.05476   0.04821   0.0267   0.0294   1.0000
  15.000   1.1929   0.06594   0.05954   0.0200   0.0255   1.0000
  15.500   1.1804   0.07282   0.06688   0.0214   0.0242   1.0000
  16.000   1.1648   0.08032   0.07473   0.0216   0.0230   1.0000
  16.500   1.1409   0.08962   0.08445   0.0206   0.0225   1.0000
  17.000   1.1009   0.10229   0.09761   0.0171   0.0226   1.0000
  17.500   1.0389   0.12097   0.11682   0.0084   0.0234   1.0000
  18.000   0.9629   0.14739   0.14367  -0.0070   0.0257   1.0000
