  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 94-145                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.0720   0.02526   0.01747  -0.1309   0.7398   0.0535
  -4.500   0.1261   0.02323   0.01532  -0.1316   0.7343   0.0592
  -4.000   0.1822   0.02186   0.01371  -0.1320   0.7302   0.0682
  -3.500   0.2385   0.02091   0.01262  -0.1323   0.7269   0.0815
  -3.000   0.2919   0.02051   0.01228  -0.1329   0.7205   0.0999
  -2.500   0.3475   0.01991   0.01179  -0.1337   0.7158   0.1251
  -2.000   0.4053   0.01942   0.01136  -0.1345   0.7121   0.1648
  -1.500   0.4592   0.01810   0.01189  -0.1362   0.7069   0.6144
  -1.000   0.4896   0.01857   0.01298  -0.1303   0.7009   0.8368
  -0.500   0.5201   0.01878   0.01314  -0.1237   0.6967   0.9215
   0.000   0.5819   0.01875   0.01291  -0.1240   0.6937   0.9968
   0.500   0.6240   0.02048   0.01464  -0.1245   0.6845   0.9998
   1.000   0.6848   0.02080   0.01478  -0.1260   0.6805   0.9998
   1.500   0.7472   0.02110   0.01491  -0.1275   0.6778   0.9998
   2.000   0.7845   0.02348   0.01737  -0.1275   0.6669   0.9998
   2.500   0.8468   0.02358   0.01737  -0.1288   0.6637   0.9998
   3.000   0.9104   0.02369   0.01738  -0.1301   0.6612   0.9998
   4.000   1.0061   0.02608   0.01987  -0.1302   0.6464   0.9998
