  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 94-W-301                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3531   0.02817   0.02032  -0.0643   0.6241   0.4146
  -4.500  -0.3125   0.02636   0.01824  -0.0663   0.6154   0.4247
  -4.000  -0.2517   0.02659   0.01860  -0.0667   0.6067   0.4289
  -3.500  -0.1916   0.02705   0.01904  -0.0674   0.5988   0.4340
  -3.000  -0.1400   0.02583   0.01764  -0.0699   0.5903   0.4435
  -2.500  -0.0808   0.02594   0.01782  -0.0704   0.5829   0.4482
  -2.000  -0.0208   0.02635   0.01822  -0.0712   0.5761   0.4533
  -1.500   0.0358   0.02570   0.01751  -0.0735   0.5681   0.4622
  -1.000   0.0945   0.02557   0.01741  -0.0744   0.5611   0.4676
  -0.500   0.1552   0.02594   0.01775  -0.0754   0.5552   0.4727
   0.000   0.2126   0.02584   0.01769  -0.0770   0.5482   0.4809
   0.500   0.2716   0.02554   0.01740  -0.0785   0.5410   0.4872
   1.000   0.3320   0.02581   0.01767  -0.0793   0.5355   0.4922
   1.500   0.3907   0.02614   0.01804  -0.0807   0.5297   0.4998
   2.000   0.4487   0.02599   0.01792  -0.0823   0.5224   0.5071
   2.500   0.5065   0.02624   0.01826  -0.0826   0.5166   0.5121
   3.000   0.5697   0.02663   0.01857  -0.0843   0.5118   0.5195
   3.500   0.6248   0.02685   0.01888  -0.0856   0.5051   0.5273
   4.000   0.6771   0.02724   0.01947  -0.0851   0.4988   0.5324
   4.500   0.7375   0.02754   0.01978  -0.0861   0.4939   0.5396
   5.000   0.8003   0.02799   0.02012  -0.0885   0.4885   0.5480
   5.500   0.8425   0.02870   0.02116  -0.0867   0.4818   0.5534
   6.000   0.8962   0.02917   0.02174  -0.0866   0.4761   0.5604
   6.500   0.9650   0.02926   0.02169  -0.0893   0.4715   0.5692
   7.000   1.0030   0.03041   0.02311  -0.0872   0.4653   0.5751
   7.500   1.0428   0.03131   0.02424  -0.0851   0.4584   0.5820
   8.000   1.1056   0.03147   0.02435  -0.0866   0.4535   0.5911
   8.500   1.1605   0.03207   0.02502  -0.0869   0.4481   0.5980
   9.000   1.1692   0.03387   0.02718  -0.0807   0.4399   0.6045
   9.500   1.2329   0.03373   0.02699  -0.0820   0.4344   0.6143
  10.000   1.2884   0.03400   0.02731  -0.0821   0.4283   0.6217
  10.500   1.2512   0.03667   0.03034  -0.0699   0.4191   0.6276
  11.000   1.3554   0.03492   0.02840  -0.0759   0.4137   0.6396
  11.500   1.2794   0.04069   0.03462  -0.0627   0.4029   0.6439
  12.000   1.3809   0.03737   0.03120  -0.0657   0.3961   0.6550
  12.500   1.2767   0.04782   0.04204  -0.0569   0.3822   0.6595
  13.000   1.4117   0.04122   0.03530  -0.0598   0.3775   0.6730
  13.500   1.3106   0.05327   0.04773  -0.0544   0.3620   0.6772
  14.000   1.4656   0.04431   0.03850  -0.0569   0.3572   0.6931
  14.500   1.3914   0.05466   0.04920  -0.0534   0.3421   0.6991
  15.000   1.3449   0.06424   0.05896  -0.0526   0.3258   0.7068
  15.500   1.3217   0.07201   0.06691  -0.0524   0.3097   0.7143
  16.000   1.3187   0.07802   0.07301  -0.0527   0.2940   0.7245
  16.500   1.3259   0.08300   0.07806  -0.0531   0.2781   0.7356
  17.000   1.3357   0.08774   0.08283  -0.0535   0.2614   0.7488
  17.500   1.3479   0.09214   0.08723  -0.0538   0.2439   0.7617
  18.000   1.3591   0.09675   0.09174  -0.0544   0.2256   0.7763
