  
       XFOIL         Version 6.96
  
 Calculated polar for: NASA/AMES A-02 AIRFOIL                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5429   0.02277   0.01504  -0.0064   1.0000   0.0395
  -4.500  -0.4865   0.01930   0.01101  -0.0058   1.0000   0.0413
  -4.000  -0.4303   0.01700   0.00857  -0.0056   1.0000   0.0462
  -3.500  -0.3750   0.01495   0.00660  -0.0054   1.0000   0.0533
  -3.000  -0.3196   0.01330   0.00513  -0.0053   1.0000   0.0670
  -2.500  -0.2642   0.01152   0.00379  -0.0056   1.0000   0.1318
  -2.000  -0.2209   0.00860   0.00338  -0.0040   1.0000   0.6887
  -1.500  -0.1773   0.00817   0.00338  -0.0002   1.0000   0.8276
  -1.000  -0.1280   0.00810   0.00350   0.0028   1.0000   0.9434
  -0.500  -0.0385   0.00817   0.00346  -0.0045   1.0000   1.0000
   0.000  -0.0010   0.00833   0.00350  -0.0024   0.9983   1.0000
   0.500   0.1018   0.00823   0.00334  -0.0121   0.9742   1.0000
   1.000   0.1668   0.00831   0.00338  -0.0130   0.9335   1.0000
   1.500   0.2072   0.00843   0.00342  -0.0083   0.8860   1.0000
   2.000   0.2503   0.00845   0.00335  -0.0040   0.8287   1.0000
   2.500   0.2964   0.00854   0.00321  -0.0005   0.7357   1.0000
   3.000   0.3442   0.00943   0.00314   0.0022   0.5078   1.0000
   3.500   0.3971   0.01120   0.00370   0.0020   0.2621   1.0000
   4.000   0.4522   0.01256   0.00449   0.0016   0.1671   1.0000
   4.500   0.5072   0.01381   0.00549   0.0014   0.1213   1.0000
   5.000   0.5619   0.01509   0.00661   0.0014   0.0947   1.0000
   5.500   0.6159   0.01653   0.00797   0.0016   0.0775   1.0000
   6.000   0.6695   0.01824   0.00966   0.0019   0.0655   1.0000
   6.500   0.7227   0.02008   0.01151   0.0022   0.0568   1.0000
   7.000   0.7752   0.02236   0.01388   0.0026   0.0507   1.0000
   7.500   0.8268   0.02520   0.01712   0.0031   0.0463   1.0000
   8.000   0.8738   0.02967   0.02239   0.0039   0.0432   1.0000
   8.500   0.9183   0.03368   0.02672   0.0044   0.0407   1.0000
   9.000   0.9436   0.04258   0.03680   0.0057   0.0407   1.0000
  10.000   0.7683   0.10627   0.10257  -0.0275   0.0699   1.0000
  10.500   0.8008   0.10871   0.10503  -0.0197   0.0681   1.0000
  11.000   0.7591   0.12664   0.12285  -0.0380   0.0637   1.0000
  11.500   0.7747   0.13322   0.12943  -0.0373   0.0614   1.0000
  12.000   0.7655   0.14410   0.14027  -0.0454   0.0571   1.0000
  12.500   0.7829   0.15107   0.14725  -0.0448   0.0556   1.0000
  13.000   0.7747   0.16153   0.15767  -0.0535   0.0520   1.0000
  13.500   0.8003   0.16773   0.16390  -0.0515   0.0504   1.0000
  14.000   0.7913   0.17788   0.17400  -0.0613   0.0476   1.0000
  14.500   0.8114   0.18448   0.18062  -0.0618   0.0457   1.0000
  15.000   0.8144   0.19324   0.18935  -0.0689   0.0429   1.0000
  15.500   0.8329   0.19983   0.19596  -0.0705   0.0412   1.0000
  16.000   0.8415   0.20830   0.20442  -0.0769   0.0395   1.0000
  16.500   0.8571   0.21519   0.21131  -0.0805   0.0376   1.0000
  17.000   0.8752   0.22242   0.21856  -0.0826   0.0367   1.0000
  17.500   0.8866   0.23001   0.22614  -0.0895   0.0348   1.0000
  18.000   0.9035   0.23658   0.23273  -0.0930   0.0334   1.0000
