  
       XFOIL         Version 6.96
  
 Calculated polar for: B-29 ROOT AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3738   0.01615   0.00880  -0.0279   0.6920   0.4561
  -4.500  -0.3378   0.01610   0.00865  -0.0239   0.6824   0.4840
  -4.000  -0.2991   0.01595   0.00860  -0.0204   0.6710   0.5102
  -3.500  -0.2555   0.01584   0.00845  -0.0178   0.6618   0.5368
  -3.000  -0.2165   0.01577   0.00843  -0.0144   0.6508   0.5636
  -2.500  -0.1688   0.01568   0.00835  -0.0124   0.6427   0.5951
  -2.000  -0.1346   0.01571   0.00851  -0.0080   0.6315   0.6295
  -1.500  -0.0799   0.01559   0.00841  -0.0073   0.6235   0.6580
  -1.000  -0.0385   0.01568   0.00863  -0.0045   0.6133   0.6873
  -0.500   0.0162   0.01561   0.00855  -0.0039   0.6049   0.7168
   0.000   0.0655   0.01582   0.00889  -0.0024   0.5956   0.7467
   0.500   0.1185   0.01593   0.00902  -0.0015   0.5871   0.7768
   1.000   0.1848   0.01628   0.00941  -0.0033   0.5786   0.8025
   1.500   0.2504   0.01671   0.00991  -0.0050   0.5694   0.8260
   2.000   0.3313   0.01724   0.01032  -0.0094   0.5620   0.8444
   2.500   0.3960   0.01794   0.01114  -0.0111   0.5522   0.8616
   3.000   0.4707   0.01843   0.01149  -0.0144   0.5450   0.8771
   3.500   0.5602   0.01942   0.01258  -0.0211   0.5353   0.8829
   4.000   0.6281   0.01987   0.01297  -0.0232   0.5277   0.8971
   4.500   0.7099   0.02068   0.01382  -0.0285   0.5193   0.9052
   5.000   0.7758   0.02118   0.01436  -0.0308   0.5110   0.9183
   5.500   0.8432   0.02162   0.01472  -0.0333   0.5042   0.9321
   6.000   0.9142   0.02237   0.01567  -0.0372   0.4950   0.9423
   6.500   0.9930   0.02251   0.01572  -0.0420   0.4879   0.9527
   7.000   1.0512   0.02333   0.01676  -0.0438   0.4792   0.9665
   7.500   1.1251   0.02340   0.01683  -0.0480   0.4708   0.9783
   8.000   1.1974   0.02351   0.01708  -0.0525   0.4590   0.9891
   8.500   1.2764   0.02279   0.01632  -0.0577   0.4444   0.9990
   9.000   1.3094   0.02256   0.01602  -0.0542   0.4324   1.0000
   9.500   1.3102   0.02322   0.01687  -0.0456   0.4227   1.0000
  10.000   1.3399   0.02328   0.01684  -0.0414   0.4133   1.0000
  10.500   1.3110   0.02411   0.01788  -0.0278   0.4040   1.0000
  11.000   1.3211   0.02421   0.01790  -0.0201   0.3946   1.0000
  11.500   1.2700   0.02549   0.01938  -0.0041   0.3852   1.0000
  12.000   1.2677   0.02640   0.02029   0.0038   0.3743   1.0000
  12.500   1.2577   0.02786   0.02179   0.0117   0.3619   1.0000
  13.000   1.2333   0.03059   0.02466   0.0197   0.3480   1.0000
  13.500   1.2200   0.03348   0.02761   0.0254   0.3322   1.0000
  14.000   1.2084   0.03677   0.03092   0.0301   0.3136   1.0000
  14.500   1.1958   0.04066   0.03479   0.0339   0.2920   1.0000
  15.000   1.1709   0.04624   0.04037   0.0371   0.2654   1.0000
  15.500   1.1458   0.05244   0.04647   0.0394   0.2348   1.0000
  16.000   1.1195   0.05925   0.05310   0.0410   0.2042   1.0000
  16.500   1.0983   0.06596   0.05962   0.0420   0.1787   1.0000
  17.000   1.0867   0.07184   0.06527   0.0427   0.1591   1.0000
  17.500   1.0833   0.07706   0.07039   0.0432   0.1433   1.0000
  18.000   1.0854   0.08187   0.07513   0.0433   0.1311   1.0000
