  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING 737 MIDSPAN AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4978   0.01218   0.00548   0.0002   1.0000   0.2908
  -4.500  -0.4562   0.01158   0.00523   0.0022   1.0000   0.3677
  -4.000  -0.3687   0.01103   0.00511  -0.0047   0.9832   0.4720
  -3.500  -0.2826   0.01070   0.00511  -0.0103   0.9594   0.5728
  -3.000  -0.2062   0.01043   0.00491  -0.0135   0.9266   0.6263
  -2.500  -0.1392   0.01016   0.00465  -0.0143   0.8835   0.6659
  -2.000  -0.0847   0.01008   0.00444  -0.0124   0.8334   0.7017
  -1.500  -0.0332   0.01010   0.00437  -0.0103   0.7920   0.7359
  -1.000   0.0183   0.01014   0.00433  -0.0083   0.7559   0.7695
  -0.500   0.0696   0.01018   0.00432  -0.0063   0.7220   0.8031
   0.000   0.1204   0.01023   0.00434  -0.0041   0.6887   0.8385
   0.500   0.1710   0.01030   0.00438  -0.0018   0.6544   0.8768
   1.000   0.2259   0.01043   0.00447  -0.0002   0.6156   0.9173
   1.500   0.2963   0.01067   0.00454  -0.0020   0.5690   0.9541
   2.000   0.3820   0.01091   0.00456  -0.0078   0.5071   0.9775
   2.500   0.4723   0.01130   0.00456  -0.0151   0.4214   0.9973
   3.000   0.5192   0.01180   0.00467  -0.0144   0.3532   1.0000
   4.000   0.6023   0.01327   0.00555  -0.0098   0.2724   1.0000
   4.500   0.6467   0.01402   0.00616  -0.0078   0.2439   1.0000
   5.000   0.6918   0.01493   0.00690  -0.0060   0.2213   1.0000
   5.500   0.7388   0.01578   0.00770  -0.0045   0.2022   1.0000
   6.000   0.7862   0.01673   0.00860  -0.0031   0.1863   1.0000
   6.500   0.8340   0.01778   0.00960  -0.0019   0.1730   1.0000
   7.000   0.8819   0.01886   0.01063  -0.0007   0.1609   1.0000
   7.500   0.9298   0.01983   0.01174   0.0004   0.1498   1.0000
   8.000   0.9765   0.02108   0.01306   0.0016   0.1394   1.0000
   8.500   1.0224   0.02244   0.01442   0.0027   0.1297   1.0000
   9.000   1.0672   0.02355   0.01564   0.0040   0.1204   1.0000
   9.500   1.1097   0.02511   0.01740   0.0054   0.1115   1.0000
  10.000   1.1509   0.02685   0.01918   0.0068   0.1035   1.0000
  10.500   1.1893   0.02824   0.02071   0.0086   0.0956   1.0000
  11.000   1.2223   0.03042   0.02317   0.0108   0.0885   1.0000
  11.500   1.2560   0.03257   0.02529   0.0126   0.0823   1.0000
  12.000   1.2762   0.03487   0.02799   0.0158   0.0770   1.0000
  12.500   1.2991   0.03758   0.03069   0.0183   0.0727   1.0000
  13.000   1.2984   0.04117   0.03476   0.0217   0.0693   1.0000
  13.500   1.3086   0.04460   0.03833   0.0231   0.0663   1.0000
  14.000   1.3095   0.04980   0.04374   0.0237   0.0639   1.0000
  14.500   1.2828   0.05794   0.05241   0.0215   0.0622   1.0000
  15.000   1.2483   0.06837   0.06328   0.0168   0.0609   1.0000
  15.500   1.1806   0.08538   0.08080   0.0069   0.0605   1.0000
  17.500   0.5665   0.18454   0.18089  -0.0336   0.0748   1.0000
  18.000   0.6002   0.19185   0.18824  -0.0324   0.0731   1.0000
