  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING 737 MIDSPAN AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4763   0.03645   0.03128  -0.0150   1.0000   0.0646
  -4.500  -0.4316   0.03199   0.02613  -0.0138   0.9963   0.0747
  -4.000  -0.3527   0.02639   0.02017  -0.0201   0.9840   0.0946
  -3.500  -0.2596   0.02001   0.01266  -0.0221   0.9716   0.0416
  -2.500  -0.1094   0.01404   0.00627  -0.0278   0.9222   0.0426
  -2.000  -0.0556   0.01263   0.00475  -0.0270   0.8774   0.0522
  -1.500  -0.0042   0.01147   0.00345  -0.0257   0.8412   0.1052
  -1.000   0.0293   0.00900   0.00313  -0.0215   0.8159   0.7113
  -0.500   0.0788   0.00893   0.00323  -0.0189   0.7969   0.8397
   0.000   0.1343   0.00919   0.00343  -0.0176   0.7802   0.9202
   0.500   0.2196   0.00955   0.00364  -0.0228   0.7654   0.9709
   1.000   0.3318   0.00969   0.00362  -0.0349   0.7495   1.0000
   1.500   0.3818   0.00982   0.00358  -0.0341   0.7291   1.0000
   2.000   0.4314   0.00997   0.00369  -0.0332   0.7083   1.0000
   2.500   0.4808   0.01017   0.00384  -0.0322   0.6892   1.0000
   3.000   0.5297   0.01040   0.00408  -0.0310   0.6684   1.0000
   3.500   0.5772   0.01060   0.00426  -0.0294   0.6413   1.0000
   4.000   0.6234   0.01075   0.00447  -0.0274   0.6059   1.0000
   4.500   0.6694   0.01100   0.00470  -0.0253   0.5680   1.0000
   5.000   0.7143   0.01094   0.00487  -0.0230   0.4828   1.0000
   5.500   0.7518   0.01185   0.00521  -0.0197   0.3796   1.0000
   6.000   0.7896   0.01319   0.00608  -0.0170   0.2762   1.0000
   6.500   0.8284   0.01463   0.00717  -0.0147   0.1911   1.0000
   7.000   0.8683   0.01612   0.00841  -0.0127   0.1231   1.0000
   7.500   0.9035   0.01831   0.01039  -0.0099   0.0708   1.0000
   8.000   0.9353   0.02111   0.01316  -0.0065   0.0516   1.0000
   8.500   0.9726   0.02349   0.01570  -0.0040   0.0425   1.0000
   9.000   1.0102   0.02649   0.01903  -0.0016   0.0356   1.0000
   9.500   1.0417   0.03069   0.02354   0.0009   0.0285   1.0000
  10.000   1.0704   0.03511   0.02860   0.0042   0.0248   1.0000
  10.500   1.0857   0.04070   0.03480   0.0080   0.0229   1.0000
  11.000   1.0865   0.04610   0.04062   0.0122   0.0213   1.0000
