  
       XFOIL         Version 6.96
  
 Calculated polar for: Bergey BW-3  (smoothed)                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2870   0.07698   0.07364  -0.0264   0.9962   0.0509
  -4.500  -0.1792   0.06817   0.06459  -0.0536   0.9873   0.0568
  -4.000  -0.1327   0.06113   0.05757  -0.0564   0.9782   0.0596
  -3.500  -0.0216   0.05314   0.04922  -0.0788   0.9675   0.0661
  -3.000   0.0320   0.04696   0.04306  -0.0823   0.9573   0.0692
  -2.500   0.1317   0.04003   0.03571  -0.0967   0.9481   0.0770
  -1.500   0.2855   0.02955   0.02475  -0.1099   0.9317   0.0914
  -1.000   0.3693   0.02512   0.01993  -0.1164   0.9252   0.1049
  -0.500   0.4543   0.02174   0.01609  -0.1226   0.9155   0.1306
