  
       XFOIL         Version 6.96
  
 Calculated polar for: LOCKHEED C-141 BL610.61 AIRFOIL                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5555   0.02196   0.01386  -0.0116   1.0000   0.0509
  -4.500  -0.4884   0.02062   0.01234  -0.0143   0.9955   0.0612
  -4.000  -0.4199   0.01953   0.01111  -0.0174   0.9895   0.0743
  -3.500  -0.3484   0.01844   0.01014  -0.0213   0.9843   0.0904
  -3.000  -0.2838   0.01750   0.00926  -0.0236   0.9762   0.1084
  -2.500  -0.2148   0.01670   0.00862  -0.0269   0.9694   0.1401
  -2.000  -0.1537   0.01428   0.00811  -0.0296   0.9625   0.5264
  -1.500  -0.1031   0.01367   0.00870  -0.0267   0.9542   0.8530
  -1.000  -0.0257   0.01418   0.00922  -0.0294   0.9477   0.9555
  -0.500   0.1106   0.01481   0.00968  -0.0458   0.9494   0.9946
   0.000   0.2099   0.01477   0.00955  -0.0555   0.9450   1.0000
   0.500   0.2735   0.01460   0.00933  -0.0578   0.9316   1.0000
   1.000   0.3574   0.01409   0.00883  -0.0634   0.9180   1.0000
   1.500   0.4664   0.01218   0.00694  -0.0715   0.8958   1.0000
   2.000   0.5240   0.01123   0.00603  -0.0704   0.8695   1.0000
   2.500   0.5739   0.01068   0.00549  -0.0682   0.8388   1.0000
   3.000   0.6220   0.01030   0.00510  -0.0655   0.7953   1.0000
   3.500   0.6686   0.01013   0.00476  -0.0624   0.7226   1.0000
   4.000   0.7015   0.01082   0.00469  -0.0566   0.5540   1.0000
   4.500   0.7035   0.01322   0.00552  -0.0464   0.2741   1.0000
   5.000   0.7254   0.01497   0.00657  -0.0402   0.1683   1.0000
   5.500   0.7582   0.01617   0.00756  -0.0359   0.1370   1.0000
   6.000   0.7933   0.01748   0.00871  -0.0322   0.1181   1.0000
   6.500   0.8320   0.01895   0.01008  -0.0292   0.1030   1.0000
   7.000   0.8739   0.02048   0.01158  -0.0269   0.0899   1.0000
   7.500   0.9174   0.02216   0.01325  -0.0250   0.0783   1.0000
   8.000   0.9595   0.02344   0.01463  -0.0228   0.0690   1.0000
   8.500   1.0027   0.02523   0.01659  -0.0208   0.0609   1.0000
   9.000   1.0458   0.02752   0.01906  -0.0190   0.0545   1.0000
   9.500   1.0890   0.03025   0.02186  -0.0176   0.0498   1.0000
  10.000   1.1234   0.03267   0.02471  -0.0144   0.0457   1.0000
  10.500   1.1591   0.03640   0.02862  -0.0123   0.0431   1.0000
  11.000   1.1699   0.04138   0.03447  -0.0063   0.0416   1.0000
  11.500   1.1639   0.04707   0.04087   0.0009   0.0405   1.0000
  12.000   1.1406   0.05284   0.04720   0.0090   0.0398   1.0000
  12.500   1.0971   0.06063   0.05557   0.0154   0.0397   1.0000
  13.000   1.0219   0.07355   0.06910   0.0163   0.0407   1.0000
  13.500   0.9460   0.09166   0.08759   0.0072   0.0421   1.0000
  14.000   0.8982   0.11065   0.10670  -0.0040   0.0433   1.0000
  14.500   0.7733   0.16503   0.16103  -0.0352   0.0655   1.0000
  15.000   0.7781   0.17346   0.16946  -0.0398   0.0614   1.0000
  15.500   0.7977   0.17937   0.17539  -0.0404   0.0594   1.0000
  16.000   0.8169   0.18737   0.18341  -0.0405   0.0582   1.0000
  16.500   0.8036   0.19764   0.19361  -0.0525   0.0542   1.0000
  17.000   0.8211   0.20369   0.19969  -0.0546   0.0515   1.0000
  17.500   0.8494   0.21132   0.20735  -0.0531   0.0503   1.0000
  18.000   0.8412   0.21953   0.21552  -0.0648   0.0472   1.0000
