  
       XFOIL         Version 6.96
  
 Calculated polar for: LOCKHEED C-141 BL761.11 AIRFOIL                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5312   0.02521   0.01752  -0.0176   0.9994   0.0600
  -4.500  -0.4612   0.02323   0.01532  -0.0211   0.9945   0.0645
  -4.000  -0.3934   0.02117   0.01288  -0.0237   0.9886   0.0701
  -3.500  -0.3204   0.02010   0.01172  -0.0275   0.9835   0.0779
  -3.000  -0.2550   0.01890   0.01056  -0.0299   0.9757   0.0887
  -2.500  -0.1856   0.01808   0.00978  -0.0330   0.9690   0.1051
  -2.000  -0.1175   0.01722   0.00911  -0.0360   0.9611   0.1300
  -1.500  -0.0525   0.01644   0.00863  -0.0385   0.9522   0.1803
  -1.000  -0.0008   0.01397   0.00902  -0.0367   0.9465   0.8746
  -0.500   0.1303   0.01458   0.00958  -0.0511   0.9477   1.0000
   0.000   0.1934   0.01455   0.00943  -0.0532   0.9351   1.0000
   0.500   0.2720   0.01431   0.00911  -0.0578   0.9226   1.0000
   1.000   0.3987   0.01310   0.00789  -0.0707   0.9135   1.0000
   1.500   0.4605   0.01234   0.00715  -0.0709   0.8926   1.0000
   2.000   0.5293   0.01123   0.00607  -0.0718   0.8691   1.0000
   2.500   0.5852   0.01053   0.00537  -0.0703   0.8371   1.0000
   3.000   0.6360   0.01020   0.00502  -0.0681   0.7945   1.0000
   3.500   0.6844   0.01008   0.00475  -0.0653   0.7246   1.0000
   4.000   0.7196   0.01073   0.00467  -0.0599   0.5653   1.0000
   4.500   0.7267   0.01285   0.00540  -0.0503   0.3176   1.0000
   5.000   0.7520   0.01449   0.00632  -0.0448   0.2025   1.0000
   5.500   0.7856   0.01585   0.00729  -0.0408   0.1435   1.0000
   6.000   0.8228   0.01710   0.00837  -0.0374   0.1126   1.0000
   6.500   0.8583   0.01877   0.00984  -0.0339   0.0910   1.0000
   7.000   0.8979   0.02056   0.01159  -0.0312   0.0773   1.0000
   7.500   0.9411   0.02240   0.01337  -0.0292   0.0681   1.0000
   8.000   0.9874   0.02421   0.01536  -0.0275   0.0624   1.0000
   8.500   1.0355   0.02672   0.01785  -0.0267   0.0576   1.0000
   9.000   1.0802   0.02904   0.02051  -0.0249   0.0542   1.0000
   9.500   1.1235   0.03161   0.02322  -0.0234   0.0513   1.0000
  10.000   1.1586   0.03548   0.02755  -0.0207   0.0489   1.0000
  10.500   1.1813   0.03999   0.03274  -0.0162   0.0475   1.0000
  11.000   1.1900   0.04535   0.03877  -0.0104   0.0466   1.0000
  11.500   1.1835   0.05065   0.04462  -0.0034   0.0457   1.0000
  12.000   1.1572   0.05650   0.05098   0.0046   0.0453   1.0000
  12.500   1.0851   0.06716   0.06235   0.0111   0.0464   1.0000
  13.000   1.0056   0.08191   0.07759   0.0086   0.0479   1.0000
  13.500   0.9414   0.10046   0.09640  -0.0019   0.0495   1.0000
  14.000   0.6181   0.14051   0.13677  -0.0129   0.0796   1.0000
  14.500   0.5917   0.14881   0.14506  -0.0179   0.0770   1.0000
  15.000   0.5826   0.15413   0.15039  -0.0213   0.0711   1.0000
  15.500   0.6038   0.15868   0.15497  -0.0207   0.0686   1.0000
  16.000   0.8263   0.19016   0.18614  -0.0523   0.0597   1.0000
  16.500   0.8562   0.19698   0.19299  -0.0495   0.0583   1.0000
  17.000   0.8402   0.20693   0.20289  -0.0629   0.0544   1.0000
  17.500   0.8560   0.21329   0.20927  -0.0659   0.0519   1.0000
  18.000   0.8858   0.22000   0.21602  -0.0643   0.0504   1.0000
