  
       XFOIL         Version 6.96
  
 Calculated polar for: LOCKHEED C-141 BL958.89 AIRFOIL                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500  -0.4069   0.04401   0.03918  -0.0342   0.9893   0.0862
  -4.000  -0.3430   0.03863   0.03332  -0.0389   0.9828   0.0964
  -3.500  -0.2803   0.03446   0.02872  -0.0422   0.9752   0.1092
  -3.000  -0.2180   0.03123   0.02523  -0.0450   0.9675   0.1259
  -2.500  -0.1489   0.02846   0.02210  -0.0487   0.9611   0.1543
  -2.000  -0.0592   0.02146   0.01344  -0.0500   0.9597   0.0747
  -1.500   0.0031   0.02038   0.01225  -0.0512   0.9495   0.0795
  -1.000   0.0785   0.01923   0.01121  -0.0550   0.9419   0.0879
  -0.500   0.1565   0.01801   0.01014  -0.0590   0.9306   0.1007
   0.000   0.2274   0.01682   0.00917  -0.0616   0.9168   0.1256
   1.000   0.4158   0.01266   0.00766  -0.0742   0.8984   1.0000
   1.500   0.4890   0.01170   0.00664  -0.0761   0.8813   1.0000
   2.000   0.5480   0.01075   0.00564  -0.0748   0.8521   1.0000
   2.500   0.6125   0.01004   0.00484  -0.0748   0.8110   1.0000
   3.000   0.6686   0.00986   0.00445  -0.0734   0.7446   1.0000
   3.500   0.7112   0.01036   0.00431  -0.0693   0.6042   1.0000
   4.000   0.7264   0.01240   0.00493  -0.0610   0.3552   1.0000
   4.500   0.7606   0.01378   0.00575  -0.0570   0.2691   1.0000
   5.000   0.8007   0.01490   0.00658  -0.0541   0.2191   1.0000
   5.500   0.8401   0.01620   0.00756  -0.0511   0.1736   1.0000
   6.000   0.8831   0.01731   0.00854  -0.0487   0.1483   1.0000
   6.500   0.9273   0.01846   0.00959  -0.0465   0.1342   1.0000
   7.000   0.9720   0.01959   0.01070  -0.0446   0.1225   1.0000
   7.500   1.0167   0.02083   0.01194  -0.0427   0.1124   1.0000
   8.000   1.0614   0.02224   0.01333  -0.0410   0.1032   1.0000
   8.500   1.1053   0.02378   0.01486  -0.0393   0.0937   1.0000
   9.000   1.1474   0.02540   0.01652  -0.0373   0.0839   1.0000
   9.500   1.1863   0.02711   0.01832  -0.0349   0.0741   1.0000
  10.000   1.2219   0.02892   0.02027  -0.0320   0.0652   1.0000
  10.500   1.2562   0.03097   0.02243  -0.0290   0.0582   1.0000
  11.000   1.2861   0.03281   0.02436  -0.0254   0.0530   1.0000
  11.500   1.3066   0.03511   0.02706  -0.0204   0.0486   1.0000
  12.000   1.3299   0.03795   0.03011  -0.0165   0.0457   1.0000
  12.500   1.3431   0.04123   0.03378  -0.0116   0.0433   1.0000
  13.000   1.3635   0.04427   0.03686  -0.0083   0.0415   1.0000
  13.500   1.3456   0.04976   0.04308  -0.0019   0.0403   1.0000
  14.000   1.3258   0.05589   0.04973   0.0025   0.0392   1.0000
  14.500   1.3045   0.06277   0.05702   0.0047   0.0384   1.0000
  15.000   1.2686   0.07231   0.06700   0.0042   0.0381   1.0000
  15.500   1.1169   0.10563   0.10136  -0.0150   0.0403   1.0000
  16.500   0.6601   0.17225   0.16854  -0.0342   0.0668   1.0000
  17.000   0.6298   0.17892   0.17521  -0.0416   0.0629   1.0000
  17.500   0.6398   0.18374   0.18005  -0.0429   0.0605   1.0000
  18.000   0.6664   0.19029   0.18663  -0.0419   0.0593   1.0000
