  
       XFOIL         Version 6.96
  
 Calculated polar for: LOCKHEED C-5A BL576 AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5776   0.02216   0.01386  -0.0132   1.0000   0.0469
  -4.500  -0.5311   0.02001   0.01163  -0.0119   1.0000   0.0517
  -4.000  -0.4848   0.01882   0.01037  -0.0107   1.0000   0.0601
  -3.500  -0.4218   0.01772   0.00933  -0.0129   0.9966   0.0729
  -3.000  -0.3509   0.01671   0.00860  -0.0168   0.9910   0.1247
  -2.500  -0.2822   0.01467   0.00837  -0.0215   0.9864   0.4896
  -2.000  -0.2212   0.01429   0.00894  -0.0221   0.9789   0.7478
  -1.500  -0.1660   0.01459   0.00951  -0.0206   0.9701   0.8598
  -1.000  -0.1046   0.01504   0.00996  -0.0207   0.9616   0.9210
  -0.500  -0.0325   0.01538   0.01021  -0.0239   0.9519   0.9622
   0.000   0.0849   0.01603   0.01075  -0.0369   0.9498   0.9924
   0.500   0.1682   0.01613   0.01079  -0.0438   0.9401   1.0000
   1.000   0.2497   0.01571   0.01034  -0.0493   0.9244   1.0000
   1.500   0.3474   0.01489   0.00954  -0.0571   0.9090   1.0000
   2.000   0.4413   0.01394   0.00868  -0.0641   0.8953   1.0000
   2.500   0.5392   0.01206   0.00690  -0.0703   0.8742   1.0000
   3.000   0.5943   0.01107   0.00597  -0.0690   0.8430   1.0000
   3.500   0.6388   0.01051   0.00544  -0.0656   0.7909   1.0000
   4.000   0.6965   0.01037   0.00474  -0.0644   0.6492   1.0000
   4.500   0.7076   0.01188   0.00511  -0.0551   0.4300   1.0000
   5.000   0.7129   0.01406   0.00605  -0.0458   0.2112   1.0000
   5.500   0.7385   0.01582   0.00723  -0.0404   0.1275   1.0000
   6.000   0.7704   0.01751   0.00870  -0.0362   0.1030   1.0000
   6.500   0.8099   0.01919   0.01030  -0.0334   0.0911   1.0000
   7.000   0.8553   0.02049   0.01171  -0.0315   0.0830   1.0000
   7.500   0.9030   0.02235   0.01359  -0.0304   0.0755   1.0000
   8.000   0.9490   0.02378   0.01512  -0.0289   0.0687   1.0000
   8.500   0.9980   0.02615   0.01770  -0.0280   0.0626   1.0000
   9.000   1.0435   0.02831   0.02000  -0.0266   0.0574   1.0000
   9.500   1.0872   0.03244   0.02460  -0.0250   0.0536   1.0000
  10.000   1.1199   0.03591   0.02861  -0.0216   0.0499   1.0000
  10.500   1.1482   0.03992   0.03301  -0.0181   0.0476   1.0000
  11.000   1.1540   0.04753   0.04118  -0.0128   0.0455   1.0000
  11.500   1.1364   0.05241   0.04683  -0.0037   0.0444   1.0000
  12.000   1.0978   0.05892   0.05394   0.0057   0.0438   1.0000
  12.500   1.0478   0.06720   0.06272   0.0116   0.0438   1.0000
  13.000   0.9922   0.07814   0.07404   0.0120   0.0444   1.0000
  13.500   0.9410   0.09234   0.08846   0.0067   0.0454   1.0000
  14.000   0.5870   0.13724   0.13369  -0.0117   0.0804   1.0000
  14.500   0.6092   0.14291   0.13941  -0.0093   0.0773   1.0000
  15.000   0.5651   0.14987   0.14632  -0.0177   0.0715   1.0000
  15.500   0.5876   0.15401   0.15052  -0.0166   0.0670   1.0000
  16.000   0.5658   0.16107   0.15755  -0.0221   0.0633   1.0000
  16.500   0.5726   0.16580   0.16232  -0.0237   0.0574   1.0000
  17.000   0.8338   0.20147   0.19772  -0.0504   0.0456   1.0000
  17.500   0.8251   0.21122   0.20740  -0.0627   0.0430   1.0000
  18.000   0.8385   0.21847   0.21465  -0.0669   0.0397   1.0000
