  
       XFOIL         Version 6.96
  
 Calculated polar for: LOCKHEED C-5A BL1256 AIRFOIL                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4461   0.02680   0.01986  -0.0313   0.9894   0.0662
  -4.500  -0.3704   0.02231   0.01471  -0.0358   0.9816   0.0664
  -4.000  -0.2957   0.01911   0.01119  -0.0399   0.9725   0.0690
  -3.500  -0.2202   0.01756   0.00961  -0.0441   0.9618   0.0752
  -3.000  -0.1446   0.01576   0.00780  -0.0481   0.9521   0.0821
  -2.500  -0.0714   0.01455   0.00670  -0.0516   0.9408   0.0956
  -2.000  -0.0055   0.01360   0.00585  -0.0535   0.9261   0.1195
  -1.500   0.0517   0.01254   0.00507  -0.0537   0.9084   0.1731
  -1.000   0.0974   0.01033   0.00464  -0.0524   0.8894   0.6339
  -0.500   0.1430   0.01029   0.00498  -0.0483   0.8690   0.7722
   0.000   0.1877   0.01048   0.00521  -0.0439   0.8475   0.8316
   0.500   0.2331   0.01061   0.00531  -0.0401   0.8256   0.8648
   1.000   0.2776   0.01067   0.00535  -0.0363   0.8031   0.8951
   1.500   0.3214   0.01063   0.00529  -0.0323   0.7819   0.9260
   2.000   0.3755   0.01050   0.00512  -0.0303   0.7545   0.9575
   2.500   0.4533   0.01030   0.00479  -0.0337   0.7133   0.9785
   3.000   0.5337   0.01018   0.00461  -0.0386   0.6676   0.9929
   3.500   0.5926   0.01017   0.00443  -0.0394   0.6036   1.0000
   4.000   0.6270   0.01054   0.00443  -0.0355   0.5060   1.0000
   4.500   0.6486   0.01320   0.00535  -0.0306   0.1896   1.0000
   5.000   0.6895   0.01510   0.00673  -0.0288   0.1210   1.0000
   5.500   0.7355   0.01655   0.00803  -0.0274   0.1015   1.0000
   6.000   0.7818   0.01811   0.00944  -0.0261   0.0922   1.0000
   6.500   0.8308   0.01948   0.01085  -0.0251   0.0855   1.0000
   7.000   0.8799   0.02167   0.01295  -0.0243   0.0804   1.0000
   7.500   0.9300   0.02317   0.01461  -0.0234   0.0750   1.0000
   8.000   0.9796   0.02555   0.01695  -0.0230   0.0696   1.0000
   8.500   1.0272   0.02740   0.01911  -0.0218   0.0651   1.0000
   9.000   1.0747   0.03004   0.02179  -0.0212   0.0613   1.0000
   9.500   1.1139   0.03357   0.02590  -0.0191   0.0579   1.0000
  10.000   1.1510   0.03689   0.02960  -0.0171   0.0548   1.0000
  10.500   1.1850   0.04095   0.03390  -0.0153   0.0529   1.0000
  11.000   1.1978   0.04858   0.04213  -0.0121   0.0519   1.0000
  11.500   1.1920   0.05599   0.05024  -0.0074   0.0519   1.0000
  12.000   1.1730   0.06281   0.05761  -0.0022   0.0524   1.0000
  12.500   0.9870   0.08785   0.08387  -0.0061   0.0591   1.0000
  13.000   0.8032   0.09850   0.09478  -0.0022   0.0601   1.0000
  13.500   0.6361   0.14190   0.13831  -0.0270   0.0834   1.0000
  14.000   0.6624   0.14585   0.14230  -0.0244   0.0815   1.0000
  14.500   0.6116   0.15458   0.15100  -0.0327   0.0781   1.0000
  15.000   0.6112   0.15973   0.15617  -0.0349   0.0737   1.0000
  15.500   0.6335   0.16435   0.16083  -0.0343   0.0711   1.0000
  16.000   0.6213   0.17103   0.16750  -0.0384   0.0692   1.0000
  16.500   0.6167   0.17607   0.17256  -0.0421   0.0638   1.0000
  17.000   0.8800   0.20938   0.20557  -0.0780   0.0536   1.0000
  17.500   0.9112   0.21686   0.21310  -0.0753   0.0520   1.0000
  18.000   0.9025   0.22551   0.22170  -0.0885   0.0477   1.0000
