  
       XFOIL         Version 6.96
  
 Calculated polar for: Coanda 2                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.500  -0.1585   0.02085   0.01399  -0.0122   0.9915   0.1203
  -1.500  -0.0026   0.01811   0.01055  -0.0218   0.9674   0.1381
  -1.000   0.0778   0.01666   0.00872  -0.0263   0.9538   0.1320
  -0.500   0.1641   0.01545   0.00740  -0.0320   0.9398   0.1302
   0.000   0.2472   0.01408   0.00611  -0.0371   0.9231   0.1324
   0.500   0.3339   0.01274   0.00496  -0.0426   0.9034   0.1337
   1.000   0.4096   0.01167   0.00408  -0.0457   0.8631   0.1369
   1.500   0.4790   0.01100   0.00341  -0.0474   0.7780   0.1412
   2.000   0.5317   0.01121   0.00314  -0.0459   0.6466   0.1501
   2.500   0.5755   0.01175   0.00339  -0.0431   0.5619   0.1629
   3.000   0.7306   0.01177   0.00414  -0.0671   0.3298   1.0000
   3.500   0.7708   0.01327   0.00471  -0.0643   0.1656   1.0000
   4.000   0.8088   0.01544   0.00611  -0.0611   0.0253   1.0000
   4.500   0.8540   0.01677   0.00776  -0.0585   0.0225   1.0000
   5.000   0.8967   0.01834   0.00963  -0.0554   0.0232   1.0000
   5.500   0.9332   0.02060   0.01200  -0.0514   0.0247   1.0000
   6.000   0.9749   0.02322   0.01473  -0.0477   0.0276   1.0000
   6.500   1.0320   0.02785   0.01971  -0.0452   0.0392   1.0000
