  
       XFOIL         Version 6.96
  
 Calculated polar for: DAE-21 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1132   0.05653   0.05252  -0.1177   0.7707   0.0551
  -4.500   0.1503   0.05205   0.04794  -0.1197   0.7655   0.0597
  -4.000   0.1986   0.04584   0.04154  -0.1277   0.7570   0.0670
  -3.500   0.2512   0.04041   0.03579  -0.1327   0.7509   0.0785
  -3.000   0.3050   0.03598   0.03097  -0.1359   0.7453   0.0919
  -2.500   0.3611   0.03322   0.02765  -0.1386   0.7366   0.1179
  -2.000   0.4133   0.02969   0.02405  -0.1390   0.7319   0.1389
  -1.500   0.4638   0.02789   0.02211  -0.1395   0.7230   0.1750
  -1.000   0.5410   0.02096   0.01318  -0.1382   0.7177   0.0582
  -0.500   0.5988   0.01964   0.01178  -0.1377   0.7136   0.0670
   0.000   0.6492   0.01938   0.01169  -0.1373   0.7030   0.1002
   1.000   0.7567   0.01725   0.01158  -0.1363   0.6884   1.0000
   1.500   0.8155   0.01706   0.01111  -0.1361   0.6828   1.0000
   2.000   0.8673   0.01753   0.01146  -0.1356   0.6731   1.0000
   2.500   0.9263   0.01728   0.01102  -0.1355   0.6668   1.0000
   3.000   0.9780   0.01764   0.01133  -0.1350   0.6566   1.0000
   3.500   1.0385   0.01722   0.01076  -0.1350   0.6501   1.0000
   4.000   1.0895   0.01751   0.01107  -0.1343   0.6387   1.0000
   4.500   1.1477   0.01724   0.01072  -0.1342   0.6303   1.0000
   5.000   1.2032   0.01709   0.01055  -0.1338   0.6193   1.0000
   5.500   1.2550   0.01717   0.01068  -0.1331   0.6065   1.0000
   6.000   1.3079   0.01716   0.01071  -0.1325   0.5935   1.0000
   6.500   1.3606   0.01714   0.01073  -0.1317   0.5793   1.0000
   7.000   1.4113   0.01719   0.01081  -0.1308   0.5631   1.0000
   7.500   1.4599   0.01731   0.01098  -0.1295   0.5445   1.0000
   8.000   1.5080   0.01748   0.01113  -0.1281   0.5243   1.0000
   8.500   1.5447   0.01808   0.01184  -0.1253   0.4992   1.0000
   9.000   1.5794   0.01878   0.01255  -0.1221   0.4725   1.0000
   9.500   1.6045   0.01979   0.01353  -0.1177   0.4443   1.0000
  10.000   1.6142   0.02131   0.01504  -0.1114   0.4153   1.0000
  10.500   1.6203   0.02346   0.01717  -0.1057   0.3848   1.0000
  11.000   1.6241   0.02618   0.01984  -0.1006   0.3532   1.0000
  11.500   1.6252   0.02944   0.02305  -0.0959   0.3214   1.0000
  12.000   1.6240   0.03321   0.02676  -0.0917   0.2901   1.0000
  12.500   1.6206   0.03748   0.03098  -0.0879   0.2594   1.0000
  13.000   1.6159   0.04226   0.03573  -0.0846   0.2298   1.0000
  13.500   1.6105   0.04756   0.04101  -0.0820   0.2012   1.0000
  14.000   1.6047   0.05337   0.04680  -0.0800   0.1743   1.0000
  14.500   1.5981   0.05965   0.05308  -0.0785   0.1504   1.0000
  15.000   1.5886   0.06662   0.05998  -0.0776   0.1305   1.0000
  15.500   1.5837   0.07342   0.06688  -0.0771   0.1127   1.0000
  16.000   1.5771   0.08070   0.07423  -0.0771   0.0981   1.0000
  16.500   1.5715   0.08807   0.08166  -0.0775   0.0864   1.0000
  17.000   1.5672   0.09543   0.08913  -0.0783   0.0766   1.0000
  17.500   1.5646   0.10261   0.09641  -0.0792   0.0684   1.0000
  18.000   1.5646   0.10940   0.10326  -0.0803   0.0616   1.0000
