  
       XFOIL         Version 6.96
  
 Calculated polar for: DEFIANT CANARD BL20 AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1313   0.01978   0.01115  -0.0735   0.6061   0.1990
  -4.500  -0.0821   0.01945   0.01081  -0.0722   0.5995   0.2115
  -4.000  -0.0349   0.01898   0.01047  -0.0706   0.5919   0.2281
  -3.500   0.0135   0.01837   0.00998  -0.0691   0.5858   0.2566
  -3.000   0.0574   0.01806   0.00999  -0.0670   0.5795   0.3249
  -2.500   0.1021   0.01808   0.01026  -0.0648   0.5721   0.3943
  -2.000   0.1540   0.01810   0.01022  -0.0636   0.5661   0.4385
  -1.500   0.2033   0.01843   0.01052  -0.0623   0.5599   0.4708
  -1.000   0.2515   0.01854   0.01073  -0.0607   0.5523   0.4982
  -0.500   0.3057   0.01846   0.01059  -0.0600   0.5467   0.5262
   0.000   0.3546   0.01871   0.01088  -0.0588   0.5403   0.5529
   0.500   0.4020   0.01875   0.01108  -0.0572   0.5328   0.5826
   1.000   0.4553   0.01858   0.01099  -0.0563   0.5276   0.6257
   1.500   0.4993   0.01875   0.01146  -0.0541   0.5208   0.6792
   2.500   0.6604   0.01863   0.01192  -0.0622   0.5078   0.9161
   3.000   0.7595   0.01953   0.01286  -0.0711   0.4989   0.9671
   3.500   0.8712   0.01960   0.01273  -0.0819   0.4918   0.9926
   4.000   0.9352   0.02000   0.01304  -0.0845   0.4853   1.0000
   4.500   0.9609   0.02052   0.01358  -0.0798   0.4777   1.0000
   5.000   1.0087   0.02055   0.01342  -0.0783   0.4723   1.0000
   5.500   1.0320   0.02143   0.01438  -0.0732   0.4649   1.0000
   6.000   1.0683   0.02178   0.01469  -0.0700   0.4579   1.0000
   6.500   1.1262   0.02190   0.01461  -0.0702   0.4527   1.0000
   7.000   1.1327   0.02305   0.01598  -0.0626   0.4440   1.0000
   7.500   1.1845   0.02311   0.01592  -0.0619   0.4380   1.0000
   8.000   1.2042   0.02416   0.01706  -0.0565   0.4306   1.0000
   8.500   1.2336   0.02470   0.01762  -0.0525   0.4232   1.0000
   9.000   1.2884   0.02500   0.01780  -0.0525   0.4172   1.0000
   9.500   1.2612   0.02676   0.01977  -0.0406   0.4087   1.0000
  10.000   1.3340   0.02648   0.01934  -0.0430   0.4028   1.0000
  10.500   1.2872   0.02973   0.02287  -0.0312   0.3938   1.0000
  11.000   1.3447   0.02958   0.02264  -0.0314   0.3874   1.0000
  11.500   1.2924   0.03511   0.02842  -0.0237   0.3771   1.0000
  12.000   1.3565   0.03434   0.02758  -0.0240   0.3712   1.0000
  12.500   1.1406   0.05640   0.05011  -0.0163   0.3477   1.0000
  13.000   1.2547   0.04996   0.04359  -0.0164   0.3481   1.0000
  13.500   1.1913   0.06090   0.05469  -0.0148   0.3337   1.0000
  14.000   1.3109   0.05373   0.04744  -0.0148   0.3342   1.0000
  14.500   1.2612   0.06338   0.05724  -0.0137   0.3214   1.0000
  15.000   1.3751   0.05677   0.05056  -0.0135   0.3206   1.0000
