  
       XFOIL         Version 6.96
  
 Calculated polar for: DFVLR R-4 AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3941   0.01559   0.00953  -0.0630   0.9922   0.3898
  -4.500  -0.3224   0.01543   0.01008  -0.0668   0.9889   0.5764
  -4.000  -0.2559   0.01629   0.01090  -0.0687   0.9848   0.6242
  -3.500  -0.2053   0.01733   0.01191  -0.0670   0.9775   0.6548
  -3.000  -0.1492   0.01886   0.01341  -0.0658   0.9722   0.6791
  -2.500  -0.1001   0.01975   0.01422  -0.0642   0.9646   0.6975
  -2.000  -0.0447   0.02087   0.01535  -0.0629   0.9594   0.7088
  -1.500   0.0051   0.02126   0.01571  -0.0620   0.9500   0.7188
  -1.000   0.0796   0.02156   0.01596  -0.0660   0.9448   0.7309
  -0.500   0.1331   0.02187   0.01627  -0.0658   0.9337   0.7425
   0.000   0.1954   0.02194   0.01639  -0.0667   0.9231   0.7501
   0.500   0.2942   0.02117   0.01563  -0.0745   0.9133   0.7613
   1.000   0.3891   0.01899   0.01353  -0.0783   0.8875   0.7676
   1.500   0.4749   0.01759   0.01218  -0.0830   0.8715   0.7774
   2.000   0.5380   0.01650   0.01120  -0.0822   0.8518   0.7845
   2.500   0.6028   0.01559   0.01036  -0.0831   0.8201   0.7936
   3.000   0.6514   0.01495   0.00975  -0.0798   0.7621   0.8017
   3.500   0.6862   0.01591   0.00925  -0.0743   0.4675   0.8105
   4.000   0.7035   0.01848   0.01037  -0.0680   0.2148   0.8191
   4.500   0.7453   0.01974   0.01126  -0.0662   0.1660   0.8256
   5.000   0.7889   0.02086   0.01226  -0.0643   0.1471   0.8330
   5.500   0.8400   0.02187   0.01325  -0.0641   0.1346   0.8398
   6.000   0.8880   0.02283   0.01428  -0.0630   0.1243   0.8458
   6.500   0.9472   0.02442   0.01580  -0.0647   0.1157   0.8520
   7.000   0.9950   0.02533   0.01690  -0.0635   0.1091   0.8570
   7.500   1.0525   0.02745   0.01901  -0.0646   0.1022   0.8629
   8.000   1.1062   0.02883   0.02072  -0.0649   0.0964   0.8680
   8.500   1.1555   0.03072   0.02268  -0.0644   0.0903   0.8734
   9.000   1.2030   0.03297   0.02534  -0.0638   0.0835   0.8787
   9.500   1.2484   0.03474   0.02717  -0.0631   0.0773   0.8838
  10.000   1.2835   0.03771   0.03071  -0.0605   0.0723   0.8890
  10.500   1.3214   0.03940   0.03262  -0.0587   0.0674   0.8945
  11.000   1.3466   0.04262   0.03626  -0.0554   0.0628   0.8988
  11.500   1.3682   0.04403   0.03792  -0.0512   0.0582   0.9046
  12.500   1.3718   0.05057   0.04529  -0.0396   0.0512   0.9153
  13.000   1.3910   0.05200   0.04669  -0.0368   0.0481   0.9212
  13.500   1.3644   0.05863   0.05393  -0.0316   0.0461   0.9266
  14.000   1.3168   0.06800   0.06400  -0.0283   0.0448   0.9324
  14.500   1.2506   0.08208   0.07873  -0.0306   0.0444   0.9368
  15.000   1.1430   0.10925   0.10649  -0.0467   0.0464   0.9382
  16.000   0.9144   0.20786   0.20512  -0.1078   0.0614   0.9313
  17.000   0.9619   0.22105   0.21843  -0.1089   0.0556   0.9486
  17.500   0.9527   0.23181   0.22917  -0.1235   0.0527   0.9624
  18.000   0.9719   0.23874   0.23613  -0.1292   0.0495   1.0000
