  
       XFOIL         Version 6.96
  
 Calculated polar for: dh4009sm                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.500  -0.2531   0.01283   0.00429   0.0164   0.9977   0.0573
  -1.000  -0.2213   0.01018   0.00499   0.0238   0.9875   0.8926
  -0.500  -0.1547   0.01053   0.00524   0.0229   0.9762   0.9398
   0.000  -0.0674   0.01059   0.00517   0.0155   0.9674   0.9525
   0.500   0.0254   0.01061   0.00516   0.0069   0.9590   0.9619
   1.000   0.1261   0.01049   0.00510  -0.0032   0.9496   0.9673
   1.500   0.2298   0.01029   0.00507  -0.0138   0.9376   0.9708
   2.000   0.3280   0.00988   0.00481  -0.0218   0.8885   0.9731
   2.500   0.3966   0.00983   0.00452  -0.0224   0.7543   0.9812
   3.000   0.4303   0.01383   0.00535  -0.0186   0.0641   0.9934
   4.000   0.5204   0.01738   0.00896  -0.0158   0.0397   1.0000
   4.500   0.5591   0.01979   0.01158  -0.0123   0.0381   1.0000
   5.000   0.5976   0.02272   0.01474  -0.0089   0.0361   1.0000
