  
       XFOIL         Version 6.96
  
 Calculated polar for: Dormoy                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500  -0.0327   0.01885   0.01194  -0.0688   0.9296   0.0529
  -4.000   0.0514   0.00226  -0.00478  -0.0682   0.8939   0.0319
  -3.500   0.1043   0.00130  -0.00583  -0.0667   0.8735   0.0311
  -3.000   0.1542   0.00095  -0.00654  -0.0648   0.8494   0.0390
  -2.500   0.1882   0.00037  -0.00503  -0.0608   0.8251   0.6589
  -2.000   0.3089   0.00023  -0.00494  -0.0722   0.8002   1.0000
  -1.500   0.3505   0.00026  -0.00525  -0.0695   0.7640   1.0000
  -1.000   0.3943   0.00029  -0.00548  -0.0672   0.7313   1.0000
  -0.500   0.4387   0.00032  -0.00564  -0.0651   0.6931   1.0000
   0.000   0.4820   0.00038  -0.00587  -0.0627   0.6366   1.0000
   0.500   0.5239   0.00047  -0.00613  -0.0601   0.5619   1.0000
   1.000   0.5640   0.00063  -0.00641  -0.0575   0.4664   1.0000
   1.500   0.6046   0.00085  -0.00654  -0.0552   0.3853   1.0000
   2.000   0.6468   0.00110  -0.00651  -0.0533   0.3342   1.0000
   2.500   0.6892   0.00139  -0.00639  -0.0516   0.2729   1.0000
   3.000   0.7205   0.00236  -0.00644  -0.0486   0.0822   1.0000
   3.500   0.7614   0.00308  -0.00563  -0.0464   0.0421   1.0000
   4.000   0.8037   0.00383  -0.00481  -0.0440   0.0213   1.0000
   4.500   0.8402   0.00513  -0.00301  -0.0408   0.0190   1.0000
   5.000   0.8641   0.00724  -0.00053  -0.0359   0.0200   1.0000
   5.500   0.8911   0.01139   0.00362  -0.0314   0.0220   1.0000
