  
       XFOIL         Version 6.96
  
 Calculated polar for: DSMA-523B AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0053   0.01881   0.01346  -0.0742   1.0000   0.6754
  -1.500   0.0314   0.01971   0.01442  -0.0692   1.0000   0.6895
  -1.000   0.0700   0.02047   0.01526  -0.0648   1.0000   0.7031
  -0.500   0.1012   0.02146   0.01638  -0.0586   1.0000   0.7248
   0.000   0.1288   0.02231   0.01739  -0.0513   0.9988   0.7463
   0.500   0.2631   0.02146   0.01662  -0.0648   0.9683   0.7627
   1.000   0.3421   0.01950   0.01483  -0.0668   0.9316   0.7761
   1.500   0.4684   0.01936   0.01189  -0.0764   0.2743   0.7924
   2.000   0.5129   0.02098   0.01252  -0.0746   0.1250   0.8011
   2.500   0.5672   0.02175   0.01314  -0.0746   0.1052   0.8055
   3.000   0.6289   0.02298   0.01416  -0.0765   0.0932   0.8083
   4.500   0.8132   0.02716   0.01830  -0.0808   0.0733   0.8140
   5.000   0.8748   0.02886   0.02006  -0.0824   0.0687   0.8158
   5.500   0.9356   0.03143   0.02304  -0.0835   0.0650   0.8168
   6.000   0.9951   0.03393   0.02570  -0.0848   0.0620   0.8180
   6.500   1.0467   0.03820   0.03061  -0.0844   0.0601   0.8184
   7.000   1.0852   0.04411   0.03748  -0.0817   0.0593   0.8191
   7.500   1.1122   0.05166   0.04584  -0.0781   0.0600   0.8202
