  
       XFOIL         Version 6.96
  
 Calculated polar for: DU 86-137/25 AIRFOIL                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4948   0.01846   0.00851  -0.0060   0.3540   0.0695
  -4.500  -0.4539   0.01744   0.00738  -0.0038   0.3551   0.0804
  -4.000  -0.4132   0.01638   0.00652  -0.0018   0.3562   0.1472
  -3.500  -0.3638   0.01599   0.00601  -0.0010   0.3573   0.1640
  -3.000  -0.3128   0.01574   0.00560  -0.0004   0.3586   0.1700
  -2.500  -0.2608   0.01557   0.00528   0.0000   0.3601   0.1693
  -2.000  -0.2077   0.01552   0.00504   0.0001   0.3616   0.1569
  -1.500  -0.1546   0.01549   0.00486   0.0003   0.3633   0.1428
  -1.000  -0.1020   0.01543   0.00472   0.0005   0.3648   0.1380
  -0.500  -0.0482   0.01553   0.00463   0.0005   0.3663   0.0957
   0.000   0.0055   0.01541   0.00449   0.0005   0.3680   0.0930
   0.500   0.0582   0.01526   0.00442   0.0006   0.3685   0.0993
   1.000   0.1091   0.01495   0.00435   0.0009   0.3682   0.1782
   1.500   0.1423   0.01290   0.00430   0.0040   0.3693   0.6546
   2.000   0.1935   0.01309   0.00478   0.0050   0.3699   0.7256
   2.500   0.2450   0.01349   0.00528   0.0059   0.3679   0.7604
   3.000   0.2972   0.01380   0.00570   0.0067   0.3674   0.7803
   3.500   0.3462   0.01430   0.00637   0.0085   0.3666   0.8086
   4.000   0.3893   0.01468   0.00711   0.0122   0.3584   0.8355
   4.500   0.4241   0.01476   0.00755   0.0183   0.3107   0.8695
   5.000   0.4400   0.01663   0.00857   0.0279   0.2994   0.9090
   5.500   0.5097   0.02062   0.01214   0.0238   0.2759   0.9146
   6.000   0.5552   0.02216   0.01410   0.0246   0.2469   0.9207
   6.500   0.5871   0.02122   0.01375   0.0283   0.2194   0.9301
   7.000   0.6106   0.01845   0.01133   0.0341   0.1352   0.9411
   7.500   0.6457   0.01950   0.01218   0.0364   0.0812   0.9505
   8.000   0.6749   0.02126   0.01400   0.0389   0.0609   0.9617
   8.500   0.7184   0.02339   0.01622   0.0386   0.0496   0.9724
   9.000   0.7741   0.02596   0.01901   0.0366   0.0426   0.9806
   9.500   0.8354   0.02979   0.02292   0.0333   0.0374   0.9867
  10.000   0.8935   0.03506   0.02877   0.0307   0.0354   0.9956
  10.500   0.9060   0.03884   0.03305   0.0350   0.0343   1.0000
  11.000   0.9131   0.04323   0.03798   0.0385   0.0326   1.0000
  11.500   0.8984   0.04939   0.04470   0.0423   0.0326   1.0000
  12.000   0.8643   0.05718   0.05298   0.0443   0.0330   1.0000
  12.500   0.8160   0.06717   0.06338   0.0429   0.0337   1.0000
  13.000   0.7582   0.08132   0.07784   0.0357   0.0347   1.0000
  13.500   0.4869   0.13237   0.12932   0.0090   0.0724   1.0000
  14.000   0.4830   0.13956   0.13652   0.0043   0.0677   1.0000
  14.500   0.5181   0.14304   0.14007   0.0054   0.0624   1.0000
  15.000   0.5082   0.15209   0.14912   0.0002   0.0613   1.0000
  15.500   0.4858   0.15782   0.15484  -0.0083   0.0568   1.0000
  16.000   0.4946   0.16358   0.16063  -0.0123   0.0525   1.0000
  16.500   0.5187   0.16932   0.16641  -0.0140   0.0496   1.0000
  17.000   0.6627   0.19392   0.19034  -0.0272   0.0448   1.0000
  17.500   0.6777   0.20061   0.19703  -0.0312   0.0401   1.0000
  18.000   0.6994   0.20688   0.20332  -0.0335   0.0380   1.0000
