  
       XFOIL         Version 6.96
  
 Calculated polar for: E184  (8.33%)                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4901   0.02122   0.01429  -0.0047   0.9385   0.0359
  -4.500  -0.4466   0.01874   0.01131  -0.0012   0.9037   0.0378
  -4.000  -0.4009   0.01667   0.00892   0.0017   0.8780   0.0398
  -3.500  -0.3545   0.01493   0.00693   0.0043   0.8569   0.0418
  -3.000  -0.3076   0.01345   0.00528   0.0066   0.8378   0.0543
  -2.500  -0.2679   0.01102   0.00431   0.0092   0.8211   0.3755
  -2.000  -0.1897   0.00920   0.00443   0.0067   0.8073   0.9188
  -1.500  -0.0651   0.00967   0.00444  -0.0063   0.7940   0.9948
  -1.000  -0.0062   0.00959   0.00406  -0.0074   0.7788   1.0000
  -0.500   0.0424   0.00961   0.00385  -0.0063   0.7639   1.0000
   0.000   0.0923   0.00967   0.00376  -0.0053   0.7492   1.0000
   0.500   0.1428   0.00978   0.00375  -0.0044   0.7348   1.0000
   1.000   0.1936   0.00992   0.00381  -0.0034   0.7202   1.0000
   1.500   0.2445   0.01006   0.00390  -0.0024   0.7038   1.0000
   2.000   0.2951   0.01017   0.00399  -0.0012   0.6863   1.0000
   2.500   0.3452   0.01026   0.00405   0.0003   0.6681   1.0000
   3.000   0.3966   0.01033   0.00419   0.0014   0.6458   1.0000
   3.500   0.4474   0.01035   0.00429   0.0029   0.6223   1.0000
   4.000   0.4987   0.01032   0.00436   0.0042   0.5927   1.0000
   4.500   0.5500   0.01027   0.00442   0.0057   0.5529   1.0000
   5.000   0.6002   0.01038   0.00441   0.0072   0.4476   1.0000
   5.500   0.6455   0.01277   0.00547   0.0072   0.1719   1.0000
   6.000   0.6869   0.01653   0.00845   0.0080   0.0285   1.0000
   6.500   0.7291   0.01899   0.01112   0.0098   0.0239   1.0000
   7.000   0.7676   0.02268   0.01493   0.0124   0.0221   1.0000
   7.500   0.8091   0.02643   0.01908   0.0148   0.0200   1.0000
   8.000   0.8452   0.03222   0.02554   0.0174   0.0204   1.0000
   8.500   0.8755   0.03857   0.03248   0.0198   0.0222   1.0000
