  
       XFOIL         Version 6.96
  
 Calculated polar for: E205  (10.48%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2571   0.02174   0.01522  -0.0593   0.9356   0.0390
  -4.500  -0.1889   0.01782   0.01059  -0.0608   0.9042   0.0382
  -4.000  -0.1316   0.01562   0.00811  -0.0601   0.8660   0.0407
  -3.500  -0.0806   0.01454   0.00671  -0.0583   0.8289   0.0468
  -3.000  -0.0335   0.01307   0.00505  -0.0560   0.7974   0.0611
  -2.500   0.0113   0.01147   0.00421  -0.0540   0.7701   0.2620
  -2.000   0.0520   0.01023   0.00404  -0.0511   0.7459   0.5642
  -1.500   0.1486   0.00956   0.00417  -0.0570   0.7256   0.9483
  -1.000   0.2633   0.00971   0.00386  -0.0690   0.7039   1.0000
  -0.500   0.3099   0.00984   0.00369  -0.0674   0.6859   1.0000
   0.000   0.3577   0.01003   0.00362  -0.0659   0.6696   1.0000
   0.500   0.4064   0.01027   0.00365  -0.0645   0.6541   1.0000
   1.000   0.4554   0.01053   0.00375  -0.0632   0.6391   1.0000
   1.500   0.5049   0.01083   0.00392  -0.0619   0.6249   1.0000
   2.000   0.5547   0.01114   0.00415  -0.0607   0.6110   1.0000
   2.500   0.6044   0.01147   0.00444  -0.0595   0.5972   1.0000
   3.000   0.6543   0.01181   0.00476  -0.0583   0.5833   1.0000
   3.500   0.7040   0.01216   0.00513  -0.0571   0.5692   1.0000
   4.000   0.7538   0.01250   0.00546  -0.0558   0.5541   1.0000
   4.500   0.8029   0.01281   0.00584  -0.0544   0.5378   1.0000
   5.000   0.8512   0.01309   0.00622  -0.0528   0.5196   1.0000
   5.500   0.8997   0.01333   0.00654  -0.0513   0.5005   1.0000
   6.000   0.9477   0.01356   0.00687  -0.0496   0.4798   1.0000
   6.500   0.9944   0.01375   0.00720  -0.0477   0.4553   1.0000
   7.000   1.0394   0.01398   0.00757  -0.0455   0.4243   1.0000
   7.500   1.0815   0.01431   0.00801  -0.0429   0.3788   1.0000
   8.000   1.1161   0.01519   0.00871  -0.0394   0.2999   1.0000
   8.500   1.1370   0.01730   0.01027  -0.0345   0.1922   1.0000
   9.000   1.1556   0.01964   0.01223  -0.0297   0.1214   1.0000
   9.500   1.1655   0.02233   0.01460  -0.0238   0.0621   1.0000
  10.000   1.1512   0.02606   0.01819  -0.0151   0.0321   1.0000
  10.500   1.1467   0.02989   0.02216  -0.0100   0.0256   1.0000
  11.000   1.1494   0.03390   0.02641  -0.0070   0.0231   1.0000
  11.500   1.1505   0.03857   0.03122  -0.0048   0.0212   1.0000
  12.000   1.1538   0.04370   0.03647  -0.0019   0.0198   1.0000
  12.500   1.1709   0.04789   0.04095   0.0002   0.0192   1.0000
  13.000   1.1844   0.05296   0.04638   0.0019   0.0187   1.0000
  13.500   1.1869   0.05931   0.05317   0.0027   0.0184   1.0000
  14.000   1.1774   0.06681   0.06114   0.0020   0.0180   1.0000
  14.500   1.1599   0.07544   0.07018  -0.0003   0.0174   1.0000
  15.000   1.1301   0.08694   0.08214  -0.0045   0.0178   1.0000
  15.500   1.0950   0.10038   0.09601  -0.0111   0.0181   1.0000
  16.000   1.0550   0.11648   0.11247  -0.0202   0.0187   1.0000
  16.500   1.0101   0.13609   0.13236  -0.0324   0.0191   1.0000
