  
       XFOIL         Version 6.96
  
 Calculated polar for: E477                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5277   0.01299   0.00677  -0.0111   0.9284   0.4933
  -4.500  -0.4675   0.01273   0.00647  -0.0118   0.9110   0.5269
  -4.000  -0.4142   0.01258   0.00629  -0.0108   0.8920   0.5564
  -3.500  -0.3638   0.01249   0.00619  -0.0092   0.8718   0.5837
  -3.000  -0.3125   0.01243   0.00612  -0.0077   0.8530   0.6087
  -2.500  -0.2610   0.01240   0.00604  -0.0063   0.8350   0.6330
  -2.000  -0.2102   0.01240   0.00602  -0.0048   0.8152   0.6567
  -1.500  -0.1579   0.01240   0.00601  -0.0035   0.7964   0.6780
  -1.000  -0.1054   0.01240   0.00597  -0.0023   0.7782   0.6997
  -0.500  -0.0527   0.01241   0.00597  -0.0011   0.7593   0.7199
   0.000   0.0000   0.01242   0.00601   0.0000   0.7393   0.7393
   0.500   0.0527   0.01241   0.00597   0.0012   0.7200   0.7593
   1.000   0.1054   0.01240   0.00597   0.0023   0.6997   0.7782
   1.500   0.1579   0.01240   0.00601   0.0036   0.6780   0.7964
   2.000   0.2102   0.01240   0.00602   0.0048   0.6566   0.8152
   2.500   0.2610   0.01240   0.00604   0.0063   0.6329   0.8350
   3.000   0.3125   0.01243   0.00612   0.0077   0.6087   0.8530
   3.500   0.3638   0.01249   0.00619   0.0092   0.5837   0.8718
   4.000   0.4142   0.01258   0.00629   0.0108   0.5565   0.8920
   4.500   0.4675   0.01273   0.00647   0.0118   0.5269   0.9110
   5.000   0.5277   0.01298   0.00677   0.0111   0.4933   0.9284
   5.500   0.5951   0.01335   0.00713   0.0089   0.4558   0.9440
   6.000   0.6684   0.01383   0.00759   0.0050   0.4126   0.9577
   6.500   0.7435   0.01444   0.00814   0.0005   0.3642   0.9710
   7.000   0.8184   0.01519   0.00880  -0.0044   0.3095   0.9851
   7.500   0.8941   0.01621   0.00968  -0.0101   0.2499   0.9992
   8.000   0.9019   0.01687   0.01026  -0.0028   0.2168   1.0000
   8.500   0.9087   0.01775   0.01102   0.0049   0.1851   1.0000
   9.000   0.9235   0.01897   0.01211   0.0112   0.1536   1.0000
   9.500   0.9380   0.02041   0.01345   0.0171   0.1263   1.0000
  10.000   0.9461   0.02212   0.01508   0.0236   0.1049   1.0000
  10.500   0.9573   0.02416   0.01712   0.0286   0.0868   1.0000
  11.000   0.9677   0.02665   0.01961   0.0327   0.0728   1.0000
  11.500   0.9785   0.02953   0.02258   0.0359   0.0621   1.0000
  12.000   0.9879   0.03283   0.02595   0.0386   0.0537   1.0000
  12.500   0.9966   0.03639   0.02954   0.0405   0.0468   1.0000
  13.000   1.0064   0.04020   0.03359   0.0420   0.0413   1.0000
  13.500   1.0120   0.04450   0.03794   0.0429   0.0367   1.0000
  14.000   1.0157   0.04946   0.04319   0.0434   0.0332   1.0000
  14.500   1.0150   0.05486   0.04880   0.0428   0.0299   1.0000
  15.000   1.0113   0.06128   0.05536   0.0424   0.0271   1.0000
  15.500   0.9971   0.06925   0.06372   0.0395   0.0257   1.0000
  16.000   0.9809   0.07828   0.07311   0.0357   0.0243   1.0000
  16.500   0.9576   0.08925   0.08442   0.0304   0.0236   1.0000
  17.000   0.9229   0.10321   0.09877   0.0227   0.0234   1.0000
  17.500   0.8612   0.12446   0.12048   0.0099   0.0241   1.0000
  18.000   0.6860   0.18759   0.18376  -0.0206   0.0347   1.0000
