  
       XFOIL         Version 6.96
  
 Calculated polar for: EPPLER 655 AIRFOIL                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0644   0.01801   0.01088  -0.1067   0.7663   0.2268
  -4.500  -0.0207   0.01711   0.01052  -0.1059   0.7619   0.3591
  -4.000   0.0253   0.01647   0.01058  -0.1047   0.7583   0.5363
  -3.500   0.0632   0.01729   0.01176  -0.1015   0.7512   0.6448
  -3.000   0.1127   0.01810   0.01249  -0.0998   0.7465   0.6970
  -2.500   0.1655   0.01882   0.01308  -0.0980   0.7428   0.7296
  -2.000   0.1973   0.02021   0.01446  -0.0941   0.7352   0.7553
  -1.500   0.2396   0.02100   0.01521  -0.0908   0.7297   0.7752
  -1.000   0.2918   0.02137   0.01545  -0.0889   0.7262   0.7938
  -0.500   0.3047   0.02297   0.01713  -0.0823   0.7155   0.8115
   0.000   0.3558   0.02307   0.01714  -0.0806   0.7113   0.8282
   0.500   0.4096   0.02312   0.01709  -0.0795   0.7076   0.8435
   1.000   0.4195   0.02440   0.01844  -0.0728   0.6953   0.8594
   1.500   0.4894   0.02381   0.01774  -0.0745   0.6928   0.8717
   2.500   0.5005   0.02658   0.02065  -0.0607   0.6655   0.8992
   3.000   0.5763   0.02560   0.01962  -0.0633   0.6626   0.9066
   3.500   0.6596   0.02439   0.01835  -0.0672   0.6606   0.9137
   4.500   0.6922   0.02592   0.02004  -0.0564   0.6340   0.9421
   5.000   0.7827   0.02425   0.01839  -0.0611   0.6315   0.9484
   5.500   0.8786   0.02247   0.01662  -0.0668   0.6288   0.9553
   6.500   1.0323   0.02049   0.01478  -0.0741   0.6122   0.9756
   7.000   1.1022   0.01998   0.01442  -0.0777   0.5986   0.9977
   7.500   1.1522   0.01942   0.01396  -0.0775   0.5843   1.0000
   8.000   1.2068   0.01882   0.01344  -0.0779   0.5682   1.0000
   8.500   1.2569   0.01848   0.01316  -0.0777   0.5482   1.0000
   9.000   1.2921   0.01881   0.01354  -0.0756   0.5212   1.0000
   9.500   1.3256   0.01948   0.01413  -0.0733   0.4885   1.0000
  10.000   1.3421   0.02114   0.01571  -0.0693   0.4509   1.0000
  10.500   1.3557   0.02325   0.01765  -0.0653   0.4123   1.0000
  11.000   1.3624   0.02600   0.02025  -0.0611   0.3750   1.0000
  11.500   1.3661   0.02919   0.02333  -0.0571   0.3396   1.0000
  12.000   1.3689   0.03269   0.02674  -0.0536   0.3064   1.0000
  12.500   1.3717   0.03645   0.03042  -0.0506   0.2754   1.0000
  13.000   1.3748   0.04048   0.03439  -0.0480   0.2465   1.0000
  13.500   1.3778   0.04481   0.03865  -0.0459   0.2198   1.0000
  14.000   1.3811   0.04942   0.04323  -0.0442   0.1949   1.0000
  14.500   1.3848   0.05425   0.04808  -0.0430   0.1722   1.0000
  15.000   1.3865   0.05954   0.05336  -0.0420   0.1517   1.0000
  15.500   1.3875   0.06515   0.05898  -0.0415   0.1333   1.0000
  16.000   1.3890   0.07101   0.06493  -0.0414   0.1165   1.0000
  16.500   1.3888   0.07732   0.07131  -0.0417   0.1021   1.0000
  17.000   1.3876   0.08394   0.07801  -0.0424   0.0898   1.0000
  17.500   1.3861   0.09081   0.08498  -0.0435   0.0792   1.0000
  18.000   1.3846   0.09780   0.09205  -0.0449   0.0702   1.0000
