  
       XFOIL         Version 6.96
  
 Calculated polar for: EPPLER 664 (EXTENDED) AIRFOIL                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.9480   0.02047   0.01246  -0.3595   0.7108   0.6286
  -4.500   1.0128   0.02084   0.01282  -0.3625   0.7064   0.6419
  -4.000   1.0826   0.02121   0.01313  -0.3673   0.7021   0.6551
  -3.500   1.1461   0.02163   0.01355  -0.3694   0.6984   0.6630
  -3.000   1.2110   0.02194   0.01395  -0.3729   0.6941   0.6735
  -2.500   1.2801   0.02230   0.01436  -0.3779   0.6892   0.6845
  -2.000   1.3430   0.02258   0.01473  -0.3802   0.6843   0.6911
  -1.500   1.4142   0.02304   0.01524  -0.3858   0.6789   0.6996
  -1.000   1.4731   0.02328   0.01568  -0.3870   0.6715   0.7054
  -0.500   1.5488   0.02368   0.01606  -0.3936   0.6641   0.7127
   0.000   1.6049   0.02377   0.01639  -0.3938   0.6546   0.7173
   0.500   1.6701   0.02395   0.01670  -0.3967   0.6449   0.7223
   1.000   1.7428   0.02392   0.01670  -0.4017   0.6339   0.7276
   1.500   1.7965   0.02378   0.01684  -0.4008   0.6210   0.7309
   2.000   1.8530   0.02356   0.01682  -0.4006   0.6066   0.7352
   2.500   1.9081   0.02320   0.01665  -0.3998   0.5900   0.7384
   3.000   1.9577   0.02276   0.01635  -0.3973   0.5703   0.7421
   3.500   1.9815   0.02246   0.01639  -0.3872   0.5420   0.7443
   4.000   1.9897   0.02253   0.01655  -0.3728   0.4935   0.7469
   4.500   1.9777   0.02461   0.01799  -0.3542   0.4035   0.7494
   5.000   1.9584   0.02855   0.02138  -0.3364   0.3199   0.7510
   5.500   1.9385   0.03336   0.02581  -0.3206   0.2526   0.7528
   6.000   1.9217   0.03890   0.03107  -0.3079   0.1962   0.7548
   6.500   1.9086   0.04523   0.03720  -0.2984   0.1513   0.7561
   7.000   1.9011   0.05201   0.04386  -0.2919   0.1132   0.7574
   7.500   1.8961   0.05924   0.05098  -0.2870   0.0814   0.7589
   8.000   1.8870   0.06742   0.05904  -0.2826   0.0508   0.7608
   8.500   1.8680   0.07736   0.06891  -0.2780   0.0316   0.7623
   9.000   1.8598   0.08645   0.07819  -0.2753   0.0256   0.7636
   9.500   1.8602   0.09477   0.08680  -0.2738   0.0226   0.7652
  10.000   1.8587   0.10360   0.09582  -0.2730   0.0204   0.7668
  10.500   1.8583   0.11240   0.10487  -0.2722   0.0191   0.7684
  11.000   1.8677   0.11995   0.11271  -0.2721   0.0180   0.7704
  11.500   1.8791   0.12711   0.12014  -0.2722   0.0171   0.7729
  12.000   1.8920   0.13399   0.12726  -0.2726   0.0164   0.7754
  12.500   1.9074   0.14045   0.13395  -0.2730   0.0159   0.7779
  13.000   1.9246   0.14686   0.14072  -0.2728   0.0153   0.7805
  13.500   1.9136   0.15801   0.15244  -0.2768   0.0151   0.7828
  14.000   1.8953   0.17093   0.16593  -0.2829   0.0149   0.7850
  14.500   1.8717   0.18544   0.18100  -0.2910   0.0148   0.7870
  15.000   1.8426   0.20192   0.19803  -0.3020   0.0147   0.7890
  15.500   1.8077   0.22091   0.21752  -0.3164   0.0149   0.7908
  16.000   1.7686   0.24277   0.23984  -0.3346   0.0151   0.7923
  16.500   1.7314   0.26642   0.26385  -0.3551   0.0154   0.7937
