  
       XFOIL         Version 6.96
  
 Calculated polar for: EPPLER 862 STRUT AIRFOIL                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5277   0.03086   0.02234   0.0031   0.5261   0.4189
  -4.500  -0.4648   0.03054   0.02224   0.0015   0.5190   0.4228
  -4.000  -0.4076   0.03049   0.02222   0.0008   0.5124   0.4269
  -3.500  -0.3596   0.02999   0.02159   0.0012   0.5071   0.4324
  -3.000  -0.3236   0.02929   0.02059   0.0027   0.5018   0.4389
  -2.500  -0.2660   0.02884   0.02034   0.0017   0.4954   0.4429
  -2.000  -0.2095   0.02886   0.02042   0.0011   0.4897   0.4474
  -1.500  -0.1562   0.02863   0.02006   0.0008   0.4848   0.4532
  -1.000  -0.1087   0.02847   0.01970   0.0010   0.4796   0.4588
  -0.500  -0.0557   0.02822   0.01962   0.0005   0.4738   0.4635
   0.000   0.0000   0.02838   0.01989   0.0000   0.4683   0.4683
   0.500   0.0557   0.02821   0.01961  -0.0005   0.4635   0.4738
   1.000   0.1087   0.02847   0.01970  -0.0010   0.4588   0.4796
   1.500   0.1562   0.02863   0.02006  -0.0008   0.4532   0.4848
   2.000   0.2095   0.02886   0.02042  -0.0011   0.4474   0.4897
   2.500   0.2660   0.02884   0.02034  -0.0017   0.4429   0.4954
   3.000   0.3237   0.02929   0.02059  -0.0027   0.4389   0.5018
   3.500   0.3597   0.02999   0.02159  -0.0012   0.4325   0.5071
   4.000   0.4077   0.03049   0.02222  -0.0009   0.4269   0.5124
   4.500   0.4649   0.03054   0.02224  -0.0015   0.4228   0.5190
   5.000   0.5279   0.03086   0.02234  -0.0031   0.4189   0.5261
   5.500   0.5311   0.03296   0.02490   0.0019   0.4112   0.5312
   6.000   0.5774   0.03335   0.02538   0.0025   0.4061   0.5375
   6.500   0.6429   0.03309   0.02503   0.0010   0.4027   0.5459
   7.000   0.1832   0.07479   0.06747   0.0171   0.3512   0.5349
   7.500   0.2479   0.07375   0.06645   0.0169   0.3496   0.5428
   8.000   0.3146   0.07249   0.06512   0.0166   0.3484   0.5511
   8.500   0.2008   0.09105   0.08381   0.0143   0.3219   0.5512
   9.000   0.2534   0.09116   0.08405   0.0140   0.3189   0.5596
   9.500   0.3160   0.09020   0.08311   0.0139   0.3173   0.5692
  10.500   0.3400   0.10006   0.09313   0.0117   0.3002   0.5845
  11.500   0.3905   0.10692   0.10012   0.0096   0.2869   0.6043
  12.500   0.4207   0.11660   0.10999   0.0067   0.2713   0.6272
  13.500   0.4592   0.12522   0.11892   0.0037   0.2573   0.6580
  14.500   0.4255   0.14474   0.13879  -0.0035   0.2340   0.6860
  15.000   0.4773   0.14426   0.13853  -0.0035   0.2316   0.7215
  15.500   0.5310   0.14298   0.13756  -0.0027   0.2304   0.7767
  16.500   0.5562   0.15158   0.14672  -0.0049   0.2171   1.0000
  17.000   0.5371   0.16271   0.15788  -0.0105   0.2055   1.0000
  18.000   0.5712   0.17346   0.16859  -0.0171   0.1930   1.0000
