  
       XFOIL         Version 6.96
  
 Calculated polar for: EPPLER 874 HYDROFOIL AIRFOIL                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5128   0.01981   0.01241  -0.0104   1.0000   0.0232
  -4.500  -0.4698   0.01651   0.00881  -0.0070   1.0000   0.0230
  -4.000  -0.4280   0.01440   0.00648  -0.0036   1.0000   0.0248
  -3.500  -0.3906   0.01151   0.00415   0.0002   1.0000   0.1801
  -3.000  -0.3477   0.01070   0.00388   0.0023   1.0000   0.3158
  -2.500  -0.3064   0.00975   0.00343   0.0050   1.0000   0.4381
  -2.000  -0.2714   0.00870   0.00321   0.0093   1.0000   0.6497
  -1.500  -0.0915   0.00835   0.00336  -0.0153   1.0000   0.9946
  -1.000  -0.0402   0.00832   0.00317  -0.0151   1.0000   1.0000
  -0.500  -0.0077   0.00843   0.00323  -0.0111   1.0000   1.0000
   0.000   0.0981   0.00825   0.00299  -0.0220   0.9609   1.0000
   0.500   0.2258   0.00794   0.00262  -0.0371   0.8895   1.0000
   1.000   0.3014   0.00817   0.00244  -0.0405   0.7733   1.0000
   1.500   0.3475   0.00863   0.00260  -0.0381   0.7014   1.0000
   2.000   0.3944   0.00908   0.00287  -0.0360   0.6513   1.0000
   2.500   0.4423   0.00953   0.00330  -0.0342   0.6132   1.0000
   3.000   0.4903   0.00996   0.00375  -0.0324   0.5774   1.0000
   3.500   0.5297   0.01025   0.00379  -0.0284   0.4726   1.0000
   4.000   0.5510   0.01376   0.00531  -0.0223   0.0328   1.0000
   4.500   0.5879   0.01608   0.00789  -0.0180   0.0256   1.0000
   5.000   0.6276   0.01828   0.01020  -0.0145   0.0204   1.0000
   5.500   0.6694   0.02184   0.01394  -0.0111   0.0189   1.0000
   6.000   0.7154   0.02720   0.02010  -0.0071   0.0239   1.0000
