  
       XFOIL         Version 6.96
  
 Calculated polar for: EPPLER EA 8(-1)-006 AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5473   0.02113   0.01330  -0.0034   1.0000   0.0659
  -4.500  -0.5014   0.01844   0.01025  -0.0015   1.0000   0.0781
  -4.000  -0.4534   0.01689   0.00840   0.0004   1.0000   0.0832
  -3.500  -0.4057   0.01490   0.00642   0.0023   1.0000   0.0843
  -3.000  -0.3607   0.01350   0.00510   0.0045   1.0000   0.0872
  -2.500  -0.3168   0.01252   0.00417   0.0068   1.0000   0.0898
  -2.000  -0.2731   0.01179   0.00344   0.0092   1.0000   0.0925
  -1.500  -0.2295   0.01117   0.00286   0.0115   1.0000   0.0995
  -1.000  -0.1854   0.01074   0.00256   0.0137   1.0000   0.1150
  -0.500  -0.1505   0.00890   0.00252   0.0168   1.0000   0.5364
   0.000  -0.0008   0.00813   0.00324   0.0001   0.9790   0.9784
   0.500   0.1506   0.00889   0.00252  -0.0168   0.5392   1.0000
   1.000   0.1854   0.01075   0.00256  -0.0137   0.1148   1.0000
   1.500   0.2296   0.01117   0.00286  -0.0115   0.0994   1.0000
   2.000   0.2733   0.01179   0.00343  -0.0093   0.0925   1.0000
   2.500   0.3169   0.01252   0.00417  -0.0069   0.0898   1.0000
   3.000   0.3608   0.01350   0.00510  -0.0045   0.0872   1.0000
   3.500   0.4059   0.01489   0.00641  -0.0023   0.0843   1.0000
   4.000   0.4536   0.01687   0.00838  -0.0005   0.0833   1.0000
   4.500   0.5016   0.01845   0.01026   0.0015   0.0780   1.0000
   5.000   0.5475   0.02113   0.01331   0.0034   0.0659   1.0000
   5.500   0.5892   0.02437   0.01715   0.0058   0.0482   1.0000
   6.500   0.6634   0.03397   0.02825   0.0117   0.0320   1.0000
   7.000   0.6858   0.04306   0.03818   0.0149   0.0333   1.0000
   7.500   0.6938   0.06037   0.05587   0.0160   0.0449   1.0000
   8.000   0.6843   0.06834   0.06475   0.0149   0.0436   1.0000
   8.500   0.6703   0.07912   0.07571   0.0090   0.0429   1.0000
   9.000   0.6552   0.08963   0.08614   0.0003   0.0427   1.0000
   9.500   0.6517   0.09868   0.09513  -0.0053   0.0406   1.0000
  10.000   0.6623   0.10551   0.10194  -0.0056   0.0388   1.0000
  10.500   0.6619   0.11543   0.11180  -0.0095   0.0381   1.0000
  11.000   0.6552   0.12516   0.12145  -0.0177   0.0367   1.0000
  11.500   0.6615   0.13324   0.12951  -0.0211   0.0349   1.0000
  12.000   0.6778   0.14124   0.13756  -0.0210   0.0337   1.0000
  12.500   0.6742   0.15001   0.14626  -0.0285   0.0327   1.0000
  13.000   0.6834   0.15783   0.15407  -0.0319   0.0309   1.0000
  13.500   0.7008   0.16609   0.16233  -0.0329   0.0297   1.0000
  14.000   0.7039   0.17361   0.16981  -0.0390   0.0287   1.0000
  14.500   0.7177   0.18082   0.17701  -0.0419   0.0264   1.0000
  15.000   0.7290   0.18867   0.18484  -0.0461   0.0253   1.0000
  15.500   0.7426   0.19600   0.19215  -0.0499   0.0236   1.0000
  16.000   0.7586   0.20315   0.19930  -0.0525   0.0223   1.0000
  16.500   0.7734   0.21085   0.20699  -0.0560   0.0220   1.0000
  17.000   0.7867   0.21772   0.21384  -0.0611   0.0214   1.0000
  17.500   0.8022   0.22474   0.22085  -0.0651   0.0199   1.0000
  18.000   0.8181   0.23148   0.22760  -0.0688   0.0187   1.0000
