  
       XFOIL         Version 6.96
  
 Calculated polar for: E. Bambino                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4998   0.07258   0.06950  -0.0043   1.0000   0.0171
  -4.500  -0.4765   0.06440   0.06127  -0.0061   1.0000   0.0190
  -4.000  -0.4386   0.05648   0.05314  -0.0098   1.0000   0.0216
  -3.500  -0.3819   0.04979   0.04591  -0.0130   1.0000   0.0257
  -3.000  -0.3460   0.04183   0.03783  -0.0140   1.0000   0.0310
  -2.500  -0.2956   0.03573   0.03132  -0.0144   1.0000   0.0395
  -1.500  -0.1696   0.00786   0.00257  -0.0153   0.8507   0.0859
  -1.000  -0.1328   0.00557  -0.00068  -0.0110   0.6902   0.1154
  -0.500  -0.0687   0.00403  -0.00377  -0.0064   0.6116   0.0339
   0.000  -0.0169   0.00286  -0.00633  -0.0044   0.3295   0.0257
   0.500   0.0342   0.00196  -0.00779  -0.0035   0.1827   0.0293
   1.500   0.1738   0.00061  -0.00740  -0.0084   0.0766   1.0000
   2.000   0.2202   0.00075  -0.00750  -0.0071   0.0723   1.0000
   2.500   0.2672   0.00099  -0.00742  -0.0058   0.0686   1.0000
   3.000   0.3146   0.00137  -0.00710  -0.0047   0.0653   1.0000
   3.500   0.3626   0.00189  -0.00664  -0.0037   0.0642   1.0000
   4.000   0.4113   0.00251  -0.00604  -0.0029   0.0643   1.0000
   4.500   0.4595   0.00356  -0.00497  -0.0021   0.0616   1.0000
   5.000   0.5077   0.00385  -0.00469  -0.0024   0.0439   1.0000
   5.500   0.5634   0.00257  -0.00607  -0.0029   0.0314   1.0000
   6.000   0.6154   0.00271  -0.00608  -0.0026   0.0193   1.0000
   6.500   0.6671   0.00312  -0.00568  -0.0020   0.0204   1.0000
   8.000   0.8160   0.00662  -0.00043   0.0019   0.0367   1.0000
   8.500   0.8625   0.00918   0.00237   0.0037   0.0320   1.0000
   9.000   0.9041   0.01360   0.00738   0.0060   0.0286   1.0000
   9.500   0.9397   0.01755   0.01182   0.0079   0.0250   1.0000
  10.000   0.9518   0.02583   0.02105   0.0109   0.0227   1.0000
  10.500   0.9424   0.03446   0.03038   0.0142   0.0211   1.0000
  11.000   0.9038   0.04285   0.03930   0.0176   0.0215   1.0000
  11.500   0.8442   0.05629   0.05315   0.0132   0.0241   1.0000
  12.000   0.8031   0.07084   0.06786   0.0053   0.0256   1.0000
  14.000   0.6485   0.13674   0.13361  -0.0175   0.0499   1.0000
  15.500 NaN      NaN       NaN       NaN        0.0189   1.0000
  16.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  16.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  18.000 NaN      NaN       NaN       NaN        1.0000   1.0000
