  
       XFOIL         Version 6.96
  
 Calculated polar for: EPPLER EC 86(-3)-914 AIRFOIL                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3060   0.02799   0.02073  -0.0961   0.9541   0.0212
  -4.000  -0.1312   0.02624   0.01838  -0.1106   0.9379   0.0228
  -3.000   0.0356   0.02515   0.01802  -0.1238   0.9236   0.2370
  -2.500   0.1054   0.02497   0.01799  -0.1274   0.9129   0.2847
  -2.000   0.1797   0.02479   0.01800  -0.1319   0.9034   0.3449
  -1.500   0.2538   0.02463   0.01907  -0.1354   0.8954   0.6203
  -1.000   0.3056   0.02546   0.01993  -0.1328   0.8830   0.6875
  -0.500   0.3583   0.02578   0.02022  -0.1304   0.8704   0.7152
   0.000   0.4149   0.02552   0.01994  -0.1286   0.8579   0.7323
   0.500   0.4876   0.02476   0.01916  -0.1298   0.8518   0.7481
   1.000   0.5350   0.02416   0.01858  -0.1269   0.8341   0.7625
   1.500   0.6111   0.02265   0.01709  -0.1288   0.8266   0.7761
   2.000   0.6631   0.02157   0.01608  -0.1261   0.8131   0.7918
   2.500   0.7134   0.02038   0.01497  -0.1232   0.7988   0.8077
   3.000   0.7588   0.01951   0.01419  -0.1200   0.7775   0.8225
   3.500   0.8268   0.01816   0.01291  -0.1210   0.7562   0.8352
   4.000   0.9037   0.01660   0.01133  -0.1234   0.7205   0.8421
   4.500   0.9892   0.01596   0.01045  -0.1286   0.6540   0.8460
   5.000   1.0435   0.01671   0.01072  -0.1288   0.5599   0.8490
   5.500   1.0693   0.01794   0.01149  -0.1237   0.4724   0.8523
   6.000   1.1000   0.01942   0.01260  -0.1203   0.4003   0.8551
   6.500   1.1370   0.02093   0.01384  -0.1181   0.3493   0.8586
   7.000   1.1825   0.02234   0.01511  -0.1176   0.3137   0.8609
   7.500   1.2309   0.02365   0.01638  -0.1175   0.2898   0.8635
   8.000   1.2756   0.02480   0.01758  -0.1165   0.2703   0.8666
   8.500   1.3112   0.02605   0.01889  -0.1144   0.2458   0.8693
   9.000   1.3500   0.02740   0.02040  -0.1129   0.2256   0.8723
   9.500   1.3812   0.02894   0.02208  -0.1107   0.1947   0.8758
  10.000   1.4018   0.03116   0.02404  -0.1070   0.1177   0.8793
  10.500   1.3886   0.03752   0.02956  -0.1001   0.0186   0.8816
  11.000   1.4021   0.04159   0.03398  -0.0965   0.0145   0.8848
  11.500   1.4093   0.04640   0.03919  -0.0932   0.0127   0.8878
  12.000   1.4013   0.05270   0.04585  -0.0896   0.0119   0.8909
  12.500   1.3838   0.06073   0.05420  -0.0869   0.0114   0.8943
  13.000   1.3758   0.06863   0.06238  -0.0859   0.0112   0.8978
  13.500   1.3749   0.07634   0.07036  -0.0859   0.0110   0.9008
  14.000   1.3777   0.08339   0.07768  -0.0856   0.0107   0.9040
  14.500   1.3815   0.09077   0.08540  -0.0863   0.0102   0.9078
  15.000   1.3793   0.09950   0.09452  -0.0887   0.0093   0.9118
  15.500   1.3757   0.10851   0.10392  -0.0911   0.0091   0.9158
  16.000   1.3662   0.11896   0.11482  -0.0951   0.0091   0.9205
  16.500   1.3510   0.13107   0.12739  -0.1014   0.0093   0.9257
  17.000   1.3300   0.14476   0.14155  -0.1096   0.0095   0.9317
  17.500   1.3066   0.16020   0.15742  -0.1203   0.0097   0.9385
  18.000   1.2793   0.17737   0.17498  -0.1328   0.0099   0.9482
