  
       XFOIL         Version 6.96
  
 Calculated polar for: EH 1.5/9.0                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4720   0.02136   0.01431  -0.0068   1.0000   0.0307
  -4.500  -0.4280   0.01829   0.01093  -0.0044   1.0000   0.0346
  -4.000  -0.3844   0.01575   0.00817  -0.0014   1.0000   0.0390
  -3.500  -0.3485   0.01386   0.00627   0.0024   1.0000   0.0541
  -3.000  -0.2805   0.01204   0.00480  -0.0011   0.9849   0.1281
  -2.500  -0.2140   0.00878   0.00393  -0.0046   0.9541   0.6431
  -2.000  -0.1485   0.00862   0.00425  -0.0031   0.9152   0.8855
  -1.500  -0.0696   0.00910   0.00440  -0.0050   0.8689   0.9374
  -1.000   0.0312   0.00953   0.00436  -0.0125   0.8183   0.9650
  -0.500   0.1643   0.00955   0.00390  -0.0275   0.7645   1.0000
   0.000   0.2052   0.00956   0.00358  -0.0250   0.7192   1.0000
   0.500   0.2480   0.00960   0.00337  -0.0229   0.6793   1.0000
   1.000   0.2922   0.00968   0.00324  -0.0209   0.6436   1.0000
   1.500   0.3372   0.00980   0.00319  -0.0191   0.6109   1.0000
   2.000   0.3828   0.00997   0.00321  -0.0173   0.5806   1.0000
   2.500   0.4286   0.01019   0.00334  -0.0155   0.5518   1.0000
   3.000   0.4747   0.01046   0.00352  -0.0137   0.5235   1.0000
   3.500   0.5211   0.01077   0.00379  -0.0119   0.4959   1.0000
   4.000   0.5676   0.01112   0.00415  -0.0102   0.4684   1.0000
   4.500   0.6144   0.01151   0.00455  -0.0085   0.4404   1.0000
   5.000   0.6612   0.01192   0.00506  -0.0068   0.4111   1.0000
   5.500   0.7081   0.01234   0.00559  -0.0051   0.3793   1.0000
   6.000   0.7538   0.01272   0.00603  -0.0033   0.3363   1.0000
   6.500   0.7975   0.01326   0.00649  -0.0013   0.2623   1.0000
   7.000   0.8274   0.01615   0.00828   0.0016   0.0628   1.0000
   7.500   0.8586   0.01916   0.01128   0.0050   0.0313   1.0000
   8.000   0.8882   0.02224   0.01463   0.0087   0.0268   1.0000
   8.500   0.9218   0.02531   0.01789   0.0117   0.0235   1.0000
   9.000   0.9531   0.03020   0.02294   0.0143   0.0203   1.0000
   9.500   0.9821   0.03687   0.03019   0.0169   0.0200   1.0000
  10.000   1.0047   0.04188   0.03575   0.0199   0.0204   1.0000
  10.500   1.0078   0.04728   0.04201   0.0243   0.0225   1.0000
  11.000   0.9655   0.05564   0.05109   0.0286   0.0251   1.0000
  11.500   0.9292   0.06461   0.06044   0.0259   0.0262   1.0000
  12.000   0.8881   0.07669   0.07283   0.0181   0.0266   1.0000
  12.500   0.8473   0.09172   0.08809   0.0070   0.0267   1.0000
  13.000   0.8011   0.11213   0.10863  -0.0067   0.0273   1.0000
