  
       XFOIL         Version 6.96
  
 Calculated polar for: Eiffel 371 (Monge)                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1963   0.01928   0.01183  -0.0574   0.9139   0.0440
  -4.500  -0.1241   0.01692   0.00946  -0.0597   0.8970   0.0546
  -4.000  -0.0691   0.01514   0.00771  -0.0586   0.8687   0.0784
  -3.500  -0.0254   0.01299   0.00627  -0.0559   0.8359   0.2259
  -3.000   0.0038   0.01208   0.00614  -0.0500   0.8003   0.5452
  -2.500   0.0505   0.01150   0.00530  -0.0475   0.7650   0.6087
  -2.000   0.0898   0.01162   0.00596  -0.0421   0.7332   0.7566
  -1.500   0.1336   0.01212   0.00608  -0.0390   0.7071   0.7918
  -1.000   0.1809   0.01227   0.00601  -0.0363   0.6860   0.8225
  -0.500   0.2311   0.01230   0.00590  -0.0342   0.6669   0.8495
   0.000   0.2805   0.01244   0.00586  -0.0326   0.6483   0.8595
   0.500   0.3346   0.01263   0.00591  -0.0321   0.6303   0.8658
   1.000   0.3837   0.01282   0.00594  -0.0307   0.6129   0.8715
   1.500   0.4361   0.01303   0.00605  -0.0300   0.5952   0.8764
   2.000   0.4862   0.01325   0.00618  -0.0289   0.5769   0.8812
   2.500   0.5333   0.01342   0.00626  -0.0272   0.5562   0.8874
   3.000   0.5835   0.01366   0.00641  -0.0262   0.5354   0.8927
   3.500   0.6281   0.01384   0.00654  -0.0243   0.5130   0.8965
   4.000   0.6705   0.01398   0.00664  -0.0220   0.4889   0.8988
   4.500   0.7129   0.01416   0.00675  -0.0199   0.4642   0.8998
   5.000   0.7549   0.01437   0.00693  -0.0179   0.4385   0.9006
   5.500   0.7963   0.01467   0.00719  -0.0158   0.4131   0.9014
   6.000   0.8378   0.01508   0.00755  -0.0139   0.3904   0.9029
   6.500   0.8794   0.01562   0.00802  -0.0122   0.3700   0.9044
   7.000   0.9204   0.01620   0.00862  -0.0105   0.3504   0.9057
   7.500   0.9595   0.01684   0.00928  -0.0086   0.3316   0.9068
   8.000   0.9949   0.01751   0.00999  -0.0060   0.3139   0.9080
   8.500   1.0273   0.01827   0.01079  -0.0031   0.2952   0.9097
   9.000   1.0572   0.01917   0.01171   0.0000   0.2752   0.9121
   9.500   1.0849   0.02020   0.01286   0.0031   0.2536   0.9155
  10.000   1.1109   0.02147   0.01421   0.0059   0.2308   0.9213
  10.500   1.1393   0.02302   0.01579   0.0074   0.2112   0.9320
  11.000   1.1721   0.02480   0.01767   0.0073   0.1933   0.9501
  11.500   1.2065   0.02683   0.01983   0.0063   0.1787   1.0000
  12.000   1.2212   0.02888   0.02200   0.0090   0.1674   1.0000
  12.500   1.2341   0.03130   0.02458   0.0112   0.1554   1.0000
  13.000   1.2422   0.03440   0.02780   0.0128   0.1421   1.0000
  13.500   1.2489   0.03803   0.03157   0.0137   0.1291   1.0000
  14.000   1.2523   0.04237   0.03607   0.0141   0.1153   1.0000
  14.500   1.2541   0.04729   0.04113   0.0138   0.1002   1.0000
  15.000   1.2453   0.05371   0.04755   0.0131   0.0671   1.0000
  15.500   1.2001   0.06472   0.05834   0.0116   0.0335   1.0000
  16.000   1.1709   0.07468   0.06842   0.0094   0.0270   1.0000
  16.500   1.1435   0.08517   0.07914   0.0064   0.0246   1.0000
  17.000   1.1152   0.09652   0.09076   0.0025   0.0233   1.0000
  17.500   1.0835   0.10902   0.10358  -0.0021   0.0224   1.0000
  18.000   1.0539   0.12166   0.11652  -0.0071   0.0224   1.0000
