  
       XFOIL         Version 6.96
  
 Calculated polar for: WORTMANN FX 05-191 AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2660   0.01977   0.01400  -0.0812   0.8394   0.5086
  -4.000  -0.1616   0.02027   0.01468  -0.0790   0.8226   0.6431
  -3.000  -0.1131   0.02352   0.01800  -0.0635   0.7945   0.6949
  -2.500  -0.0341   0.02382   0.01814  -0.0663   0.7921   0.7073
  -2.000   0.0481   0.02325   0.01734  -0.0716   0.7900   0.7196
  -1.000   0.1005   0.02404   0.01805  -0.0610   0.7625   0.7379
  -0.500   0.1754   0.02378   0.01770  -0.0637   0.7599   0.7447
   0.000   0.2549   0.02311   0.01692  -0.0681   0.7575   0.7547
   1.000   0.3033   0.02356   0.01738  -0.0571   0.7313   0.7755
   1.500   0.3879   0.02270   0.01645  -0.0627   0.7290   0.7861
   2.500   0.4881   0.02213   0.01590  -0.0605   0.7137   0.8047
   3.500   0.5937   0.02148   0.01531  -0.0597   0.6983   0.8240
   4.500   0.7091   0.02083   0.01475  -0.0612   0.6825   0.8430
   5.000   0.7314   0.02102   0.01505  -0.0558   0.6702   0.8531
   5.500   0.8108   0.02062   0.01470  -0.0609   0.6624   0.8621
   6.000   0.8753   0.01983   0.01394  -0.0617   0.6510   0.8686
   6.500   0.9179   0.01983   0.01405  -0.0602   0.6368   0.8785
   7.000   0.9661   0.01919   0.01342  -0.0583   0.6189   0.8863
   7.500   1.0112   0.01897   0.01324  -0.0569   0.5991   0.8948
   8.000   1.0277   0.01907   0.01347  -0.0502   0.5797   0.9041
   8.500   1.0537   0.01930   0.01384  -0.0460   0.5592   0.9124
   9.000   1.0859   0.01946   0.01405  -0.0428   0.5356   0.9203
   9.500   1.0937   0.02022   0.01494  -0.0364   0.5058   0.9285
  10.000   1.1044   0.02141   0.01616  -0.0311   0.4666   0.9366
  10.500   1.1031   0.02322   0.01790  -0.0246   0.4097   0.9451
  11.000   1.0813   0.02674   0.02095  -0.0169   0.3147   0.9535
  11.500   1.0440   0.03237   0.02596  -0.0096   0.2124   0.9631
  12.500   1.0257   0.04276   0.03582  -0.0046   0.1165   0.9938
  13.000   1.0373   0.04758   0.04057  -0.0050   0.0996   1.0000
  13.500   1.0537   0.05201   0.04497  -0.0054   0.0862   1.0000
  14.000   1.0771   0.05591   0.04895  -0.0062   0.0756   1.0000
  14.500   1.1047   0.05940   0.05252  -0.0068   0.0667   1.0000
  15.000   1.1369   0.06242   0.05556  -0.0074   0.0598   1.0000
  15.500   1.1639   0.06625   0.05952  -0.0088   0.0542   1.0000
  16.000   1.1947   0.06969   0.06313  -0.0096   0.0495   1.0000
  16.500   1.2170   0.07413   0.06773  -0.0112   0.0456   1.0000
  17.000   1.2419   0.07843   0.07224  -0.0123   0.0421   1.0000
  17.500   1.2540   0.08422   0.07834  -0.0143   0.0391   1.0000
  18.000   1.2800   0.08846   0.08261  -0.0156   0.0364   1.0000
