  
       XFOIL         Version 6.96
  
 Calculated polar for: pane                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000 NaN      NaN       NaN       NaN        1.8097   0.1892
  -4.500 NaN      NaN       NaN       NaN        1.8108   0.1892
  -4.000 NaN      NaN       NaN       NaN        1.8108   0.1892
  -3.500 NaN      NaN       NaN       NaN        1.8108   0.1892
  -3.000 NaN      NaN       NaN       NaN        1.8108   0.1892
  -2.500 NaN      NaN       NaN       NaN        1.8108   0.1892
  -2.000 NaN      NaN       NaN       NaN        1.8108   0.1892
  -1.500 NaN      NaN       NaN       NaN        1.8108   0.1892
  -1.000 NaN      NaN       NaN       NaN        1.8108   0.1892
  -0.500 NaN      NaN       NaN       NaN        1.8108   0.1892
   0.000 NaN      NaN       NaN       NaN        1.8108   0.1892
   0.500 NaN      NaN       NaN       NaN        1.8108   0.1892
   1.000 NaN      NaN       NaN       NaN        1.8108   0.1892
   1.500 NaN      NaN       NaN       NaN        1.8108   0.1892
   2.000 NaN      NaN       NaN       NaN        1.8108   0.1892
   2.500 NaN      NaN       NaN       NaN        1.8108   0.1892
   3.000 NaN      NaN       NaN       NaN        1.8108   0.1892
   3.500 NaN      NaN       NaN       NaN        1.8108   0.1892
   4.000 NaN      NaN       NaN       NaN        1.8108   0.1892
   4.500 NaN      NaN       NaN       NaN        1.8108   0.1892
   5.000 NaN      NaN       NaN       NaN        1.8108   0.1892
   5.500 NaN      NaN       NaN       NaN        1.8108   0.1892
   6.000 NaN      NaN       NaN       NaN        1.8108   0.1892
   6.500 NaN      NaN       NaN       NaN        1.8108   0.1892
   7.000 NaN      NaN       NaN       NaN        1.8108   0.1892
   7.500 NaN      NaN       NaN       NaN        1.8108   0.1892
   8.000 NaN      NaN       NaN       NaN        1.8108   0.1892
   8.500 NaN      NaN       NaN       NaN        1.8108   0.1892
   9.000 NaN      NaN       NaN       NaN        1.8108   0.1892
   9.500 NaN      NaN       NaN       NaN        1.8108   0.1892
  10.000 NaN      NaN       NaN       NaN        1.8108   0.1892
  10.500 NaN      NaN       NaN       NaN        1.8108   0.1892
  11.000 NaN      NaN       NaN       NaN        1.8108   0.1892
  11.500 NaN      NaN       NaN       NaN        1.8108   0.1892
  12.000 NaN      NaN       NaN       NaN        1.8108   0.1892
  12.500 NaN      NaN       NaN       NaN        1.8108   0.1892
  13.000 NaN      NaN       NaN       NaN        1.8108   0.1892
  13.500 NaN      NaN       NaN       NaN        1.8108   0.1892
  14.000 NaN      NaN       NaN       NaN        1.8108   0.1892
  14.500 NaN      NaN       NaN       NaN        1.8108   0.1892
  15.000 NaN      NaN       NaN       NaN        1.8108   0.1892
  15.500 NaN      NaN       NaN       NaN        1.8108   0.1892
  16.000 NaN      NaN       NaN       NaN        1.8108   0.1892
  16.500 NaN      NaN       NaN       NaN        1.8108   0.1892
  17.000 NaN      NaN       NaN       NaN        1.8108   0.1892
  17.500 NaN      NaN       NaN       NaN        1.8108   0.1892
  18.000 NaN      NaN       NaN       NaN        1.8108   0.1892
