  
       XFOIL         Version 6.96
  
 Calculated polar for: FX 61-147 AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1335   0.01861   0.01148  -0.0945   0.9136   0.0451
  -4.500  -0.0532   0.01597   0.00882  -0.0995   0.9008   0.0576
  -4.000   0.0429   0.01131   0.00631  -0.1115   0.8848   0.5348
  -3.500   0.1167   0.01222   0.00714  -0.1126   0.8582   0.6430
  -3.000   0.1704   0.01395   0.00872  -0.1084   0.8239   0.6778
  -2.500   0.2270   0.01483   0.00926  -0.1066   0.7897   0.7020
  -2.000   0.2788   0.01514   0.00926  -0.1047   0.7569   0.7124
  -1.500   0.3308   0.01526   0.00908  -0.1036   0.7266   0.7230
  -1.000   0.3851   0.01530   0.00884  -0.1035   0.7001   0.7344
  -0.500   0.4406   0.01535   0.00864  -0.1039   0.6753   0.7462
   0.000   0.4897   0.01549   0.00860  -0.1022   0.6546   0.7537
   0.500   0.5438   0.01553   0.00849  -0.1024   0.6341   0.7634
   1.000   0.5982   0.01565   0.00848  -0.1025   0.6158   0.7725
   1.500   0.6505   0.01574   0.00849  -0.1021   0.5991   0.7800
   2.000   0.7099   0.01592   0.00857  -0.1036   0.5834   0.7894
   2.500   0.7589   0.01604   0.00867  -0.1023   0.5685   0.7959
   3.000   0.8176   0.01625   0.00885  -0.1037   0.5534   0.8044
   3.500   0.8675   0.01641   0.00906  -0.1028   0.5392   0.8107
   4.000   0.9262   0.01671   0.00936  -0.1042   0.5250   0.8185
   4.500   0.9759   0.01693   0.00968  -0.1033   0.5118   0.8247
   5.000   1.0328   0.01730   0.01012  -0.1042   0.4982   0.8318
   5.500   1.0843   0.01762   0.01055  -0.1038   0.4854   0.8382
   6.000   1.1392   0.01804   0.01108  -0.1043   0.4720   0.8450
   6.500   1.1905   0.01841   0.01158  -0.1039   0.4581   0.8515
   7.000   1.2394   0.01872   0.01209  -0.1032   0.4412   0.8584
   7.500   1.2845   0.01893   0.01249  -0.1016   0.4224   0.8652
   8.000   1.3295   0.01922   0.01295  -0.1001   0.4035   0.8726
   8.500   1.3657   0.01941   0.01335  -0.0969   0.3789   0.8802
   9.000   1.3988   0.01975   0.01386  -0.0934   0.3504   0.8887
   9.500   1.4208   0.02028   0.01455  -0.0879   0.3179   0.8985
  10.000   1.4370   0.02133   0.01566  -0.0820   0.2783   0.9099
  10.500   1.4416   0.02301   0.01733  -0.0749   0.2312   0.9271
  11.500   1.4136   0.03143   0.02525  -0.0629   0.1104   1.0000
  12.000   1.3983   0.03793   0.03159  -0.0608   0.0725   1.0000
  12.500   1.3845   0.04517   0.03885  -0.0603   0.0511   1.0000
  13.000   1.3659   0.05371   0.04748  -0.0610   0.0360   1.0000
  13.500   1.3373   0.06428   0.05818  -0.0628   0.0254   1.0000
  14.000   1.3140   0.07489   0.06900  -0.0654   0.0201   1.0000
  14.500   1.2977   0.08496   0.07931  -0.0681   0.0175   1.0000
  15.000   1.2908   0.09392   0.08846  -0.0709   0.0156   1.0000
  15.500   1.2856   0.10245   0.09709  -0.0734   0.0142   1.0000
  16.000   1.2900   0.10960   0.10445  -0.0753   0.0130   1.0000
  16.500   1.2941   0.11719   0.11229  -0.0783   0.0117   1.0000
  17.000   1.2969   0.12497   0.12026  -0.0817   0.0108   1.0000
  17.500   1.3014   0.13232   0.12784  -0.0848   0.0104   1.0000
  18.000   1.3024   0.14039   0.13616  -0.0884   0.0101   1.0000
