  
       XFOIL         Version 6.96
  
 Calculated polar for: FX 68-H-120                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3536   0.01761   0.01053  -0.0399   0.9393   0.1539
  -4.500  -0.2875   0.01769   0.01051  -0.0423   0.9330   0.1852
  -4.000  -0.2148   0.01706   0.00971  -0.0451   0.9199   0.2074
  -3.500  -0.1536   0.01629   0.00897  -0.0454   0.9063   0.2259
  -3.000  -0.1017   0.01577   0.00844  -0.0441   0.8937   0.2467
  -2.500  -0.0523   0.01517   0.00797  -0.0422   0.8811   0.2757
  -2.000  -0.0071   0.01435   0.00750  -0.0394   0.8675   0.3417
  -1.500   0.0228   0.01280   0.00719  -0.0334   0.8527   0.6196
  -1.000   0.1497   0.01190   0.00705  -0.0440   0.8417   0.9292
  -0.500   0.2418   0.01168   0.00661  -0.0489   0.8233   0.9725
   0.000   0.3457   0.01099   0.00573  -0.0575   0.8007   0.9994
   0.500   0.3883   0.01053   0.00513  -0.0543   0.7721   1.0000
   1.000   0.4311   0.01014   0.00459  -0.0510   0.7319   1.0000
   1.500   0.4746   0.00992   0.00409  -0.0479   0.6581   1.0000
   2.000   0.5153   0.01043   0.00379  -0.0445   0.5278   1.0000
   2.500   0.5583   0.01128   0.00409  -0.0424   0.4470   1.0000
   3.000   0.6020   0.01203   0.00447  -0.0405   0.3933   1.0000
   3.500   0.6457   0.01276   0.00492  -0.0385   0.3514   1.0000
   4.000   0.6892   0.01347   0.00545  -0.0365   0.3159   1.0000
   4.500   0.7322   0.01423   0.00604  -0.0344   0.2883   1.0000
   5.000   0.7751   0.01504   0.00671  -0.0322   0.2677   1.0000
   5.500   0.8182   0.01592   0.00747  -0.0301   0.2518   1.0000
   6.000   0.8622   0.01673   0.00831  -0.0281   0.2390   1.0000
   6.500   0.9059   0.01754   0.00916  -0.0261   0.2271   1.0000
   7.000   0.9457   0.01817   0.00977  -0.0236   0.2108   1.0000
   7.500   0.9836   0.01870   0.01039  -0.0209   0.1939   1.0000
   8.000   1.0200   0.01897   0.01080  -0.0179   0.1716   1.0000
   8.500   1.0559   0.01953   0.01119  -0.0150   0.1217   1.0000
   9.000   1.0630   0.02269   0.01371  -0.0085   0.0248   1.0000
   9.500   1.0803   0.02456   0.01587  -0.0028   0.0208   1.0000
  10.000   1.0953   0.02673   0.01838   0.0024   0.0184   1.0000
  10.500   1.1065   0.02929   0.02130   0.0071   0.0175   1.0000
  11.000   1.1088   0.03264   0.02499   0.0115   0.0170   1.0000
  11.500   1.1020   0.03707   0.02971   0.0150   0.0167   1.0000
  12.000   1.0922   0.04246   0.03536   0.0169   0.0167   1.0000
  12.500   1.0779   0.04926   0.04239   0.0170   0.0166   1.0000
  13.000   1.0666   0.05662   0.04998   0.0159   0.0167   1.0000
  13.500   1.0615   0.06355   0.05707   0.0149   0.0168   1.0000
  14.000   1.0648   0.06931   0.06297   0.0149   0.0172   1.0000
  14.500   1.0772   0.07377   0.06754   0.0162   0.0178   1.0000
  15.000   1.0893   0.07872   0.07267   0.0175   0.0186   1.0000
  15.500   1.1161   0.08243   0.07652   0.0206   0.0202   1.0000
  16.000   1.1039   0.09125   0.08572   0.0158   0.0211   1.0000
  16.500   1.0785   0.10372   0.09873   0.0089   0.0229   1.0000
  17.000   1.0506   0.11725   0.11267   0.0015   0.0242   1.0000
  17.500   1.0182   0.13256   0.12832  -0.0075   0.0252   1.0000
  18.000   0.9805   0.15027   0.14633  -0.0185   0.0257   1.0000
