  
       XFOIL         Version 6.96
  
 Calculated polar for: WORTMANN FX 72-MS-150B AIRFOIL                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.4569   0.05785   0.05295  -0.1817   0.6881   0.0511
  -4.500   0.4804   0.05468   0.04978  -0.1783   0.6819   0.0535
  -4.000   0.5507   0.04619   0.04103  -0.2006   0.6771   0.0608
  -3.000   0.6855   0.03525   0.02951  -0.2243   0.6649   0.0849
  -2.500   0.7559   0.03172   0.02569  -0.2312   0.6608   0.1048
  -2.000   0.8197   0.02915   0.02289  -0.2370   0.6550   0.1364
  -1.500   0.9244   0.02281   0.01471  -0.2453   0.6505   0.0494
  -1.000   0.9882   0.02168   0.01335  -0.2474   0.6467   0.0549
  -0.500   1.0516   0.02110   0.01270  -0.2495   0.6431   0.0653
   0.000   1.1054   0.02114   0.01294  -0.2505   0.6372   0.1124
   0.500   1.1617   0.02129   0.01407  -0.2513   0.6330   0.5912
   1.000   1.2122   0.02195   0.01471  -0.2502   0.6299   0.6539
   1.500   1.2609   0.02277   0.01552  -0.2494   0.6267   0.6939
   2.000   1.2956   0.02422   0.01707  -0.2472   0.6212   0.7100
   2.500   1.3424   0.02518   0.01802  -0.2468   0.6174   0.7248
   3.000   1.3967   0.02582   0.01862  -0.2475   0.6146   0.7407
   3.500   1.4557   0.02643   0.01917  -0.2491   0.6123   0.7575
   4.000   1.3866   0.03350   0.02676  -0.2327   0.6017   0.7725
   4.500   1.4294   0.03458   0.02793  -0.2317   0.5988   0.8054
   5.000   1.4950   0.03423   0.02768  -0.2337   0.5970   1.0000
