  
       XFOIL         Version 6.96
  
 Calculated polar for: 74-130 WP2                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0780   0.03837   0.03284  -0.1159   0.8237   0.0755
  -4.500  -0.0462   0.03519   0.02921  -0.1141   0.8209   0.0965
  -3.500   0.0279   0.02810   0.02050  -0.1043   0.8130   0.0363
  -3.000   0.0664   0.02662   0.01874  -0.1014   0.8090   0.0356
  -2.500   0.1136   0.02537   0.01737  -0.0999   0.8067   0.0368
  -1.500   0.1399   0.02540   0.01806  -0.0884   0.7950   0.2106
  -1.000   0.1429   0.02478   0.01965  -0.0739   0.7916   0.8835
  -0.500   0.1880   0.02666   0.02147  -0.0703   0.7845   0.9780
   0.000   0.3485   0.02697   0.02136  -0.0913   0.7835   0.9931
   0.500   0.4302   0.02714   0.02135  -0.0974   0.7801   0.9971
   1.000   0.5134   0.02704   0.02114  -0.1030   0.7779   0.9995
