  
       XFOIL         Version 6.96
  
 Calculated polar for: FX 74-CL6-140                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1842   0.05512   0.04979  -0.1171   0.5590   0.0478
  -4.000   0.2742   0.04427   0.03860  -0.1285   0.5513   0.0603
  -3.500   0.3381   0.03872   0.03234  -0.1364   0.5475   0.0751
  -3.000   0.3932   0.03482   0.02823  -0.1395   0.5436   0.0884
  -2.500   0.4496   0.03153   0.02478  -0.1418   0.5395   0.1050
  -2.000   0.5196   0.02718   0.01965  -0.1446   0.5356   0.0905
  -1.500   0.5913   0.02217   0.01325  -0.1447   0.5320   0.0461
  -1.000   0.6488   0.02116   0.01209  -0.1449   0.5286   0.0482
  -0.500   0.7046   0.02071   0.01183  -0.1452   0.5246   0.0593
   0.000   0.7637   0.01901   0.01205  -0.1469   0.5201   0.6795
   0.500   0.8015   0.01940   0.01259  -0.1417   0.5164   0.8318
   1.000   0.8342   0.01945   0.01266  -0.1360   0.5135   0.9098
   1.500   0.8881   0.02010   0.01328  -0.1361   0.5094   1.0000
   2.000   0.9462   0.02110   0.01424  -0.1378   0.5044   1.0000
   2.500   1.0060   0.02189   0.01488  -0.1394   0.5003   1.0000
   3.000   1.0666   0.02254   0.01534  -0.1409   0.4966   1.0000
   3.500   1.1202   0.02388   0.01666  -0.1417   0.4927   1.0000
   4.000   1.1680   0.02527   0.01819  -0.1417   0.4866   1.0000
   4.500   1.2227   0.02611   0.01898  -0.1422   0.4826   1.0000
   5.000   1.2798   0.02675   0.01953  -0.1429   0.4793   1.0000
   5.500   1.3184   0.02886   0.02185  -0.1418   0.4732   1.0000
   6.000   1.3612   0.03043   0.02357  -0.1411   0.4676   1.0000
   6.500   1.4182   0.03076   0.02385  -0.1415   0.4641   1.0000
   7.000   1.4764   0.03138   0.02442  -0.1422   0.4613   1.0000
   7.500   1.4803   0.03546   0.02898  -0.1376   0.4514   1.0000
   8.000   1.5374   0.03562   0.02917  -0.1380   0.4482   1.0000
   8.500   1.5602   0.03836   0.03212  -0.1352   0.4421   1.0000
   9.000   1.5595   0.04212   0.03616  -0.1302   0.4337   1.0000
   9.500   1.6343   0.04084   0.03492  -0.1319   0.4315   1.0000
  11.000   1.6929   0.04641   0.04100  -0.1216   0.4140   1.0000
  12.500   1.3522   0.10373   0.09869  -0.1195   0.3426   1.0000
  14.500   1.6098   0.08701   0.08270  -0.1124   0.3290   1.0000
  15.500   1.6415   0.09400   0.09004  -0.1127   0.3028   1.0000
  16.000   1.6737   0.09522   0.09145  -0.1125   0.2893   1.0000
  16.500   1.7231   0.09380   0.09011  -0.1115   0.2721   1.0000
  17.000   1.6914   0.10529   0.10175  -0.1141   0.2483   1.0000
  17.500   1.6869   0.11254   0.10899  -0.1157   0.2195   1.0000
  18.000   1.6673   0.12240   0.11872  -0.1184   0.1833   1.0000
