  
       XFOIL         Version 6.96
  
 Calculated polar for: PANE                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000 NaN      NaN       NaN       NaN        1.8204   0.1796
  -2.500 NaN      NaN       NaN       NaN        1.8204   0.1796
  -2.000 NaN      NaN       NaN       NaN        1.8204   0.1796
  -1.500 NaN      NaN       NaN       NaN        1.8204   0.1796
  -1.000 NaN      NaN       NaN       NaN        1.8204   0.1796
  -0.500 NaN      NaN       NaN       NaN        1.8204   0.1796
   0.000 NaN      NaN       NaN       NaN        1.8204   0.1796
   0.500 NaN      NaN       NaN       NaN        1.8204   0.1796
   1.000 NaN      NaN       NaN       NaN        1.8204   0.1796
   1.500 NaN      NaN       NaN       NaN        1.8204   0.1796
   2.000 NaN      NaN       NaN       NaN        1.8204   0.1796
   2.500 NaN      NaN       NaN       NaN        1.8204   0.1796
   3.000 NaN      NaN       NaN       NaN        1.8204   0.1796
   3.500 NaN      NaN       NaN       NaN        1.8204   0.1796
   4.000 NaN      NaN       NaN       NaN        1.8204   0.1796
   4.500 NaN      NaN       NaN       NaN        1.8204   0.1796
   5.000 NaN      NaN       NaN       NaN        1.8204   0.1796
   5.500 NaN      NaN       NaN       NaN        1.8204   0.1796
   6.000 NaN      NaN       NaN       NaN        1.8204   0.1796
   6.500 NaN      NaN       NaN       NaN        1.8204   0.1796
   7.000 NaN      NaN       NaN       NaN        1.8204   0.1796
   7.500 NaN      NaN       NaN       NaN        1.8204   0.1796
   8.000 NaN      NaN       NaN       NaN        1.8204   0.1796
   8.500 NaN      NaN       NaN       NaN        1.8204   0.1796
   9.000 NaN      NaN       NaN       NaN        1.8204   0.1796
   9.500 NaN      NaN       NaN       NaN        1.8204   0.1796
  10.000 NaN      NaN       NaN       NaN        1.8204   0.1796
  10.500 NaN      NaN       NaN       NaN        1.8204   0.1796
  11.000 NaN      NaN       NaN       NaN        1.8204   0.1796
  11.500 NaN      NaN       NaN       NaN        1.8204   0.1796
  12.000 NaN      NaN       NaN       NaN        1.8204   0.1796
  12.500 NaN      NaN       NaN       NaN        1.8204   0.1796
  13.000 NaN      NaN       NaN       NaN        1.8204   0.1796
  13.500 NaN      NaN       NaN       NaN        1.8204   0.1796
  14.000 NaN      NaN       NaN       NaN        1.8204   0.1796
  14.500 NaN      NaN       NaN       NaN        1.8204   0.1796
  15.000 NaN      NaN       NaN       NaN        1.8204   0.1796
