  
       XFOIL         Version 6.96
  
 Calculated polar for: WORTMANN FX 77-W-258 AIRFOIL                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2202   0.02192   0.01519  -0.0380   0.4864   0.4982
  -4.500  -0.1632   0.02379   0.01740  -0.0366   0.4834   0.5738
  -4.000  -0.1028   0.02525   0.01876  -0.0371   0.4805   0.6014
  -3.500  -0.0429   0.02658   0.01993  -0.0375   0.4777   0.6209
  -3.000   0.0171   0.02763   0.02079  -0.0385   0.4751   0.6372
  -2.500   0.0694   0.02957   0.02270  -0.0359   0.4727   0.6449
  -2.000   0.1208   0.03168   0.02483  -0.0351   0.4699   0.6603
  -1.500   0.1635   0.03421   0.02763  -0.0318   0.4662   0.6714
  -1.000   0.2064   0.03618   0.02972  -0.0307   0.4620   0.6833
  -0.500   0.2505   0.03776   0.03132  -0.0292   0.4583   0.6929
   0.000   0.3024   0.03819   0.03163  -0.0284   0.4554   0.7046
   0.500   0.3539   0.03907   0.03240  -0.0271   0.4530   0.7188
   1.000   0.2120   0.05677   0.05095  -0.0266   0.4345   0.7224
   1.500   0.2486   0.05675   0.05095  -0.0196   0.4330   0.7324
   2.000   0.3464   0.05374   0.04772  -0.0210   0.4327   0.7462
   2.500   0.4156   0.05217   0.04602  -0.0200   0.4320   0.7505
