  
       XFOIL         Version 6.96
  
 Calculated polar for: FX 78-PK-188/20                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3469   0.02519   0.01831  -0.0561   0.7925   0.2931
  -4.500  -0.4192   0.02834   0.02107  -0.0360   0.7865   0.2331
  -4.000  -0.4543   0.02702   0.02137  -0.0227   0.7849   0.5296
  -3.500  -0.4441   0.02902   0.02388  -0.0146   0.7862   0.6891
  -3.000  -0.4145   0.03120   0.02592  -0.0104   0.7889   0.7243
  -2.500  -0.3663   0.03385   0.02849  -0.0082   0.7910   0.7529
  -2.000  -0.4028   0.03520   0.02985   0.0044   0.8020   0.7672
  -1.500  -0.2934   0.03745   0.03196   0.0024   0.7763   0.8061
  -1.000  -0.3446   0.03843   0.03302   0.0175   0.7828   0.8226
  -0.500  -0.2489   0.03887   0.03323   0.0139   0.7604   0.8372
   0.500  -0.1632   0.03837   0.03246   0.0160   0.7342   0.8489
   1.500  -0.0502   0.03851   0.03238   0.0141   0.7176   0.8573
   2.500   0.0157   0.03912   0.03288   0.0173   0.6937   0.8674
   3.000   0.0839   0.03907   0.03279   0.0149   0.6890   0.8705
   4.000   0.1622   0.03984   0.03356   0.0166   0.6655   0.8787
   4.500   0.2347   0.03946   0.03319   0.0135   0.6605   0.8813
   5.500   0.3379   0.03944   0.03330   0.0129   0.6433   0.8882
   6.000   0.3832   0.03958   0.03351   0.0131   0.6323   0.8924
   7.000   0.4694   0.04000   0.03416   0.0142   0.6088   0.9009
   7.500   0.5450   0.03842   0.03275   0.0118   0.6040   0.9047
   8.500   0.6990   0.03271   0.02744   0.0086   0.5859   0.9144
  10.000   0.8810   0.02738   0.02271   0.0075   0.5177   0.9362
  10.500   0.9556   0.02525   0.02021   0.0059   0.4239   0.9455
  11.000   0.9581   0.02944   0.02371   0.0076   0.2996   0.9636
  11.500   0.9406   0.03496   0.02848   0.0109   0.1882   1.0000
  12.000   0.9402   0.03927   0.03237   0.0134   0.1333   1.0000
  12.500   0.9520   0.04293   0.03583   0.0147   0.1040   1.0000
  13.000   0.9704   0.04620   0.03909   0.0155   0.0846   1.0000
  13.500   0.9880   0.04964   0.04254   0.0162   0.0694   1.0000
  14.000   1.0020   0.05350   0.04641   0.0170   0.0547   1.0000
  14.500   1.0131   0.05778   0.05071   0.0180   0.0407   1.0000
  15.000   1.0245   0.06211   0.05508   0.0188   0.0323   1.0000
  15.500   1.0393   0.06617   0.05921   0.0195   0.0280   1.0000
  16.000   1.0597   0.06977   0.06297   0.0205   0.0252   1.0000
  16.500   1.0722   0.07435   0.06778   0.0204   0.0226   1.0000
  17.000   1.0908   0.07844   0.07194   0.0209   0.0209   1.0000
  17.500   1.0950   0.08462   0.07855   0.0208   0.0202   1.0000
  18.000   1.0872   0.09245   0.08685   0.0198   0.0197   1.0000
