  
       XFOIL         Version 6.96
  
 Calculated polar for: FX 79-L-100                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5708   0.01424   0.00636   0.0022   1.0000   0.1004
  -4.500  -0.5334   0.01256   0.00500   0.0053   1.0000   0.1557
  -4.000  -0.5098   0.01020   0.00414   0.0104   1.0000   0.4344
  -3.500  -0.4753   0.00986   0.00414   0.0147   1.0000   0.5510
  -2.500  -0.3334   0.00980   0.00415   0.0081   0.9641   0.6603
  -2.000  -0.2483   0.00974   0.00414   0.0027   0.9368   0.7049
  -1.500  -0.1703   0.00966   0.00406  -0.0012   0.9043   0.7386
  -1.000  -0.1074   0.00964   0.00393  -0.0020   0.8698   0.7642
  -0.500  -0.0525   0.00962   0.00388  -0.0012   0.8384   0.7866
   0.000   0.0000   0.00962   0.00384   0.0000   0.8113   0.8112
   0.500   0.0524   0.00962   0.00387   0.0012   0.7864   0.8385
   1.000   0.1074   0.00964   0.00393   0.0020   0.7643   0.8697
   1.500   0.1702   0.00966   0.00406   0.0012   0.7386   0.9043
   2.000   0.2483   0.00974   0.00413  -0.0027   0.7047   0.9369
   2.500   0.3333   0.00979   0.00414  -0.0081   0.6600   0.9641
   3.000   0.4202   0.00987   0.00419  -0.0143   0.6113   0.9896
   3.500   0.4752   0.00986   0.00414  -0.0146   0.5503   1.0000
   4.000   0.5097   0.01021   0.00414  -0.0104   0.4338   1.0000
   4.500   0.5334   0.01256   0.00502  -0.0053   0.1559   1.0000
   5.000   0.5708   0.01424   0.00636  -0.0022   0.1004   1.0000
   5.500   0.6095   0.01602   0.00797   0.0007   0.0786   1.0000
   6.000   0.6511   0.01787   0.00980   0.0032   0.0651   1.0000
   6.500   0.6962   0.01949   0.01156   0.0054   0.0565   1.0000
   7.000   0.7403   0.02226   0.01453   0.0075   0.0497   1.0000
   7.500   0.7840   0.02456   0.01694   0.0092   0.0433   1.0000
   8.000   0.8224   0.02922   0.02222   0.0118   0.0401   1.0000
   8.500   0.8550   0.03360   0.02730   0.0149   0.0370   1.0000
   9.000   0.8852   0.03756   0.03160   0.0172   0.0343   1.0000
   9.500   0.8628   0.05004   0.04544   0.0226   0.0369   1.0000
  10.000   0.8406   0.06098   0.05688   0.0250   0.0437   1.0000
  11.500   0.5242   0.10678   0.10334  -0.0003   0.0687   1.0000
  12.000   0.5473   0.11340   0.10998   0.0027   0.0652   1.0000
  12.500   0.5151   0.12306   0.11961  -0.0052   0.0641   1.0000
  13.000   0.4942   0.12920   0.12575  -0.0104   0.0592   1.0000
  13.500   0.5016   0.13459   0.13116  -0.0122   0.0556   1.0000
  14.000   0.5292   0.14257   0.13916  -0.0105   0.0529   1.0000
  14.500   0.5165   0.14836   0.14494  -0.0166   0.0522   1.0000
  15.000   0.5072   0.15340   0.14998  -0.0225   0.0477   1.0000
  15.500   0.5198   0.15869   0.15528  -0.0245   0.0439   1.0000
  16.000   0.5478   0.16818   0.16480  -0.0238   0.0419   1.0000
  16.500   0.5412   0.17276   0.16938  -0.0294   0.0414   1.0000
  17.000   0.5393   0.17762   0.17425  -0.0348   0.0386   1.0000
  17.500   0.5491   0.18355   0.18020  -0.0379   0.0359   1.0000
  18.000   0.5623   0.18938   0.18605  -0.0402   0.0339   1.0000
