  
       XFOIL         Version 6.96
  
 Calculated polar for: FX 79-W-151 A                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1883   0.01731   0.00932  -0.0687   0.7788   0.1470
  -4.500  -0.1393   0.01666   0.00856  -0.0674   0.7651   0.1643
  -4.000  -0.0900   0.01599   0.00783  -0.0661   0.7517   0.1832
  -3.500  -0.0415   0.01533   0.00721  -0.0647   0.7387   0.2057
  -3.000   0.0067   0.01471   0.00666  -0.0632   0.7263   0.2391
  -2.500   0.0521   0.01395   0.00615  -0.0612   0.7146   0.3090
  -2.000   0.0871   0.01286   0.00588  -0.0572   0.7026   0.5077
  -1.500   0.1269   0.01206   0.00596  -0.0532   0.6901   0.7448
  -1.000   0.2361   0.01213   0.00617  -0.0628   0.6776   0.8922
  -0.500   0.3309   0.01258   0.00640  -0.0698   0.6653   0.9378
   0.000   0.4281   0.01298   0.00654  -0.0777   0.6531   0.9657
   0.500   0.5420   0.01311   0.00641  -0.0896   0.6406   0.9906
   1.000   0.6155   0.01303   0.00621  -0.0942   0.6275   1.0000
   1.500   0.6566   0.01313   0.00624  -0.0921   0.6150   1.0000
   2.000   0.6994   0.01330   0.00633  -0.0902   0.6035   1.0000
   2.500   0.7438   0.01348   0.00641  -0.0884   0.5924   1.0000
   3.000   0.7889   0.01370   0.00656  -0.0867   0.5812   1.0000
   3.500   0.8317   0.01403   0.00691  -0.0847   0.5694   1.0000
   4.000   0.8757   0.01440   0.00729  -0.0828   0.5581   1.0000
   4.500   0.9223   0.01476   0.00760  -0.0813   0.5481   1.0000
   5.000   0.9665   0.01517   0.00806  -0.0794   0.5371   1.0000
   5.500   1.0091   0.01569   0.00866  -0.0773   0.5260   1.0000
   6.000   1.0551   0.01620   0.00922  -0.0757   0.5165   1.0000
   6.500   1.1004   0.01668   0.00977  -0.0741   0.5063   1.0000
   7.000   1.1409   0.01736   0.01062  -0.0717   0.4960   1.0000
   7.500   1.1871   0.01795   0.01130  -0.0702   0.4868   1.0000
   8.000   1.2310   0.01848   0.01196  -0.0683   0.4762   1.0000
   8.500   1.2691   0.01898   0.01263  -0.0654   0.4630   1.0000
   9.000   1.2992   0.01888   0.01258  -0.0606   0.4401   1.0000
   9.500   1.3139   0.01891   0.01263  -0.0533   0.4100   1.0000
  10.000   1.3277   0.01954   0.01333  -0.0463   0.3868   1.0000
  10.500   1.3321   0.02055   0.01449  -0.0385   0.3623   1.0000
  11.000   1.3302   0.02241   0.01635  -0.0314   0.3263   1.0000
  11.500   1.3104   0.02623   0.01996  -0.0246   0.2575   1.0000
  12.000   1.2648   0.03331   0.02651  -0.0185   0.1720   1.0000
  12.500   1.2097   0.04275   0.03543  -0.0145   0.0927   1.0000
  13.000   1.1740   0.05159   0.04401  -0.0128   0.0544   1.0000
  13.500   1.1507   0.05990   0.05236  -0.0121   0.0404   1.0000
  14.000   1.1320   0.06813   0.06068  -0.0121   0.0345   1.0000
  14.500   1.1276   0.07484   0.06757  -0.0122   0.0307   1.0000
  15.000   1.1245   0.08140   0.07422  -0.0125   0.0282   1.0000
  15.500   1.1274   0.08666   0.07955  -0.0116   0.0261   1.0000
  16.000   1.1417   0.09062   0.08365  -0.0107   0.0243   1.0000
  16.500   1.1562   0.09460   0.08770  -0.0101   0.0224   1.0000
  17.000   1.1813   0.09628   0.08937  -0.0072   0.0205   1.0000
  17.500   1.1954   0.10072   0.09413  -0.0065   0.0200   1.0000
  18.000   1.2019   0.10650   0.10025  -0.0068   0.0197   1.0000
