  
       XFOIL         Version 6.96
  
 Calculated polar for: FX 79-W-660A                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   1.0819   0.14520   0.13673  -0.2414   0.6633   0.5532
  -4.000   1.1392   0.14078   0.13210  -0.2470   0.6554   0.5714
  -3.500   1.1663   0.14114   0.13259  -0.2459   0.6499   0.5765
  -2.500   1.0702   0.14295   0.13471  -0.2119   0.6365   0.5938
  -2.000   1.1399   0.14061   0.13228  -0.2217   0.6325   0.5969
  -1.500   1.2113   0.13789   0.12941  -0.2331   0.6290   0.6024
  -0.500   0.9733   0.14669   0.13882  -0.1653   0.6110   0.6177
   0.000   1.0640   0.14260   0.13459  -0.1801   0.6076   0.6199
   0.500   1.1527   0.13863   0.13045  -0.1952   0.6044   0.6232
   1.000   0.9600   0.15185   0.14426  -0.1434   0.5868   0.6287
   3.000   0.9314   0.14803   0.14025  -0.1215   0.5563   0.6460
   4.500   0.1200   0.13923   0.13136   0.0378   0.4860   0.6598
   5.000   0.2495   0.14095   0.13307   0.0173   0.4850   0.6581
