  
       XFOIL         Version 6.96
  
 Calculated polar for: FX 83-W-108                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0871   0.01931   0.01183  -0.1246   0.9152   0.0604
  -4.500  -0.0102   0.01742   0.00982  -0.1290   0.9122   0.0719
  -4.000   0.0386   0.01628   0.00870  -0.1279   0.9011   0.0869
  -3.500   0.1104   0.01469   0.00733  -0.1314   0.8970   0.1431
  -3.000   0.1560   0.01395   0.00728  -0.1300   0.8856   0.3308
  -2.500   0.2274   0.01377   0.00708  -0.1329   0.8811   0.4085
  -2.000   0.2739   0.01393   0.00726  -0.1309   0.8695   0.4525
  -1.500   0.3298   0.01395   0.00732  -0.1308   0.8612   0.5003
  -1.000   0.3875   0.01379   0.00726  -0.1309   0.8530   0.5411
  -0.500   0.4382   0.01383   0.00738  -0.1298   0.8431   0.5807
   0.000   0.4998   0.01352   0.00724  -0.1305   0.8359   0.6311
   0.500   0.5444   0.01346   0.00753  -0.1280   0.8246   0.7091
   1.000   0.6333   0.01268   0.00727  -0.1340   0.8196   1.0000
   1.500   0.6819   0.01310   0.00759  -0.1328   0.8077   1.0000
   2.000   0.7352   0.01338   0.00782  -0.1322   0.7965   1.0000
   2.500   0.7968   0.01338   0.00777  -0.1328   0.7866   1.0000
   3.000   0.8531   0.01327   0.00765  -0.1322   0.7712   1.0000
   3.500   0.9048   0.01302   0.00740  -0.1303   0.7499   1.0000
   4.000   0.9624   0.01258   0.00691  -0.1294   0.7275   1.0000
   4.500   1.0096   0.01249   0.00691  -0.1268   0.7030   1.0000
   5.000   1.0566   0.01234   0.00679  -0.1241   0.6725   1.0000
   5.500   1.0998   0.01231   0.00677  -0.1207   0.6309   1.0000
   6.000   1.1361   0.01257   0.00692  -0.1160   0.5653   1.0000
   6.500   1.1542   0.01374   0.00747  -0.1082   0.4397   1.0000
   7.000   1.1463   0.01613   0.00893  -0.0967   0.2874   1.0000
   7.500   1.1424   0.01886   0.01090  -0.0871   0.1732   1.0000
   8.000   1.1504   0.02146   0.01310  -0.0801   0.1173   1.0000
   8.500   1.1642   0.02400   0.01546  -0.0744   0.0914   1.0000
   9.000   1.1846   0.02639   0.01787  -0.0700   0.0766   1.0000
   9.500   1.2069   0.02896   0.02043  -0.0660   0.0667   1.0000
  10.000   1.2352   0.03120   0.02282  -0.0628   0.0590   1.0000
  10.500   1.2691   0.03409   0.02575  -0.0603   0.0531   1.0000
  11.000   1.3050   0.03667   0.02856  -0.0580   0.0486   1.0000
  11.500   1.3568   0.04065   0.03262  -0.0578   0.0442   1.0000
  12.000   1.3813   0.04400   0.03645  -0.0545   0.0421   1.0000
  12.500   1.4034   0.04850   0.04143  -0.0514   0.0403   1.0000
  13.000   1.4145   0.05313   0.04644  -0.0479   0.0387   1.0000
  13.500   1.4181   0.05789   0.05146  -0.0446   0.0371   1.0000
  14.000   1.4091   0.06567   0.05968  -0.0415   0.0362   1.0000
  14.500   1.3769   0.07479   0.06935  -0.0387   0.0360   1.0000
  15.000   1.3353   0.08481   0.07988  -0.0378   0.0360   1.0000
  15.500   1.2905   0.09577   0.09128  -0.0397   0.0361   1.0000
  16.000   1.2330   0.11028   0.10629  -0.0462   0.0367   1.0000
