  
       XFOIL         Version 6.96
  
 Calculated polar for: FX LIII-142 K 25 AIRFOIL                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5356   0.01219   0.00603  -0.0085   0.8502   0.4779
  -4.500  -0.4844   0.01242   0.00600  -0.0070   0.8155   0.5081
  -4.000  -0.4327   0.01265   0.00608  -0.0056   0.7866   0.5340
  -3.500  -0.3802   0.01282   0.00609  -0.0044   0.7653   0.5564
  -3.000  -0.3272   0.01301   0.00609  -0.0033   0.7479   0.5777
  -2.500  -0.2730   0.01321   0.00621  -0.0025   0.7323   0.5948
  -2.000  -0.2190   0.01340   0.00635  -0.0017   0.7178   0.6135
  -1.500  -0.1649   0.01348   0.00639  -0.0011   0.7054   0.6312
  -1.000  -0.1101   0.01348   0.00635  -0.0007   0.6935   0.6446
  -0.500  -0.0550   0.01344   0.00631  -0.0003   0.6812   0.6566
   0.000   0.0000   0.01340   0.00628   0.0000   0.6684   0.6684
   0.500   0.0550   0.01344   0.00631   0.0003   0.6566   0.6813
   1.000   0.1100   0.01348   0.00635   0.0007   0.6446   0.6935
   1.500   0.1649   0.01348   0.00639   0.0011   0.6312   0.7054
   2.000   0.2190   0.01340   0.00636   0.0018   0.6135   0.7179
   2.500   0.2729   0.01321   0.00620   0.0025   0.5947   0.7323
   3.000   0.3272   0.01302   0.00610   0.0033   0.5778   0.7479
   3.500   0.3802   0.01283   0.00609   0.0044   0.5566   0.7653
   4.000   0.4326   0.01264   0.00607   0.0056   0.5339   0.7866
   4.500   0.4843   0.01242   0.00599   0.0070   0.5079   0.8154
   5.000   0.5355   0.01219   0.00603   0.0085   0.4780   0.8502
   5.500   0.5958   0.01198   0.00607   0.0082   0.4351   0.9033
   6.000   0.6835   0.01251   0.00640   0.0014   0.3364   0.9711
   6.500   0.7383   0.01412   0.00734  -0.0005   0.2201   1.0000
   7.000   0.7721   0.01571   0.00855   0.0024   0.1643   1.0000
   7.500   0.8058   0.01749   0.01012   0.0053   0.1264   1.0000
   8.000   0.8414   0.01913   0.01165   0.0080   0.1054   1.0000
   8.500   0.8778   0.02083   0.01334   0.0107   0.0949   1.0000
   9.000   0.9139   0.02267   0.01511   0.0131   0.0871   1.0000
   9.500   0.9530   0.02433   0.01694   0.0152   0.0819   1.0000
  10.000   0.9913   0.02621   0.01888   0.0173   0.0773   1.0000
  10.500   1.0306   0.02906   0.02186   0.0188   0.0726   1.0000
  11.000   1.0647   0.03146   0.02457   0.0211   0.0690   1.0000
  11.500   1.0914   0.03360   0.02688   0.0238   0.0644   1.0000
  12.000   1.1068   0.03676   0.03022   0.0271   0.0593   1.0000
  12.500   1.1114   0.03893   0.03268   0.0307   0.0551   1.0000
  13.000   1.1235   0.04144   0.03521   0.0323   0.0509   1.0000
  13.500   0.5405   0.12712   0.12367  -0.0065   0.1043   1.0000
  14.000   0.5548   0.12839   0.12495  -0.0070   0.0830   1.0000
  14.500   0.5800   0.12888   0.12551  -0.0064   0.0753   1.0000
  15.000   1.0898   0.06449   0.05937   0.0284   0.0375   1.0000
  15.500   1.0587   0.07473   0.07003   0.0234   0.0350   1.0000
  16.000   1.0538   0.08184   0.07719   0.0192   0.0316   1.0000
  16.500   1.0228   0.09424   0.08978   0.0125   0.0297   1.0000
  17.000   0.9670   0.11324   0.10920   0.0011   0.0299   1.0000
  17.500   0.7335   0.19300   0.18920  -0.0400   0.0379   1.0000
