  
       XFOIL         Version 6.96
  
 Calculated polar for: FX S 03-182 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1321   0.01542   0.00955  -0.0988   0.7752   0.5696
  -4.500  -0.0771   0.01662   0.01056  -0.0980   0.7700   0.6118
  -4.000  -0.0229   0.01785   0.01166  -0.0966   0.7656   0.6353
  -3.500   0.0222   0.02027   0.01419  -0.0914   0.7594   0.6593
  -3.000   0.0724   0.02218   0.01603  -0.0876   0.7553   0.6832
  -2.500   0.1256   0.02307   0.01681  -0.0857   0.7520   0.6940
  -2.000   0.1617   0.02319   0.01691  -0.0835   0.7457   0.7009
  -1.500   0.2114   0.02299   0.01657  -0.0842   0.7415   0.7094
  -1.000   0.2644   0.02298   0.01647  -0.0844   0.7386   0.7152
  -0.500   0.2952   0.02350   0.01702  -0.0820   0.7319   0.7208
   0.000   0.3480   0.02341   0.01684  -0.0842   0.7277   0.7270
   0.500   0.4035   0.02344   0.01685  -0.0847   0.7247   0.7304
   1.000   0.4173   0.02501   0.01853  -0.0802   0.7162   0.7356
   1.500   0.4784   0.02510   0.01856  -0.0836   0.7124   0.7407
   2.000   0.5426   0.02495   0.01842  -0.0857   0.7101   0.7432
   3.000   0.6172   0.02682   0.02045  -0.0831   0.6960   0.7512
   5.000   0.8762   0.02415   0.01812  -0.0905   0.6625   0.7670
   5.500   0.9720   0.02076   0.01469  -0.0954   0.6433   0.7712
   6.000   1.0286   0.01994   0.01402  -0.0952   0.6300   0.7760
   6.500   1.0904   0.01859   0.01273  -0.0959   0.6103   0.7815
   7.000   1.1244   0.01790   0.01218  -0.0918   0.5826   0.7871
   7.500   1.1451   0.01787   0.01240  -0.0858   0.5560   0.7937
   8.000   1.1539   0.01817   0.01264  -0.0781   0.4915   0.8019
   8.500   1.1261   0.02082   0.01452  -0.0664   0.3732   0.8107
   9.000   1.1030   0.02468   0.01801  -0.0581   0.2955   0.8195
   9.500   1.0829   0.02933   0.02226  -0.0519   0.2176   0.8297
  10.000   1.0772   0.03345   0.02611  -0.0476   0.1543   0.8411
  10.500   1.0840   0.03687   0.02944  -0.0446   0.1145   0.8543
  11.000   1.0940   0.04025   0.03277  -0.0421   0.0841   0.8698
  11.500   1.1063   0.04331   0.03589  -0.0396   0.0617   0.8904
  12.000   1.1127   0.04621   0.03891  -0.0360   0.0467   0.9335
  13.000   1.1572   0.05358   0.04647  -0.0372   0.0306   1.0000
  13.500   1.1748   0.05792   0.05095  -0.0374   0.0254   1.0000
  14.000   1.1915   0.06237   0.05563  -0.0375   0.0206   1.0000
  14.500   1.2025   0.06750   0.06091  -0.0376   0.0167   1.0000
  15.000   1.2002   0.07444   0.06798  -0.0379   0.0139   1.0000
  15.500   1.2020   0.08114   0.07496  -0.0384   0.0126   1.0000
  16.000   1.2030   0.08812   0.08223  -0.0393   0.0115   1.0000
  16.500   1.2042   0.09524   0.08957  -0.0406   0.0108   1.0000
  17.000   1.2043   0.10267   0.09723  -0.0424   0.0102   1.0000
  17.500   1.2009   0.11065   0.10548  -0.0442   0.0095   1.0000
  18.000   1.1962   0.11950   0.11470  -0.0477   0.0091   1.0000
