  
       XFOIL         Version 6.96
  
 Calculated polar for: Glenn Martin 3                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.000  -0.2350   0.02764   0.01935  -0.0043   0.8648   0.0647
  -2.000  -0.0632   0.02369   0.01524  -0.0146   0.8513   0.0743
   0.000   0.6340   0.01423   0.00869  -0.1109   0.8134   1.0000
   0.500   0.7031   0.01367   0.00787  -0.1131   0.7619   1.0000
   1.000   0.7660   0.01361   0.00704  -0.1140   0.6345   1.0000
   1.500   0.7813   0.01459   0.00724  -0.1054   0.5211   1.0000
   2.000   0.7971   0.01556   0.00767  -0.0973   0.4565   1.0000
   2.500   0.8236   0.01644   0.00817  -0.0917   0.4151   1.0000
   3.000   0.8538   0.01723   0.00869  -0.0869   0.3791   1.0000
   3.500   0.8848   0.01797   0.00922  -0.0823   0.3479   1.0000
   4.000   0.9164   0.01871   0.00977  -0.0779   0.3217   1.0000
   4.500   0.9521   0.01948   0.01037  -0.0745   0.3035   1.0000
   5.000   0.9892   0.02025   0.01101  -0.0715   0.2883   1.0000
   5.500   1.0298   0.02106   0.01171  -0.0692   0.2764   1.0000
   6.000   1.0731   0.02188   0.01246  -0.0677   0.2671   1.0000
   6.500   1.1185   0.02274   0.01327  -0.0665   0.2590   1.0000
   7.000   1.1710   0.02368   0.01408  -0.0670   0.2522   1.0000
   7.500   1.2130   0.02455   0.01510  -0.0653   0.2459   1.0000
   8.000   1.2703   0.02561   0.01608  -0.0669   0.2405   1.0000
   8.500   1.3117   0.02662   0.01730  -0.0652   0.2359   1.0000
   9.000   1.3689   0.02777   0.01842  -0.0670   0.2312   1.0000
   9.500   1.4141   0.02908   0.01995  -0.0663   0.2273   1.0000
  10.000   1.4550   0.03035   0.02142  -0.0650   0.2234   1.0000
  10.500   1.5177   0.03192   0.02298  -0.0682   0.2188   1.0000
  11.000   1.5369   0.03328   0.02472  -0.0626   0.2153   1.0000
  11.500   1.5703   0.03462   0.02625  -0.0601   0.2109   1.0000
  12.000   1.5904   0.03597   0.02780  -0.0553   0.2053   1.0000
  12.500   1.6090   0.03721   0.02923  -0.0504   0.2003   1.0000
  13.000   1.6284   0.03868   0.03089  -0.0461   0.1953   1.0000
  13.500   1.6319   0.04007   0.03255  -0.0392   0.1901   1.0000
  14.000   1.6504   0.04161   0.03424  -0.0353   0.1853   1.0000
  14.500   1.6426   0.04370   0.03667  -0.0279   0.1804   1.0000
