  
       XFOIL         Version 6.96
  
 Calculated polar for: GM15 (smoothed)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3151   0.06597   0.06297  -0.0418   0.9988   0.0495
  -4.500  -0.2611   0.05942   0.05637  -0.0470   0.9911   0.0544
  -4.000  -0.1580   0.04691   0.04356  -0.0717   0.9833   0.0660
  -3.500  -0.0548   0.03601   0.03218  -0.0913   0.9766   0.0829
  -3.000   0.0592   0.01830   0.01163  -0.1062   0.9767   0.0387
  -2.500   0.1354   0.01575   0.00867  -0.1098   0.9678   0.0450
  -2.000   0.2163   0.01385   0.00675  -0.1145   0.9594   0.0860
  -1.500   0.2980   0.01303   0.00631  -0.1197   0.9492   0.2566
  -1.000   0.3769   0.01273   0.00604  -0.1241   0.9370   0.3248
  -0.500   0.4576   0.01216   0.00554  -0.1286   0.9247   0.3769
   0.000   0.5337   0.01150   0.00504  -0.1320   0.9099   0.4325
   0.500   0.5997   0.01080   0.00459  -0.1333   0.8891   0.5037
   1.000   0.6697   0.00929   0.00405  -0.1350   0.8660   1.0000
   1.500   0.7263   0.00916   0.00374  -0.1342   0.8312   1.0000
   2.000   0.7839   0.00915   0.00357  -0.1335   0.7918   1.0000
   2.500   0.8385   0.00936   0.00357  -0.1324   0.7477   1.0000
   3.000   0.8906   0.00977   0.00381  -0.1310   0.7032   1.0000
   3.500   0.9408   0.01029   0.00418  -0.1292   0.6603   1.0000
   4.000   0.9898   0.01086   0.00465  -0.1274   0.6180   1.0000
   4.500   1.0378   0.01146   0.00525  -0.1254   0.5750   1.0000
   5.000   1.0805   0.01210   0.00573  -0.1222   0.5077   1.0000
   5.500   1.1193   0.01300   0.00631  -0.1186   0.4146   1.0000
   6.000   1.1543   0.01449   0.00731  -0.1147   0.2883   1.0000
   6.500   1.1670   0.01923   0.01043  -0.1080   0.0469   1.0000
   7.000   1.1975   0.02193   0.01333  -0.1034   0.0365   1.0000
   7.500   1.2244   0.02548   0.01701  -0.0986   0.0305   1.0000
   8.000   1.2644   0.02908   0.02087  -0.0954   0.0276   1.0000
   8.500   1.3038   0.03302   0.02497  -0.0931   0.0230   1.0000
   9.000   1.3461   0.04051   0.03303  -0.0909   0.0222   1.0000
   9.500   1.3688   0.04785   0.04157  -0.0845   0.0256   1.0000
