  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 100 (SOPWITH) AIRFOIL                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3630   0.06489   0.06192  -0.0251   1.0000   0.0384
  -4.500  -0.3069   0.05885   0.05540  -0.0339   1.0000   0.0428
  -4.000  -0.2919   0.04993   0.04654  -0.0328   1.0000   0.0457
  -3.000  -0.1148   0.02612   0.02088  -0.0512   0.9894   0.0287
  -2.500  -0.0304   0.01872   0.01192  -0.0553   0.9874   0.0280
  -2.000   0.0461   0.01607   0.00880  -0.0586   0.9814   0.0383
  -1.500   0.1322   0.01474   0.00738  -0.0647   0.9705   0.1098
  -1.000   0.2181   0.01368   0.00638  -0.0706   0.9574   0.1435
  -0.500   0.2980   0.01239   0.00558  -0.0757   0.9447   0.2861
   0.000   0.3826   0.01006   0.00484  -0.0804   0.9315   1.0000
   0.500   0.4551   0.00957   0.00413  -0.0828   0.9122   1.0000
   1.000   0.5161   0.00925   0.00367  -0.0828   0.8867   1.0000
   1.500   0.5687   0.00912   0.00344  -0.0811   0.8517   1.0000
   2.000   0.6203   0.00904   0.00325  -0.0791   0.8057   1.0000
   2.500   0.6699   0.00911   0.00313  -0.0769   0.7314   1.0000
   3.000   0.7140   0.00980   0.00315  -0.0736   0.5834   1.0000
   3.500   0.7522   0.01128   0.00370  -0.0702   0.4172   1.0000
   4.000   0.7952   0.01253   0.00437  -0.0682   0.3039   1.0000
   4.500   0.8382   0.01398   0.00500  -0.0665   0.1761   1.0000
   5.000   0.8784   0.01620   0.00634  -0.0641   0.0283   1.0000
   5.500   0.9262   0.01750   0.00801  -0.0622   0.0223   1.0000
   6.000   0.9737   0.01891   0.00981  -0.0602   0.0228   1.0000
   6.500   1.0156   0.02092   0.01220  -0.0573   0.0225   1.0000
