  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 114 (MVA MK.1) AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500  -0.1707   0.02311   0.01700  -0.0992   0.9402   0.1019
  -4.000  -0.0599   0.00342  -0.00336  -0.0982   0.9209   0.0350
  -3.500   0.0007   0.00218  -0.00475  -0.0980   0.9107   0.0255
  -3.000   0.0599   0.00142  -0.00589  -0.0985   0.9008   0.0287
  -2.500   0.1129   0.00083  -0.00591  -0.0983   0.8888   0.2935
  -2.000   0.1645   0.00110  -0.00575  -0.0971   0.8752   0.4044
  -1.500   0.2175   0.00103  -0.00603  -0.0968   0.8620   0.4180
  -1.000   0.2704   0.00098  -0.00626  -0.0965   0.8484   0.4304
  -0.500   0.3228   0.00091  -0.00634  -0.0962   0.8346   0.4429
   0.000   0.3751   0.00086  -0.00637  -0.0958   0.8203   0.4557
   0.500   0.4265   0.00082  -0.00630  -0.0953   0.8043   0.4672
   1.000   0.4776   0.00079  -0.00613  -0.0947   0.7876   0.4824
   1.500   0.5273   0.00072  -0.00602  -0.0928   0.7551   0.5034
   2.000   0.5670   0.00067  -0.00622  -0.0879   0.6389   0.5379
   2.500   0.5642   0.00194  -0.00722  -0.0778   0.0414   0.6464
   3.000   0.6187   0.00254  -0.00579  -0.0772   0.0244   1.0000
   3.500   0.6554   0.00345  -0.00461  -0.0736   0.0260   1.0000
   4.000   0.6833   0.00535  -0.00273  -0.0684   0.0309   1.0000
   4.500   0.7358   0.00703  -0.00085  -0.0655   0.0514   1.0000
   5.000   0.8261   0.01109   0.00326  -0.0671   0.0865   1.0000
   5.500   0.8776   0.01345   0.00613  -0.0641   0.0800   1.0000
   6.000   0.9074   0.01915   0.01209  -0.0616   0.0459   1.0000
   6.500   0.9343   0.02518   0.01853  -0.0584   0.0291   1.0000
   7.500   0.9714   0.03829   0.03286  -0.0484   0.0197   1.0000
   8.000   0.9788   0.04499   0.04013  -0.0424   0.0178   1.0000
   8.500   0.9718   0.05239   0.04798  -0.0364   0.0167   1.0000
   9.000   0.9465   0.05906   0.05503  -0.0292   0.0162   1.0000
   9.500   0.9087   0.06596   0.06224  -0.0238   0.0162   1.0000
  10.000   0.8644   0.07458   0.07116  -0.0219   0.0165   1.0000
  10.500   0.8165   0.08527   0.08207  -0.0237   0.0171   1.0000
  11.000   0.7690   0.09764   0.09466  -0.0293   0.0182   1.0000
  11.500   0.7259   0.11005   0.10720  -0.0369   0.0195   1.0000
  12.000   0.7048   0.12178   0.11897  -0.0438   0.0203   1.0000
  12.500   0.6949   0.13236   0.12954  -0.0499   0.0203   1.0000
  13.000   0.6902   0.14169   0.13886  -0.0550   0.0201   1.0000
  13.500   0.6884   0.15043   0.14759  -0.0598   0.0195   1.0000
  14.000   0.6891   0.15850   0.15566  -0.0640   0.0189   1.0000
  14.500   0.6918   0.16633   0.16349  -0.0680   0.0181   1.0000
  15.000   0.6957   0.17391   0.17107  -0.0718   0.0171   1.0000
  15.500   0.7010   0.18123   0.17843  -0.0753   0.0162   1.0000
  16.000   0.7075   0.18841   0.18562  -0.0786   0.0155   1.0000
  16.500   0.7167   0.19552   0.19275  -0.0812   0.0144   1.0000
  17.000   0.7281   0.20522   0.20245  -0.0825   0.0133   1.0000
  17.500   0.7356   0.21271   0.20995  -0.0861   0.0133   1.0000
  18.000   0.7420   0.22006   0.21731  -0.0900   0.0132   1.0000
