  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 144 (MVA H.21) AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2518   0.05971   0.05653  -0.0505   0.9908   0.0645
  -4.500  -0.1943   0.05211   0.04890  -0.0555   0.9807   0.0691
  -4.000  -0.0884   0.02193   0.01632  -0.0808   0.9738   0.0521
  -3.500  -0.0085   0.01914   0.01277  -0.0858   0.9617   0.0635
  -3.000   0.0710   0.01667   0.00987  -0.0904   0.9491   0.0743
  -2.500   0.1549   0.01433   0.00729  -0.0955   0.9378   0.0963
  -2.000   0.2410   0.01395   0.00671  -0.1007   0.9239   0.1274
  -1.500   0.3156   0.01330   0.00603  -0.1037   0.9009   0.1441
  -1.000   0.3851   0.01259   0.00525  -0.1056   0.8692   0.1599
  -0.500   0.4430   0.01187   0.00444  -0.1051   0.8217   0.1762
   0.000   0.4998   0.01133   0.00373  -0.1044   0.7693   0.2030
   0.500   0.5534   0.01136   0.00348  -0.1033   0.7207   0.2298
   1.000   0.6043   0.01157   0.00350  -0.1018   0.6801   0.2534
   1.500   0.6553   0.01170   0.00362  -0.1006   0.6505   0.2835
   2.000   0.7182   0.01031   0.00373  -0.1021   0.6230   1.0000
   2.500   0.7689   0.01072   0.00390  -0.1007   0.5968   1.0000
   3.000   0.8188   0.01111   0.00414  -0.0992   0.5695   1.0000
   3.500   0.8685   0.01153   0.00442  -0.0976   0.5431   1.0000
   4.000   0.9180   0.01195   0.00478  -0.0961   0.5172   1.0000
   4.500   0.9672   0.01237   0.00523  -0.0946   0.4913   1.0000
   5.000   1.0156   0.01281   0.00572  -0.0930   0.4632   1.0000
   5.500   1.0600   0.01322   0.00606  -0.0905   0.4180   1.0000
   6.000   1.1032   0.01378   0.00656  -0.0880   0.3633   1.0000
   6.500   1.1425   0.01475   0.00725  -0.0851   0.2870   1.0000
   7.000   1.1734   0.01672   0.00855  -0.0813   0.1624   1.0000
   7.500   1.1918   0.02017   0.01100  -0.0757   0.0335   1.0000
   8.000   1.2234   0.02217   0.01332  -0.0715   0.0272   1.0000
   8.500   1.2420   0.02490   0.01638  -0.0658   0.0242   1.0000
   9.000   1.2501   0.02778   0.01952  -0.0587   0.0227   1.0000
   9.500   1.2601   0.03091   0.02282  -0.0525   0.0222   1.0000
  10.000   1.2779   0.03455   0.02663  -0.0478   0.0220   1.0000
  10.500   1.3121   0.03876   0.03103  -0.0450   0.0219   1.0000
  11.000   1.3394   0.04328   0.03595  -0.0419   0.0213   1.0000
  11.500   1.3955   0.05100   0.04407  -0.0423   0.0242   1.0000
  12.000   1.3760   0.05611   0.05016  -0.0342   0.0296   1.0000
