  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 147 (MVA H.6) AIRFOIL                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2436   0.02274   0.01743  -0.0569   1.0000   0.0313
  -4.500  -0.1892   0.01795   0.01185  -0.0573   1.0000   0.0339
  -4.000  -0.1356   0.01504   0.00841  -0.0565   1.0000   0.0380
  -3.500  -0.0836   0.01289   0.00603  -0.0555   1.0000   0.0490
  -3.000  -0.0237   0.01372   0.00702  -0.0561   0.9942   0.1162
  -2.000   0.1373   0.01405   0.00703  -0.0649   0.8826   0.1656
  -1.500   0.1883   0.01348   0.00604  -0.0626   0.8133   0.1704
  -1.000   0.2405   0.01304   0.00524  -0.0609   0.7566   0.1728
  -0.500   0.2943   0.01271   0.00461  -0.0597   0.7084   0.1758
   0.000   0.3488   0.01249   0.00413  -0.0588   0.6668   0.1800
   0.500   0.4032   0.01231   0.00381  -0.0580   0.6260   0.1865
   1.000   0.4578   0.01224   0.00360  -0.0573   0.5840   0.1977
   1.500   0.5127   0.01215   0.00349  -0.0568   0.5407   0.2187
   2.000   0.5607   0.01028   0.00336  -0.0547   0.4939   1.0000
   2.500   0.6155   0.01070   0.00339  -0.0542   0.4361   1.0000
   3.000   0.6699   0.01126   0.00360  -0.0537   0.3866   1.0000
   3.500   0.7240   0.01193   0.00401  -0.0534   0.3517   1.0000
   4.000   0.7780   0.01264   0.00456  -0.0530   0.3251   1.0000
   4.500   0.8315   0.01343   0.00518  -0.0526   0.3030   1.0000
   5.000   0.8853   0.01412   0.00591  -0.0522   0.2814   1.0000
   5.500   0.9383   0.01491   0.00667  -0.0518   0.2598   1.0000
   6.000   0.9909   0.01580   0.00762  -0.0512   0.2379   1.0000
   6.500   1.0429   0.01684   0.00871  -0.0506   0.2201   1.0000
   7.000   1.0946   0.01791   0.00991  -0.0500   0.2068   1.0000
   7.500   1.1457   0.01836   0.01051  -0.0495   0.1886   1.0000
   8.000   1.1967   0.01867   0.01107  -0.0490   0.1659   1.0000
   8.500   1.2369   0.02105   0.01281  -0.0479   0.0433   1.0000
   9.000   1.2713   0.02460   0.01674  -0.0454   0.0286   1.0000
   9.500   1.2963   0.02846   0.02098  -0.0424   0.0244   1.0000
  10.000   1.3169   0.03214   0.02493  -0.0390   0.0220   1.0000
  10.500   1.3288   0.03633   0.02937  -0.0350   0.0207   1.0000
  11.000   1.3348   0.04085   0.03409  -0.0307   0.0199   1.0000
  11.500   1.3391   0.04628   0.03972  -0.0280   0.0186   1.0000
  12.000   1.3417   0.05333   0.04707  -0.0257   0.0177   1.0000
  12.500   1.3376   0.06062   0.05477  -0.0251   0.0177   1.0000
  13.000   1.3250   0.06886   0.06343  -0.0267   0.0178   1.0000
  13.500   1.3052   0.07854   0.07354  -0.0307   0.0181   1.0000
  14.000   1.2774   0.09030   0.08574  -0.0371   0.0185   1.0000
  14.500   1.2427   0.10445   0.10033  -0.0456   0.0192   1.0000
  15.000   1.2012   0.12192   0.11821  -0.0571   0.0198   1.0000
  15.500   1.1542   0.14339   0.14005  -0.0717   0.0206   1.0000
  16.000   1.0966   0.17197   0.16887  -0.0901   0.0221   1.0000
  16.500   1.0674   0.19514   0.19197  -0.1023   0.0249   1.0000
  17.000   0.7866   0.18161   0.17865  -0.0718   0.0324   1.0000
