  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 15K AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.8425   0.03536   0.02701   0.0360   0.9399   0.0752
  -4.500  -0.7902   0.03510   0.02634   0.0364   0.9341   0.0816
  -4.000  -0.7230   0.03435   0.02555   0.0327   0.9320   0.0904
  -3.500  -0.6850   0.03307   0.02404   0.0356   0.9223   0.0955
  -3.000  -0.5991   0.03312   0.02417   0.0281   0.9191   0.1035
  -2.500  -0.5668   0.03207   0.02303   0.0318   0.9093   0.1091
  -1.500  -0.3712   0.03056   0.02256   0.0135   0.8759   0.2905
  -0.500   0.1142   0.03632   0.03070  -0.0693   0.8789   1.0000
   0.000   0.1827   0.03655   0.03075  -0.0727   0.8747   1.0000
   0.500   0.2064   0.03671   0.03082  -0.0676   0.8620   1.0000
   1.500   0.3195   0.03657   0.03052  -0.0691   0.8442   1.0000
   2.500   0.4312   0.03629   0.03020  -0.0700   0.8271   1.0000
   3.000   0.4663   0.03632   0.03025  -0.0666   0.8132   1.0000
   4.000   0.5841   0.03539   0.02943  -0.0679   0.7959   1.0000
   4.500   0.6416   0.03413   0.02825  -0.0675   0.7817   1.0000
   5.500   0.7825   0.02948   0.02387  -0.0697   0.7542   1.0000
   7.000   0.9160   0.02541   0.02028  -0.0593   0.6803   1.0000
   7.500   1.0315   0.02094   0.01491  -0.0666   0.5009   1.0000
   8.000   1.0087   0.02367   0.01686  -0.0527   0.3876   1.0000
   8.500   0.9947   0.02649   0.01905  -0.0415   0.2717   1.0000
   9.000   0.9917   0.02925   0.02124  -0.0329   0.1906   1.0000
   9.500   1.0048   0.03134   0.02312  -0.0270   0.1492   1.0000
  10.000   1.0219   0.03332   0.02496  -0.0218   0.1235   1.0000
  10.500   1.0438   0.03506   0.02673  -0.0175   0.1038   1.0000
  11.000   1.0623   0.03710   0.02875  -0.0130   0.0856   1.0000
  11.500   1.0782   0.03951   0.03111  -0.0084   0.0707   1.0000
  12.000   1.0964   0.04188   0.03357  -0.0041   0.0581   1.0000
  12.500   1.1160   0.04434   0.03604  -0.0002   0.0498   1.0000
  13.000   1.1368   0.04671   0.03864   0.0035   0.0437   1.0000
  13.500   1.1616   0.04938   0.04142   0.0065   0.0394   1.0000
  14.000   1.1793   0.05226   0.04462   0.0102   0.0358   1.0000
  14.500   1.1937   0.05547   0.04792   0.0135   0.0329   1.0000
  15.000   1.2042   0.06008   0.05299   0.0172   0.0310   1.0000
  15.500   1.2017   0.06538   0.05877   0.0213   0.0302   1.0000
  16.000   1.1872   0.07166   0.06553   0.0253   0.0295   1.0000
  16.500   1.1642   0.07874   0.07304   0.0284   0.0284   1.0000
  17.000   1.1264   0.08858   0.08340   0.0300   0.0285   1.0000
  17.500   1.0842   0.09985   0.09507   0.0290   0.0281   1.0000
  18.000   1.0015   0.12041   0.11625   0.0215   0.0296   1.0000
