  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 217 (MVA MK.12) AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.2246   0.02024   0.01191  -0.1570   0.6398   0.0633
  -4.500   0.2835   0.01957   0.01128  -0.1573   0.6234   0.0642
  -4.000   0.3507   0.01876   0.01046  -0.1602   0.6075   0.0660
  -3.500   0.4200   0.01811   0.00962  -0.1635   0.5932   0.0689
  -3.000   0.4883   0.01761   0.00882  -0.1664   0.5808   0.0750
  -2.500   0.5610   0.01640   0.00816  -0.1710   0.5693   0.2242
  -2.000   0.6256   0.01634   0.00828  -0.1727   0.5596   0.3239
  -1.500   0.6856   0.01679   0.00883  -0.1730   0.5503   0.3783
  -1.000   0.7435   0.01746   0.00950  -0.1725   0.5413   0.4106
  -0.500   0.8013   0.01833   0.01032  -0.1721   0.5341   0.4333
   0.000   0.8563   0.01919   0.01132  -0.1711   0.5267   0.4541
   0.500   0.9113   0.02005   0.01221  -0.1699   0.5196   0.4727
   1.000   0.9707   0.02081   0.01281  -0.1702   0.5132   0.4888
   1.500   1.0237   0.02138   0.01359  -0.1691   0.5060   0.4975
   2.000   1.0828   0.02155   0.01359  -0.1694   0.4960   0.5118
   2.500   1.1350   0.02211   0.01425  -0.1681   0.4864   0.5202
   3.000   1.1930   0.02229   0.01435  -0.1684   0.4769   0.5341
   3.500   1.2459   0.02303   0.01510  -0.1672   0.4698   0.5435
   4.000   1.3005   0.02334   0.01552  -0.1671   0.4613   0.5571
   4.500   1.3542   0.02361   0.01580  -0.1663   0.4534   0.5644
   5.000   1.4080   0.02405   0.01630  -0.1660   0.4448   0.5743
   5.500   1.4609   0.02421   0.01651  -0.1655   0.4352   0.5830
   6.000   1.5134   0.02455   0.01684  -0.1649   0.4261   0.5907
   6.500   1.5635   0.02470   0.01706  -0.1640   0.4147   0.6011
   7.000   1.6101   0.02496   0.01742  -0.1624   0.4035   0.6077
   7.500   1.6570   0.02513   0.01756  -0.1609   0.3908   0.6170
   8.000   1.6933   0.02547   0.01807  -0.1577   0.3751   0.6249
   8.500   1.7233   0.02594   0.01861  -0.1535   0.3564   0.6325
   9.000   1.7377   0.02681   0.01945  -0.1471   0.3351   0.6404
   9.500   1.7442   0.02858   0.02131  -0.1404   0.3087   0.6475
  10.000   1.7463   0.03147   0.02407  -0.1348   0.2849   0.6553
  10.500   1.7479   0.03506   0.02763  -0.1303   0.2656   0.6615
  11.000   1.7496   0.03916   0.03167  -0.1267   0.2512   0.6693
  11.500   1.7545   0.04334   0.03586  -0.1239   0.2396   0.6773
  12.000   1.7626   0.04749   0.04011  -0.1216   0.2303   0.6859
  12.500   1.7757   0.05115   0.04370  -0.1196   0.2224   0.6941
  13.000   1.7844   0.05551   0.04823  -0.1180   0.2158   0.7037
  13.500   1.7952   0.05961   0.05242  -0.1165   0.2095   0.7141
  14.000   1.8146   0.06278   0.05560  -0.1149   0.2040   0.7260
  14.500   1.8168   0.06814   0.06121  -0.1141   0.1988   0.7371
  15.000   1.8291   0.07223   0.06540  -0.1131   0.1940   0.7510
  15.500   1.8490   0.07537   0.06864  -0.1119   0.1890   0.7715
  16.000   1.8377   0.08198   0.07576  -0.1116   0.1846   0.9381
  16.500   1.8429   0.08730   0.08117  -0.1118   0.1796   1.0000
  17.000   1.8614   0.09073   0.08458  -0.1112   0.1749   1.0000
  17.500   1.8377   0.10030   0.09454  -0.1132   0.1705   1.0000
  18.000   1.8402   0.10615   0.10050  -0.1143   0.1657   1.0000
