  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 233 (MVA CA4) AIRFOIL                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.3397   0.01784   0.01132  -0.2123   0.8619   0.0626
  -4.500   0.4000   0.01680   0.01016  -0.2127   0.8478   0.0653
  -4.000   0.4615   0.01598   0.00929  -0.2136   0.8335   0.0714
  -3.500   0.5273   0.01483   0.00806  -0.2159   0.8192   0.0964
  -3.000   0.5915   0.01386   0.00731  -0.2180   0.8059   0.2176
  -2.500   0.6481   0.01413   0.00751  -0.2173   0.7922   0.2636
  -2.000   0.7032   0.01474   0.00800  -0.2164   0.7781   0.2930
  -1.500   0.7568   0.01554   0.00879  -0.2149   0.7650   0.3103
  -1.000   0.8117   0.01614   0.00929  -0.2138   0.7533   0.3257
  -0.500   0.8644   0.01690   0.01007  -0.2121   0.7408   0.3420
   0.000   0.9170   0.01745   0.01065  -0.2108   0.7272   0.3579
   0.500   0.9734   0.01753   0.01061  -0.2105   0.7131   0.3721
   1.000   1.0263   0.01764   0.01077  -0.2093   0.6990   0.3819
   1.500   1.0828   0.01760   0.01064  -0.2092   0.6857   0.3933
   2.000   1.1401   0.01755   0.01046  -0.2093   0.6714   0.4053
   2.500   1.1956   0.01763   0.01052  -0.2091   0.6568   0.4163
   3.000   1.2504   0.01763   0.01054  -0.2088   0.6416   0.4233
   3.500   1.3057   0.01770   0.01058  -0.2086   0.6256   0.4297
   4.000   1.3608   0.01776   0.01059  -0.2084   0.6086   0.4345
   4.500   1.4139   0.01789   0.01079  -0.2078   0.5926   0.4390
   5.000   1.4667   0.01812   0.01108  -0.2071   0.5766   0.4455
   5.500   1.5184   0.01833   0.01135  -0.2062   0.5595   0.4511
   6.000   1.5681   0.01854   0.01167  -0.2049   0.5406   0.4566
   6.500   1.6170   0.01884   0.01202  -0.2035   0.5201   0.4633
   7.000   1.6600   0.01916   0.01247  -0.2010   0.4913   0.4700
   7.500   1.6976   0.01978   0.01304  -0.1975   0.4544   0.4765
   8.000   1.7287   0.02079   0.01401  -0.1931   0.4121   0.4825
   8.500   1.7515   0.02220   0.01535  -0.1876   0.3686   0.4898
   9.000   1.7619   0.02396   0.01702  -0.1801   0.3260   0.4966
   9.500   1.7702   0.02631   0.01929  -0.1733   0.2914   0.5028
  10.000   1.7804   0.02897   0.02193  -0.1675   0.2654   0.5102
  10.500   1.7864   0.03215   0.02510  -0.1618   0.2420   0.5180
  11.000   1.7932   0.03558   0.02866  -0.1569   0.2161   0.5281
  11.500   1.7905   0.04015   0.03329  -0.1521   0.1778   0.5377
  12.500   1.7331   0.05615   0.04878  -0.1424   0.0833   0.5532
  13.000   1.7161   0.06393   0.05672  -0.1396   0.0726   0.5671
  13.500   1.7041   0.07148   0.06455  -0.1376   0.0651   0.6014
  14.000   1.6833   0.07953   0.07292  -0.1354   0.0596   1.0000
  14.500   1.6800   0.08641   0.08000  -0.1343   0.0543   1.0000
  15.000   1.6705   0.09374   0.08733  -0.1328   0.0496   1.0000
  15.500   1.6695   0.10045   0.09427  -0.1323   0.0454   1.0000
  16.000   1.6715   0.10576   0.09951  -0.1304   0.0414   1.0000
  16.500   1.6723   0.11237   0.10642  -0.1306   0.0383   1.0000
  17.000   1.6779   0.11759   0.11164  -0.1301   0.0352   1.0000
  17.500   1.6828   0.12304   0.11736  -0.1296   0.0330   1.0000
  18.000   1.6835   0.12978   0.12437  -0.1309   0.0309   1.0000
