  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 279 (DAIMLER X) AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2101   0.06324   0.05983  -0.0543   0.9829   0.0316
  -4.500  -0.1561   0.05545   0.05200  -0.0608   0.9767   0.0345
  -4.000  -0.0614   0.04880   0.04477  -0.0738   0.9675   0.0406
  -3.500   0.0048   0.03995   0.03569  -0.0814   0.9591   0.0431
  -3.000   0.1013   0.03347   0.02852  -0.0913   0.9526   0.0538
  -2.500   0.1782   0.02830   0.02301  -0.0972   0.9411   0.0681
  -1.000   0.4174   0.00353  -0.00317  -0.1049   0.8906   0.0933
  -0.500   0.4753   0.00252  -0.00443  -0.1040   0.8715   0.0809
   0.000   0.5323   0.00206  -0.00507  -0.1030   0.8499   0.0773
   0.500   0.5850   0.00160  -0.00550  -0.1017   0.8217   0.0807
   1.000   0.6381   0.00138  -0.00575  -0.1005   0.7870   0.0837
   1.500   0.6897   0.00131  -0.00599  -0.0990   0.7370   0.0930
   2.000   0.7367   0.00095  -0.00483  -0.0967   0.6825   1.0000
   2.500   0.7854   0.00115  -0.00519  -0.0948   0.6198   1.0000
   3.000   0.8326   0.00141  -0.00533  -0.0931   0.5618   1.0000
   3.500   0.8785   0.00168  -0.00538  -0.0913   0.5009   1.0000
   4.000   0.9242   0.00199  -0.00533  -0.0896   0.4461   1.0000
   4.500   0.9699   0.00236  -0.00517  -0.0880   0.4034   1.0000
   5.000   1.0158   0.00278  -0.00491  -0.0866   0.3702   1.0000
   5.500   1.0620   0.00324  -0.00449  -0.0853   0.3442   1.0000
   6.000   1.1071   0.00378  -0.00402  -0.0838   0.3190   1.0000
   6.500   1.1522   0.00426  -0.00342  -0.0823   0.2945   1.0000
   7.000   1.1954   0.00480  -0.00277  -0.0805   0.2683   1.0000
   7.500   1.2360   0.00537  -0.00213  -0.0783   0.2361   1.0000
   8.000   1.2744   0.00610  -0.00131  -0.0759   0.2058   1.0000
   8.500   1.3094   0.00702  -0.00036  -0.0730   0.1756   1.0000
   9.000   1.3393   0.00824   0.00090  -0.0695   0.1468   1.0000
   9.500   1.3563   0.01003   0.00271  -0.0640   0.1148   1.0000
  10.000   1.3694   0.01211   0.00486  -0.0583   0.0843   1.0000
  10.500   1.3785   0.01454   0.00731  -0.0527   0.0687   1.0000
  11.000   1.3795   0.01785   0.01081  -0.0470   0.0600   1.0000
  11.500   1.3696   0.02271   0.01589  -0.0413   0.0539   1.0000
  12.000   1.3571   0.02871   0.02215  -0.0367   0.0483   1.0000
  12.500   1.3361   0.03681   0.03046  -0.0325   0.0438   1.0000
  13.000   1.3170   0.04526   0.03922  -0.0297   0.0393   1.0000
  13.500   1.2971   0.05480   0.04887  -0.0263   0.0348   1.0000
  14.000   1.2728   0.06404   0.05854  -0.0259   0.0325   1.0000
  14.500   1.2467   0.07346   0.06830  -0.0260   0.0301   1.0000
  15.000   1.2177   0.08260   0.07772  -0.0267   0.0284   1.0000
  15.500   1.1788   0.09083   0.08623  -0.0273   0.0274   1.0000
  16.000   1.1422   0.09925   0.09496  -0.0291   0.0265   1.0000
  16.500   1.1006   0.10976   0.10583  -0.0339   0.0262   1.0000
  17.000   1.0589   0.12141   0.11784  -0.0406   0.0262   1.0000
  17.500   0.9526   0.14824   0.14532  -0.0584   0.0319   1.0000
  18.000   0.8241   0.19160   0.18857  -0.0783   0.0474   1.0000
