  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 281 (DAIMLER XII) AIRFOIL                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1178   0.03688   0.03376  -0.0691   0.9623   0.0385
  -4.500  -0.1052   0.04731   0.04369  -0.0741   0.9686   0.0416
  -4.000  -0.0203   0.03888   0.03478  -0.0857   0.9587   0.0513
  -3.500   0.0759   0.03369   0.02858  -0.0959   0.9516   0.0731
  -3.000   0.1414   0.02753   0.02234  -0.1008   0.9386   0.0902
  -1.000   0.3752   0.00347  -0.00360  -0.0961   0.8323   0.0878
  -0.500   0.4305   0.00295  -0.00448  -0.0949   0.8103   0.0723
   0.000   0.4833   0.00231  -0.00523  -0.0938   0.7850   0.0692
   0.500   0.5355   0.00203  -0.00561  -0.0927   0.7576   0.0710
   1.000   0.5876   0.00182  -0.00590  -0.0917   0.7280   0.0700
   1.500   0.6402   0.00176  -0.00613  -0.0909   0.6987   0.0712
   2.000   0.6926   0.00177  -0.00626  -0.0900   0.6681   0.0814
   2.500   0.7433   0.00138  -0.00497  -0.0890   0.6380   1.0000
   3.000   0.7940   0.00154  -0.00509  -0.0879   0.6006   1.0000
   3.500   0.8441   0.00167  -0.00509  -0.0869   0.5592   1.0000
   4.000   0.8935   0.00183  -0.00507  -0.0858   0.5165   1.0000
   4.500   0.9420   0.00206  -0.00498  -0.0846   0.4774   1.0000
   5.000   0.9894   0.00242  -0.00477  -0.0834   0.4410   1.0000
   5.500   1.0336   0.00285  -0.00449  -0.0817   0.3898   1.0000
   6.000   1.0771   0.00324  -0.00418  -0.0800   0.3340   1.0000
   6.500   1.1169   0.00385  -0.00378  -0.0778   0.2645   1.0000
   7.000   1.1511   0.00496  -0.00307  -0.0750   0.1877   1.0000
   7.500   1.1792   0.00673  -0.00187  -0.0713   0.0926   1.0000
   8.000   1.1971   0.00941   0.00052  -0.0659   0.0285   1.0000
   8.500   1.2208   0.01138   0.00287  -0.0612   0.0257   1.0000
   9.000   1.2251   0.01399   0.00585  -0.0541   0.0235   1.0000
   9.500   1.2138   0.01784   0.01002  -0.0466   0.0221   1.0000
  10.000   1.2012   0.02299   0.01538  -0.0406   0.0218   1.0000
  10.500   1.2001   0.02877   0.02129  -0.0360   0.0216   1.0000
  11.000   1.2218   0.03395   0.02654  -0.0324   0.0218   1.0000
  11.500   1.2652   0.03919   0.03192  -0.0299   0.0219   1.0000
  12.000   1.4182   0.05123   0.04422  -0.0392   0.0249   1.0000
  12.500   1.4398   0.05847   0.05244  -0.0349   0.0346   1.0000
  13.000   1.2914   0.06003   0.05424  -0.0196   0.0292   1.0000
  13.500   1.2812   0.06846   0.06343  -0.0160   0.0379   1.0000
  14.000   1.2279   0.07691   0.07234  -0.0150   0.0386   1.0000
  14.500   1.1689   0.08665   0.08246  -0.0157   0.0385   1.0000
