  
       XFOIL         Version 6.96
  
 Calculated polar for: GOE 289 (MVA 289) AIRFOIL                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500   0.1662   0.01732   0.00919  -0.1368   0.7304   0.0708
  -4.000   0.2141   0.01654   0.00831  -0.1350   0.7141   0.0782
  -3.500   0.2622   0.01593   0.00770  -0.1333   0.6978   0.1007
  -3.000   0.3121   0.01565   0.00739  -0.1320   0.6820   0.1515
  -2.500   0.3632   0.01544   0.00703  -0.1309   0.6670   0.1777
  -2.000   0.4113   0.01517   0.00677  -0.1294   0.6518   0.2069
  -1.500   0.4577   0.01486   0.00659  -0.1275   0.6368   0.2484
  -1.000   0.5038   0.01462   0.00664  -0.1256   0.6224   0.3480
  -0.500   0.5510   0.01452   0.00664  -0.1237   0.6089   0.4335
   0.000   0.5986   0.01434   0.00656  -0.1220   0.5955   0.4994
   0.500   0.6427   0.01402   0.00659  -0.1194   0.5824   0.6186
   1.500   0.8259   0.01403   0.00692  -0.1343   0.5518   1.0000
   2.000   0.8692   0.01442   0.00712  -0.1319   0.5387   1.0000
   2.500   0.9149   0.01485   0.00734  -0.1300   0.5266   1.0000
   3.000   0.9604   0.01528   0.00757  -0.1281   0.5142   1.0000
   3.500   1.0002   0.01574   0.00797  -0.1251   0.5013   1.0000
   4.000   1.0438   0.01627   0.00839  -0.1230   0.4897   1.0000
   4.500   1.0928   0.01681   0.00874  -0.1219   0.4790   1.0000
   5.000   1.1294   0.01736   0.00934  -0.1185   0.4677   1.0000
   5.500   1.1735   0.01798   0.00988  -0.1167   0.4577   1.0000
   6.000   1.2154   0.01856   0.01042  -0.1144   0.4479   1.0000
   6.500   1.2562   0.01931   0.01119  -0.1121   0.4391   1.0000
   7.000   1.3001   0.01998   0.01183  -0.1104   0.4309   1.0000
   7.500   1.3391   0.02083   0.01274  -0.1079   0.4231   1.0000
   8.000   1.3789   0.02156   0.01350  -0.1055   0.4154   1.0000
   8.500   1.4246   0.02253   0.01449  -0.1045   0.4091   1.0000
   9.000   1.4508   0.02350   0.01563  -0.0999   0.4025   1.0000
   9.500   1.5023   0.02436   0.01649  -0.0999   0.3968   1.0000
  10.000   1.5259   0.02560   0.01792  -0.0953   0.3907   1.0000
  10.500   1.5520   0.02644   0.01886  -0.0910   0.3830   1.0000
  11.000   1.5727   0.02742   0.01994  -0.0863   0.3741   1.0000
  11.500   1.5966   0.02817   0.02072  -0.0821   0.3648   1.0000
  12.000   1.6044   0.02980   0.02257  -0.0764   0.3565   1.0000
  12.500   1.6303   0.03080   0.02361  -0.0732   0.3479   1.0000
  13.000   1.6292   0.03315   0.02623  -0.0676   0.3396   1.0000
  13.500   1.6540   0.03430   0.02736  -0.0648   0.3292   1.0000
  14.000   1.6354   0.03808   0.03149  -0.0590   0.3201   1.0000
  14.500   1.6323   0.04138   0.03496  -0.0553   0.3088   1.0000
  15.000   1.6268   0.04533   0.03903  -0.0522   0.2960   1.0000
  15.500   1.6077   0.05115   0.04505  -0.0496   0.2811   1.0000
  16.000   1.5732   0.05957   0.05376  -0.0480   0.2625   1.0000
  16.500   1.5361   0.06920   0.06355  -0.0475   0.2390   1.0000
  17.000   1.4868   0.08109   0.07555  -0.0479   0.2062   1.0000
  17.500   1.4243   0.09517   0.08947  -0.0493   0.1618   1.0000
  18.000   1.3586   0.11050   0.10465  -0.0520   0.1216   1.0000
